direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0354407089999995,0.0597315940000271,0.0597315940000271,12.69266390000007,space,12.594949746999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,0.0,0.0,0.0,left,1.0,3.195311773999947,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,12.736865959000056,,,,,,,,,12.721379275000004,13.055736516000024,13.86428464900007,13.847338824000076,13.84764824800004,13.86428464900007,13.86428464900007,13.86428464900007,17.066191215000003,left,1.0,3.195311773999947,,17.075288742999987,17.11278023,17.582000815000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
right,right,1.0,1.0,0.0,left,0.0,2.2968814189999875,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,17.592649926000036,,,,,,,,,17.582668811000076,17.91888038700006,18.72876891800001,18.717736618000004,18.71803366900008,18.72876891800001,18.72876891800001,18.72876891800001,21.03219971800001,left,0.0,2.2968814189999875,,21.04038777100004,21.048304057999985,21.544224816999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
right,right,2.0,0.0,1.0,right,1.0,1.6517936999999847,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,21.554031539999983,,,,,,,,,21.544481192000035,21.630539621000025,22.448572989000013,22.436720127000054,22.43703171800007,22.448572989000013,22.448572989000013,22.448572989000013,24.108313553000016,right,1.0,1.6517936999999847,,24.11165637900001,24.123269268000055,24.617394584000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,3.0,1.0,1.0,left,1.0,1.2125283070000703,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,24.62697958900003,,,,,,,,,24.617709801000046,24.969847964,25.77291015000003,25.761416261000026,25.76207315600004,25.77291015000003,25.77291015000003,25.77291015000003,26.992234388000043,left,1.0,1.2125283070000703,,26.992343865000063,27.00375637100001,27.49535922300004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,4.0,0.0,2.0,right,0.0,1.1156593430000612,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,27.50737335000008,,,,,,,,,27.49564508900005,27.85676220000005,28.663296584000022,28.650418882000054,28.65071278100004,28.663296584000022,28.663296584000022,28.663296584000022,29.787865675000035,right,0.0,1.1156593430000612,,29.790459896000016,29.80142626400004,30.289026535000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
right,right,5.0,1.0,2.0,right,1.0,2.237951382999995,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,30.299788248000027,,,,,,,,,30.28948187600008,31.095557529000075,31.906247265000047,31.89404640800001,31.894428488000017,31.906247265000047,31.906247265000047,31.906247265000047,34.15224561299999,right,1.0,2.237951382999995,,34.15535641300005,34.16740948900008,34.66010013599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,6.0,0.0,3.0,right,0.0,3.2557556479999903,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,34.670211273000064,,,,,,,,,34.660496710000075,35.023613179999984,35.830554647999975,35.819322175000025,35.819834995000065,35.830554647999975,35.830554647999975,35.830554647999975,39.09097982600008,right,0.0,3.2557556479999903,,39.09502161299997,39.10759619999999,39.59295780299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
right,right,7.0,1.0,3.0,right,1.0,2.9170307919999914,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,39.603769512999975,,,,,,,,,39.59381787899997,40.80244485000003,41.60529063700005,41.59417150600007,41.59444565800004,41.60529063700005,41.60529063700005,41.60529063700005,44.54191571199999,right,1.0,2.9170307919999914,,44.54534628900001,44.557062813000016,45.04416022200007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,1.5719187859999693,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,45.05452599800003,,,,,,,,,45.04452462699999,45.84187233900002,46.65303054700007,46.6406227,46.64100076400007,46.65303054700007,46.65303054700007,46.65303054700007,48.235626560000014,left,1.0,1.5719187859999693,,48.23582534800005,48.24827446900008,48.74561988400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
right,right,9.0,1.0,4.0,left,0.0,2.752466002999995,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,48.755319526,,,,,,,,,48.745941266000045,49.084221835,49.89540979600008,49.88465233400007,49.88505127000008,49.89540979600008,49.89540979600008,49.89540979600008,52.663390797000034,left,0.0,2.752466002999995,,52.66778120599997,52.67950668399999,53.171750781000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
right,right,10.0,0.0,5.0,right,1.0,1.936935835999975,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,53.19357074800007,,,,,,,,,53.17201689299998,53.51958060800007,54.33300314400003,54.32120260900001,54.32150178699999,54.33300314400003,54.33300314400003,54.33300314400003,56.276515023,right,1.0,1.936935835999975,,56.279175603,56.29199044500001,56.78845401800004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,11.0,1.0,5.0,left,1.0,1.6731079830000226,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,56.79833644799999,,,,,,,,,56.78881420800008,57.97917041800008,58.788483076000034,58.77570831100002,58.77608061400008,58.788483076000034,58.788483076000034,58.788483076000034,60.47159281300003,left,1.0,1.6731079830000226,,60.471705423,60.482232650000014,60.97185432700008,60.98146259400005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,12.0,0.0,6.0,left,1.0,1.571001345000013,,,,,,6.0,0.0,12.0,0.0,,,,,,,,,60.98146259400005,,,,,,,,,60.97247474699998,62.17439765400002,62.979539929,62.968637141000045,62.968949338000016,62.979539929,62.979539929,62.979539929,64.55542582700002,left,1.0,1.571001345000013,,64.55554161300006,64.56809087600004,65.06935539000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
right,right,13.0,1.0,6.0,right,1.0,1.5662420229999725,,,,,,6.0,1.0,13.0,1.0,,,,,,,,,65.07816255300008,,,,,,,,,65.06959638400008,66.25615816800007,67.070774411,67.05975713100008,67.06004204999999,67.070774411,67.070774411,67.070774411,68.64239128500003,right,1.0,1.5662420229999725,,68.64249541000004,68.65308565600003,69.15119811500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
right,right,14.0,0.0,7.0,left,0.0,2.243314897999994,,,,,,7.0,0.0,14.0,1.0,,,,,,,,,69.16054748400006,,,,,,,,,69.15204313100003,70.34548974799998,71.15542745000005,71.14344098499998,71.14373720700007,71.15542745000005,71.15542745000005,71.15542745000005,73.41565004000006,left,0.0,2.243314897999994,,73.41858636100005,73.42898322999997,73.92048565800008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,15.0,1.0,7.0,right,0.0,2.8204070660000298,,,,,,7.0,1.0,15.0,0.0,,,,,,,,,73.93002508500001,,,,,,,,,73.92074924400004,74.27559826200002,75.08797310800003,75.06576629400001,75.06603901800008,75.08797310800003,75.08797310800003,75.08797310800003,77.917342889,right,0.0,2.8204070660000298,,77.91749790400002,77.92727491800008,78.41750084400007,78.42614186000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
right,right,16.0,0.0,8.0,left,0.0,2.98070884699996,,,,,,8.0,0.0,16.0,1.0,,,,,,,,,78.42614186000003,,,,,,,,,78.41785857399998,78.527933018,79.338664214,79.32817994800007,79.32846492400006,79.338664214,79.338664214,79.338664214,82.32389504100001,left,0.0,2.98070884699996,,82.32399817500004,82.33417749800003,82.82896031799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,17.0,1.0,8.0,left,1.0,1.1968161519999967,,,,,,8.0,1.0,17.0,0.0,,,,,,,,,82.83839069800001,,,,,,,,,82.82922841000004,82.92599280700006,83.73036628600005,83.71918704300003,83.71944903000008,83.73036628600005,83.73036628600005,83.73036628600005,84.93828259899999,left,1.0,1.1968161519999967,,84.94191096300005,84.95539186200006,85.44990135800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
right,right,18.0,0.0,9.0,left,0.0,1.4647934490000123,,,,,,9.0,0.0,18.0,1.0,,,,,,,,,85.45954256599998,,,,,,,,,85.45015547399998,85.79829791200007,86.60132611900008,86.58859058000007,86.588857426,86.60132611900008,86.60132611900008,86.60132611900008,88.08191647000001,left,0.0,1.4647934490000123,,88.08568509700001,88.09872187600001,88.58960721900007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,19.0,1.0,9.0,right,0.0,0.8541849150000189,,,,,,9.0,1.0,19.0,0.0,,,,,,,,,88.59915454600002,,,,,,,,,88.58984929899998,88.93168895400004,89.735822772,89.724230713,89.72452062600007,89.735822772,89.735822772,89.735822772,90.60583145700002,right,0.0,0.8541849150000189,,90.60593655399998,90.61692090100009,91.11756726700004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.11769473100004,91.12769930700006,91.12769930700006,94.187818278,space,3.0451087190000408,,,,,,,,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.187912556,94.202254831,94.202254831,102.935369551,space,8.723300576999918,,,,,,,,,,,,,,,,,sub-154,1,random_dot,,
left,left,0.0,0.0,0.0,left,1.0,1.26803721400006,,speed,space,1.9883545389999424,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,104.992551952,,,,,,,,,104.98104703299998,106.18475966699998,106.99326504099996,106.98229085900005,106.98256522999998,106.99326504099996,106.99326504099996,106.99326504099996,108.27697500400006,,,,,,,,,,,,,,,,,,,,,,,102.95943751100005,102.96905396600005,102.96905396600005,104.97448672899998,space,1.9883545389999424,,left,1.0,1.26803721400006,,,,,,sub-154,1,random_dot,,
right,right,1.0,1.0,0.0,right,1.0,1.8274579080000424,,speed,space,1.9883545389999424,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,108.28718423500004,,,,,,,,,108.27732695600002,108.38509050000005,109.19417996100005,109.18225890300003,109.18262231200003,109.19417996100005,109.19417996100005,109.19417996100005,111.025053619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,1.8274579080000424,,,,,,sub-154,1,random_dot,,
