direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034319999394938,0.0085584999760612,0.0085584999760612,134.02980529994238,space,133.9262616999913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-195,1,random_dot,59.81004330430504,
right,right,0.0,0.0,0.0,right,1.0,0.9268884001066908,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,134.04099909996148,,,,,,,,,134.03656379994936,134.83528490003664,135.63587739993818,135.61962310003582,135.61987890000455,135.63587739993818,135.63587739993818,135.63587739993818,136.57163709995802,right,1.0,0.9268884001066908,,136.57816000003368,136.58722560002934,137.0878697000444,137.07179099996574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-195,1,random_dot,59.81004330430504,
left,left,1.0,1.0,0.0,left,1.0,0.4356124999467283,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,137.0878697000444,,,,,,,,,137.07199910003692,137.4225318999961,138.2235064000124,138.20670199999586,138.20694149995688,138.2235064000124,138.2235064000124,138.2235064000124,138.6750708000036,left,1.0,0.4356124999467283,,138.67516049998812,138.69109179999214,139.19154349993914,139.17523980000988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-195,1,random_dot,59.81004330430504,
left,left,2.0,0.0,1.0,left,1.0,0.8712364999810234,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,139.19154349993914,,,,,,,,,139.17546519997995,139.2748015000252,140.07620949996635,140.05969030002598,140.0599197000265,140.07620949996635,140.07620949996635,140.07620949996635,140.96169679996092,left,1.0,0.8712364999810234,,140.96176870004274,140.9773891000077,,141.46222290000878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-195,1,random_dot,59.81004330430504,
right,right,3.0,1.0,1.0,right,1.0,0.7608771999366581,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,141.47795430000406,,,,,,,,,141.46243980003055,142.26280599995516,143.06422369997017,143.04781020001974,143.0480451999465,143.06422369997017,143.06422369997017,143.06422369997017,143.8334098999621,right,1.0,0.7608771999366581,,143.83353139995597,143.8490512999706,144.3495147000067,144.33311549993232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-195,1,random_dot,59.81004330430504,
right,right,4.0,0.0,2.0,right,1.0,0.9771964000537992,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,144.3495147000067,,,,,,,,,144.3333704000106,145.53429430001415,146.33581039996352,146.3193358000135,146.319564800011,146.33581039996352,146.33581039996352,146.33581039996352,147.3218963999534,right,1.0,0.9771964000537992,,147.32198090001475,147.3376584999496,147.83822189993225,147.82184350001626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-195,1,random_dot,59.81004330430504,
left,left,5.0,1.0,2.0,left,1.0,0.7912647998891771,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,147.83822189993225,,,,,,,,,147.8220487999497,149.02305860002525,149.8247385999421,149.808313800022,149.80865589994937,149.8247385999421,149.8247385999421,149.8247385999421,150.62679190002382,left,1.0,0.7912647998891771,,150.6268696000334,150.64273850002792,151.1439939000411,151.12708549993113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-195,1,random_dot,59.81004330430504,
right,right,6.0,0.0,3.0,right,1.0,0.9012395999161528,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,151.1439939000411,,,,,,,,,151.12738980003633,152.3279289000202,153.12950159993488,153.11299019993749,153.11322800000198,153.12950159993488,153.12950159993488,153.12950159993488,154.03175079997163,right,1.0,0.9012395999161528,,154.03183650004212,154.0474442000268,154.54798329994082,154.53181329998188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-195,1,random_dot,59.81004330430504,
left,left,7.0,1.0,3.0,left,1.0,1.038112199981697,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,154.54798329994082,,,,,,,,,154.5320214999374,154.63177919993177,155.43428549997043,155.4179188000271,155.41832169995178,155.43428549997043,155.43428549997043,155.43428549997043,156.4854998999508,left,1.0,1.038112199981697,,156.4855904999422,156.50147899996955,157.0019817999564,156.9858940000413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-195,1,random_dot,59.81004330430504,
right,right,8.0,0.0,4.0,right,1.0,0.8945120999123901,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,157.0019817999564,,,,,,,,,156.98618110001553,157.0854537000414,157.88663630001247,157.87087610003073,157.87127839995082,157.88663630001247,157.88663630001247,157.88663630001247,158.78901860001497,right,1.0,0.8945120999123901,,158.78915059997234,158.80459960002918,,159.2915992999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-195,1,random_dot,59.81004330430504,
