direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0050359999295324,0.0126173999160528,0.0126173999160528,6.943693999899551,space,25.419423799961805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,6.95940489997156,,,,,,,,,6.950842299964279,8.15906299999915,8.959661799948663,8.943366299849004,8.943398899864405,8.959661799948663,8.959661799948663,8.959661799948663,12.676418599905446,right,1.0,22.20365839987062,,12.6771803998854,12.692144599976018,13.191892500035465,13.175913499901071,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,13.191892500035465,,,,,,,,,13.176332599949092,13.54208970000036,14.341759899863971,14.325825300067663,14.325845699990168,14.341759899863971,14.341759899863971,14.341759899863971,18.75893669994548,left,1.0,22.90729170013219,,18.75949570001103,18.774773699929938,19.27451710007153,19.258648399962112,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,19.27451710007153,,,,,,,,,19.25908269989304,20.074430800043046,20.87440039985813,20.858116899849847,20.858134099980816,20.87440039985813,20.87440039985813,20.87440039985813,26.22469999990426,right,1.0,23.8382363000419,,26.22524970001541,26.24024279997684,26.740187699906528,26.724381299922243,25.85730779985897,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,26.740187699906528,,,,,,,,,26.724796500056986,27.089976700022817,27.890091500012204,27.87423980003223,27.87426279997453,27.890091500012204,27.890091500012204,27.890091500012204,30.474100099876523,left,1.0,21.06630120007321,,30.47468649991788,30.489892799872905,30.98981889989227,30.97360310005024,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,30.98981889989227,,,,,,,,,30.974079699954014,32.18962119985372,32.98967220005579,32.97360799997114,32.97363390005194,32.98967220005579,32.98967220005579,32.98967220005579,37.67304049991071,right,1.0,23.1665203999728,,37.67362200003117,37.68899749987759,38.18888229993172,38.1730345999822,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,38.18888229993172,,,,,,,,,38.17351970006712,39.38873169990256,40.188739300007,40.17319880006835,40.17322860006243,40.188739300007,40.188739300007,40.188739300007,43.822640100028366,left,1.0,22.112308700103316,,43.82327209995128,43.8380861999467,44.33802759996615,44.32219869992696,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,44.33802759996615,,,,,,,,,44.32263850001618,45.53778719995171,46.33788560004905,46.32212359993719,46.322149799903855,46.33788560004905,46.33788560004905,46.33788560004905,51.638368600048125,right,0.0,23.7898851998616,,51.63898529997096,51.653906299965456,52.153810699936,52.13766820007004,51.337250999873504,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,52.153810699936,,,,,,,,,52.138130499981344,52.50386850000359,53.3039883999154,53.28811679990031,53.28814950003289,53.3039883999154,53.3039883999154,53.3039883999154,58.92073470004834,left,0.0,24.09675359982066,,58.9213696999941,58.93637240002863,59.43635559990071,59.420289600035176,58.30297239986248,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,59.43635559990071,,,,,,,,,59.42074049985968,60.63640580000356,61.43592739989981,61.42001989996061,61.42004269990139,61.43592739989981,61.43592739989981,61.43592739989981,67.33623380004428,right,1.0,24.378362100105733,,67.33678440004587,67.35172949987464,67.85161709995009,67.83540019998327,66.43500439985655,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,67.85161709995009,,,,,,,,,67.8357313000597,67.95144960004836,68.75178100005724,68.73559559998102,68.7356191999279,68.75178100005724,68.75178100005724,68.75178100005724,74.13520519994199,left,1.0,23.866703799925745,,74.13579309987836,74.15099540003575,74.65090140001848,74.63499250006862,73.7510524999816,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
right,right,,5.0,0.0,10.0,1.0,,,,,,,,,74.65090140001848,,,,,,,,,74.63540819985792,75.0003080999013,75.80075579998083,75.7845079000108,75.78452889993787,75.80075579998083,75.80075579998083,75.80075579998083,79.2355976998806,right,1.0,21.92161719989963,,79.23640549997799,79.25004730001092,79.75030419998802,79.73445999994874,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
left,left,,5.0,1.0,11.0,0.0,,,,,,,,,79.75030419998802,,,,,,,,,79.73492269986309,80.10010079992935,80.90015559992753,80.8844355000183,80.88445809995756,80.90015559992753,80.90015559992753,80.90015559992753,82.25100330007263,left,1.0,19.83635729993693,,82.25155070004985,82.26648380002007,82.76657869992778,82.7502639000304,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
right,right,,6.0,0.0,12.0,1.0,,,,,,,,,82.76657869992778,,,,,,,,,82.75065100006759,83.9662221998442,84.76635969989002,84.75048919999972,84.75051330006681,84.76635969989002,84.76635969989002,84.76635969989002,88.3666795999743,right,1.0,22.09341699979268,,88.36709890002385,88.38235149998218,88.88232639990747,88.86653089988977,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
left,left,,6.0,1.0,13.0,0.0,,,,,,,,,88.88232639990747,,,,,,,,,88.86696120002307,89.68220230005682,90.48200539988466,90.466140500037,90.46615920006298,90.48200539988466,90.48200539988466,90.48200539988466,94.1163033999037,left,1.0,22.123522700043395,,94.11685119988395,94.13165610004216,94.63152879988776,94.61557650007308,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
left,left,,7.0,0.0,14.0,0.0,,,,,,,,,94.63152879988776,,,,,,,,,94.61599990003742,94.98166619986296,95.78158179996537,95.76536610000768,95.76538580004126,95.78158179996537,95.78158179996537,95.78158179996537,99.06537209986708,left,1.0,21.761673499830067,,99.06595179997385,99.08105489984156,99.58107309998012,99.56492689996958,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
right,right,,7.0,1.0,15.0,1.0,,,,,,,,,99.58107309998012,,,,,,,,,99.56537780002692,100.78119939984754,101.58096589986236,101.56492859986612,101.56495540007018,101.58096589986236,101.58096589986236,101.58096589986236,103.03151659993456,right,1.0,19.93551249988377,,103.03212319989689,103.0470195999369,103.54697500006296,103.53102450002916,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-081,1.0,random_dot,59.98598727840456,
