direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0064199999906122,0.0096958000212907,0.0096958000212907,40.49889980000444,space,63.4265286999871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-151,1.0,random_dot,60.00358820697053,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,40.51425880001625,,,,,,,,,40.51176690001739,41.69827360002091,42.51198150002165,42.48292730003595,42.48297509999247,42.51198150002165,42.51198150002165,42.51198150002165,44.35035439999774,left,0.0,24.77619559998857,,44.35395670001162,44.37084730004426,44.864471700042486,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-151,1.0,random_dot,60.00358820697053,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,44.881144499988295,,,,,,,,,44.865175000042655,44.964629299996886,45.76497770001879,45.74926539999433,45.74930840003071,45.76497770001879,45.76497770001879,45.76497770001879,47.438052500016056,left,1.0,24.620979699946474,,47.43880390003324,47.45239210000727,47.947782600007486,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-151,1.0,random_dot,60.00358820697053,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,47.96422329999041,,,,,,,,,47.94859620003263,48.04779430001509,48.84827550000045,48.8333222999936,48.83339620003244,48.84827550000045,48.84827550000045,48.84827550000045,50.24902390001808,right,1.0,24.345019099942878,,50.249767400033306,50.26416310004424,50.74914269999135,50.76480340003036,,,,,,,,,,,,,,,,,,,,,,,,,,sub-151,1.0,random_dot,60.00358820697053,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,50.76480340003036,,,,,,,,,50.74986300000455,51.96452860004501,52.764867099991534,52.74952790001407,52.74957829999039,52.764867099991534,52.764867099991534,52.764867099991534,54.30200230004266,right,0.0,24.48027810000349,,54.30327560001752,54.31402510002954,54.799384300014935,54.8146631999989,,,,,,,,,,,,,,,,,,,,,,,,,,sub-151,1.0,random_dot,60.00358820697053,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,54.8146631999989,,,,,,,,,54.80022770003416,56.01470659999177,56.81432290002704,56.79933770000935,56.79940050002188,56.81432290002704,56.81432290002704,56.81432290002704,57.76698030001717,right,1.0,23.892647599976044,,57.76800560002448,57.780562500003725,58.26653850002913,58.280990200000815,,,,,,,,,,,,,,,,,,,,,,,,,,sub-151,1.0,random_dot,60.00358820697053,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,58.280990200000815,,,,,,,,,58.26722270000028,59.08128400001442,59.88154880004004,59.86589960003039,59.865945300029125,59.88154880004004,59.88154880004004,59.88154880004004,60.9834392000339,left,1.0,24.03807189996587,,60.98419580003247,60.99737310002092,61.48211390001234,61.49775500001852,,,,,,,,,,,,,,,,,,,,,,,,,,sub-151,1.0,random_dot,60.00358820697053,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,61.49775500001852,,,,,,,,,61.482790300040506,62.297893000009935,63.09792259999085,63.081270100024994,63.08130020002136,63.09792259999085,63.09792259999085,63.09792259999085,63.99983460002113,left,0.0,23.840283399971668,,64.00059190002503,64.01439810002921,64.49839560000692,64.51427889999468,,,,,,,,,,,,,,,,,,,,,,,,,,sub-151,1.0,random_dot,60.00358820697053,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,64.51427889999468,,,,,,,,,64.49907339998754,65.71389840001939,66.51444120000815,66.49962230003439,66.49966969998786,66.51444120000815,66.51444120000815,66.51444120000815,67.71750130003784,left,1.0,24.15048929996556,,67.71818180003902,67.73087040003156,68.21569310000632,68.23112400004175,,,,,,,,,,,,,,,,,,,,,,,,,,sub-151,1.0,random_dot,60.00358820697053,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,68.23112400004175,,,,,,,,,68.21636260004016,68.58094559999881,69.38129799999297,69.36497960000997,69.36505520000355,69.38129799999297,69.38129799999297,69.38129799999297,70.64648350002244,right,0.0,24.19535149994772,,70.64719930000138,70.65624209999805,71.1479568000068,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-151,1.0,random_dot,60.00358820697053,
