direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0054254001006484,0.0134405000135302,0.0134405000135302,26.230755100026727,space,26.214545199996792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,26.26576670003124,,,,,,,,,26.25967460009269,26.59609970008023,27.39607680006884,27.37976979999803,27.37978850002401,27.39607680006884,27.39607680006884,27.39607680006884,32.39167820010334,32.70904079999309,right,1.0,5.304317599977367,,32.70968359999824,32.725359500036575,33.22454980004113,33.20858630002476,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,33.22454980004113,,,,,,,,,33.20900740008801,33.57458050001878,34.37400790001266,34.357824000064284,34.35783720004838,34.37400790001266,34.37400790001266,34.37400790001266,,37.14041240001097,left,1.0,2.762755399919115,,37.14076090010349,37.15548660000786,37.65519740001764,37.639513300033286,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,37.65519740001764,,,,,,,,,37.63979839999229,38.85456520004664,39.65388900006656,39.63778930006083,39.63780220004264,39.65388900006656,39.65388900006656,39.65388900006656,,44.4683459000662,right,0.0,4.798643400077708,,44.468696500058286,44.48397950001527,44.9838938000612,44.96773160004523,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,44.9838938000612,,,,,,,,,44.968003800022416,45.78323120006826,46.58262060000561,46.566719499998726,46.56674240005668,46.58262060000561,46.58262060000561,46.58262060000561,,50.24757850007154,right,1.0,3.6489163999212906,,50.24814899999183,50.2635749001056,50.76325310009997,50.747356400010176,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,50.76325310009997,,,,,,,,,50.74762600008398,51.96234670002013,52.76198280008976,52.745708400034346,52.74572640005499,52.76198280008976,52.76198280008976,52.76198280008976,,57.21010630007368,right,0.0,4.4315240000141785,,57.210529200034216,57.22584540001117,57.72529820003547,57.70922970003448,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,57.72529820003547,,,,,,,,,57.70949919999112,58.525077900034375,59.32404740003403,59.3080727000488,59.308088800054975,59.32404740003403,59.32404740003403,59.32404740003403,,62.10650810005609,right,1.0,2.773614599951543,,62.10707660007756,62.12199610006064,62.622051000013016,62.60615760006476,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,62.622051000013016,,,,,,,,,62.606437600101344,62.97176169999875,63.77137990004849,63.755067000049166,63.75507990003098,63.77137990004849,63.77137990004849,63.77137990004849,,65.22180140006822,left,0.0,1.440970700001344,,65.2223665000638,65.23686689999886,65.73651980003342,65.72091330005787,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,65.73651980003342,,,,,,,,,65.72120760008693,66.08648380008526,66.88572460005525,66.86983930005226,66.86985230003484,66.88572460005525,66.88572460005525,66.88572460005525,,70.01821600005496,right,0.0,3.1165172000182797,,70.01856580004096,70.03377520001959,70.53361300006509,70.51740570005495,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,70.53361300006509,,,,,,,,,70.51767160010058,70.88319180009421,71.68242490000557,71.66676360007841,71.66677660006098,71.68242490000557,71.68242490000557,71.68242490000557,76.67898650001734,78.89539620000869,right,1.0,7.203495600027964,,78.89574540010653,78.91133360005915,79.41094150010031,79.39462340006139,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,79.41094150010031,,,,,,,,,79.39489480003249,79.7607995000435,80.5603787000291,80.54410520009696,80.54411870008335,80.5603787000291,80.5603787000291,80.5603787000291,,83.85911020007916,left,1.0,3.286168699967675,,83.85954350000247,83.87479540007189,84.37438520009164,84.35823940008413,,,,,,,,,,,,,,,,,,,,,,,,,sub-146,1.0,random_dot,59.97152549835956,
