direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0113574159986455,0.0204911659966455,0.0204911659966455,37.67716266599746,space,37.649034959002165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-163,1,random_dot,119.66923375674004,
right,right,0.0,0.0,0.0,right,1.0,3.538691166002536,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,37.72742266600108,,,,,,,,,37.70908545800194,38.484854165995785,39.29365308299748,39.26938800000062,39.26998895799625,39.29365308299748,39.29365308299748,39.29365308299748,42.83672583299631,right,1.0,3.538691166002536,,42.84470754100039,42.8580905830022,43.34189604099811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-163,1,random_dot,119.66923375674004,
left,left,1.0,1.0,0.0,left,1.0,2.0699388749999343,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,43.35231362500053,,,,,,,,,43.34237095800199,43.68558450000273,44.47811499999807,44.46955295799853,44.47003612499975,44.47811499999807,44.47811499999807,44.47811499999807,46.55381395800214,left,1.0,2.0699388749999343,,46.55393470799754,46.56284979100019,47.05318149999948,47.059101790997374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-163,1,random_dot,119.66923375674004,
right,right,2.0,0.0,1.0,right,1.0,2.995587290999538,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,47.059101790997374,,,,,,,,,47.05363904099795,47.85226604100171,48.64421354099613,48.63623183299933,48.63669395799661,48.64421354099613,48.64421354099613,48.64421354099613,51.64430212500156,right,1.0,2.995587290999538,,51.64441033299954,51.66870912499871,52.15235904099973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-163,1,random_dot,119.66923375674004,
left,left,3.0,1.0,1.0,left,1.0,2.351585666998289,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,52.15852354100207,,,,,,,,,52.15283787500084,53.3422622500002,54.135306208001566,54.12602170799801,54.12652212499961,54.135306208001566,54.135306208001566,54.135306208001566,56.493933040997945,left,1.0,2.351585666998289,,56.49404662499728,56.50208854099765,56.986427875002846,56.99235891600256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-163,1,random_dot,119.66923375674004,
left,left,4.0,0.0,2.0,right,0.0,2.7361180000007157,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,56.99235891600256,,,,,,,,,56.986888040999474,57.79208833300072,58.58526908299973,58.5752638749982,58.57573391599726,58.58526908299973,58.58526908299973,58.58526908299973,61.32750875000056,right,0.0,2.7361180000007157,,61.333470290999685,61.34181725000235,61.82497308299935,61.83599095799582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-163,1,random_dot,119.66923375674004,
right,right,5.0,1.0,2.0,right,1.0,1.082514917005028,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,61.83599095799582,,,,,,,,,61.8253751250013,62.17622504100291,62.978164000000106,62.96988366600272,62.9703753329959,62.978164000000106,62.978164000000106,62.978164000000106,64.0706837079997,right,1.0,1.082514917005028,,64.0738447909971,64.08353250000073,64.56965037500049,64.57531654099876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-163,1,random_dot,119.66923375674004,
left,left,6.0,0.0,3.0,left,1.0,2.350262083004054,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,64.57531654099876,,,,,,,,,64.57003954100219,64.91939679099596,65.71138687500206,65.7033046659999,65.70377108299726,65.71138687500206,65.71138687500206,65.71138687500206,68.07056758299586,left,1.0,2.350262083004054,,68.07068758300011,68.07935704100237,68.5701978329962,68.57607441599976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-163,1,random_dot,119.66923375674004,
right,right,7.0,1.0,3.0,right,1.0,2.834902583002986,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,68.57607441599976,,,,,,,,,68.57064341600199,68.66951541599701,69.46193095800118,69.45338054100284,69.45389191599679,69.46193095800118,69.46193095800118,69.46193095800118,72.30356941599894,right,1.0,2.834902583002986,,72.3036830830024,72.31212570799835,72.80369566599984,72.80970274999709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-163,1,random_dot,119.66923375674004,
left,left,8.0,0.0,4.0,right,0.0,2.037333084001148,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,72.80970274999709,,,,,,,,,72.80414654099877,72.89272429099947,73.6858066249988,73.67637566600024,73.67681774999801,73.6858066249988,73.6858066249988,73.6858066249988,75.72792141600075,right,0.0,2.037333084001148,,75.7310469160002,75.73978129099851,76.22502012499899,76.23647595800139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-163,1,random_dot,119.66923375674004,
