direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0126218998339027,0.0151517000049352,0.0151517000049352,1329.027158299927,space,1345.0625016000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-063,1.0,random_dot,60.40894440966828,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,1329.0420732998757,,,,,,,,,1329.037884999998,1329.3920465998815,1330.1914190000389,1330.1752599999309,1330.1752795998473,1330.1914190000389,1330.1914190000389,1330.1914190000389,1335.1874161998276,1343.1148502000142,left,0.0,28.97374519985169,,1343.1154507999308,1343.1305636998732,1343.6300836999435,1343.6142561000306,,,,,,,,,,,,,,,,,,,,,,,,,sub-063,1.0,random_dot,60.40894440966828,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,1343.6300836999435,,,,,,,,,1343.6148079000411,1343.979952099966,1344.779627899872,1344.7637708999682,1344.7638099999167,1344.779627899872,1344.779627899872,1344.779627899872,1349.7754098998848,1349.7936090999283,right,0.0,21.064787599956617,,1349.7943950998597,1349.808704199968,1350.3079407999758,1350.291904699989,,,,,,,,,,,,,,,,,,,,,,,,,sub-063,1.0,random_dot,60.40894440966828,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,1350.3079407999758,,,,,,,,,1350.2923264999408,1350.6579535000492,1351.457333700033,1351.441054899944,1351.4410776000004,1351.457333700033,1351.457333700033,1351.457333700033,1356.4530346998945,1358.486594100017,left,0.0,23.07984510017559,,1358.487307399977,1358.5015302000102,1359.001159399981,1358.9852453998756,,,,,,,,,,,,,,,,,,,,,,,,,sub-063,1.0,random_dot,60.40894440966828,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,1359.001159399981,,,,,,,,,1358.985720800003,1360.1999754998833,1360.9993667998351,1360.9833565999288,1360.9833784999792,1360.9993667998351,1360.9993667998351,1360.9993667998351,1365.9956596998964,1369.4435641998425,right,0.0,24.499702400062237,,1369.4440907000098,1369.458903899882,1369.9586159999017,1369.9429933000356,,,,,,,,,,,,,,,,,,,,,,,,,sub-063,1.0,random_dot,60.40894440966828,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,1369.9586159999017,,,,,,,,,1369.943597999867,1371.1576602000275,1371.9570897000376,1371.941116699949,1371.9411424000282,1371.9570897000376,1371.9570897000376,1371.9570897000376,1376.9529569000006,1377.5704751999583,left,0.0,21.658986000111327,,1377.5709996998776,1377.5857833998743,1378.0853391999844,1378.069078499917,,,,,,,,,,,,,,,,,,,,,,,,,sub-063,1.0,random_dot,60.40894440966828,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,1378.0853391999844,,,,,,,,,1378.0694400998764,1379.284438899951,1380.083942399826,1380.0681228998585,1380.0681695998646,1380.083942399826,1380.083942399826,1380.083942399826,1385.079819599865,1388.2445473000407,right,0.0,24.203008000040427,,1388.244935899973,1388.259976199828,1388.7598745999858,1388.7442584999371,,,,,,,,,,,,,,,,,,,,,,,,,sub-063,1.0,random_dot,60.40894440966828,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,1388.7598745999858,,,,,,,,,1388.744862399995,1388.8597099999895,1389.6593312998302,1389.6428137999028,1389.6428346999455,1389.6593312998302,1389.6593312998302,1389.6593312998302,1394.655087799998,1396.404167599976,left,1.0,22.80158569989726,,1396.4045555999037,1396.419921200024,1396.9196701999754,1396.9040677999146,,,,,,,,,,,,,,,,,,,,,,,,,sub-063,1.0,random_dot,60.40894440966828,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,1396.9196701999754,,,,,,,,,1396.904649300035,1397.2696189000271,1398.069083899958,1398.0526395998895,1398.052657800028,1398.069083899958,1398.069083899958,1398.069083899958,1403.0651962999254,1429.9616550998762,right,1.0,47.94964140001685,,1429.9621979999356,1429.9758259998634,1430.4752606998663,1430.4593778999988,,,,,,,,,,,,,,,,,,,,,,,,,sub-063,1.0,random_dot,60.40894440966828,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,1430.4752606998663,,,,,,,,,1430.4598941998556,1430.825488699833,1431.6249206999782,1431.6084849999752,1431.608507100027,1431.6249206999782,1431.6249206999782,1431.6249206999782,1436.6203508998733,1441.5006619999183,right,1.0,25.93274630024098,,1441.5010605000425,1441.5160874999128,1442.0158887999132,1442.00013890001,,,,,,,,,,,,,,,,,,,,,,,,,sub-063,1.0,random_dot,60.40894440966828,
