direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0073565000000144,0.024415800000014,0.024415800000014,102.41268150000002,space,135.60527579999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-030,2.0,random_dot,60.02343314829857,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,102.4895975,,,,,,,,,102.47768510000004,102.52449080000002,103.33037310000005,103.30907610000004,103.30913550000002,103.33037310000005,103.33037310000005,103.33037310000005,108.3099588,145.0737535,right,0.0,74.95780189999999,,145.07510710000005,145.1092339,145.59013170000003,,,,,,,,,,,,,,,,,,,,,,,,,,sub-030,2.0,random_dot,60.02343314829857,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,145.6064407,,,,,,,,,145.5914032,146.3896249,147.1944305,147.1744203,147.1744797,147.1944305,147.1944305,147.1944305,152.1906161,160.79365790000003,right,1.0,46.8100905,,160.7952183,160.82968820000002,161.30715530000003,,,,,,,,,,,,,,,,,,,,,,,,,,sub-030,2.0,random_dot,60.02343314829857,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,161.32291100000003,,,,,,,,,161.30834020000003,161.6559434,162.4600241,162.4410464,162.44110520000004,162.4600241,162.4600241,162.4600241,167.4553217,176.53017119999998,right,0.0,47.29536410000003,,176.53172870000003,176.55471260000002,177.0401723,,,,,,,,,,,,,,,,,,,,,,,,,,sub-030,2.0,random_dot,60.02343314829857,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,177.0560233,,,,,,,,,177.0418543,177.3894517,178.19283080000002,178.1738267,178.1738846,178.19283080000002,178.19283080000002,178.19283080000002,,181.7906579,left,0.0,36.813064699999984,,181.791691,181.8054909,182.2896127,182.3050996,,,,,,,,,,,,,,,,,,,,,,,,,sub-030,2.0,random_dot,60.02343314829857,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,182.3050996,,,,,,,,,182.29033480000004,183.10506810000004,183.9054476,183.88941950000003,183.8894594,183.9054476,183.9054476,183.9054476,,185.2403142,left,1.0,34.54915879999999,,185.2413403,185.260516,185.75527980000004,,,,,,,,,,,,,,,,,,,,,,,,,,sub-030,2.0,random_dot,60.02343314829857,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,185.7717493,,,,,,,,,185.75616130000003,185.8550593,186.6554216,186.6394032,186.63944380000004,186.6554216,186.6554216,186.6554216,,187.5904127,right,1.0,34.14721599999996,,187.5914427,187.6051852,188.0893596,188.1050235,,,,,,,,,,,,,,,,,,,,,,,,,sub-030,2.0,random_dot,60.02343314829857,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,188.1050235,,,,,,,,,188.09008140000003,188.9050861,189.7053871,189.6893654,189.6894055,189.7053871,189.7053871,189.7053871,,190.5903094,right,1.0,34.11194979999999,,190.5914105,190.6053374,191.0893641,191.1049568,,,,,,,,,,,,,,,,,,,,,,,,,sub-030,2.0,random_dot,60.02343314829857,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,191.1049568,,,,,,,,,191.09010920000003,192.3049143,193.1053164,193.08928180000004,193.0893211,193.1053164,193.1053164,193.1053164,,194.2234065,left,1.0,34.33513020000004,,194.224429,194.2384437,194.7227674,194.73823700000003,,,,,,,,,,,,,,,,,,,,,,,,,sub-030,2.0,random_dot,60.02343314829857,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,194.73823700000003,,,,,,,,,194.72349430000003,195.5382055,196.3386616,196.3228093,196.3228491,196.3386616,196.3386616,196.3386616,,197.12344740000003,left,1.0,33.9992211,,197.12447130000004,197.1383412,197.6226338,197.6381503,,,,,,,,,,,,,,,,,,,,,,,,,sub-030,2.0,random_dot,60.02343314829857,
