direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 71
,,,,,,,,,,,,,,,,,0.0021592000011878,0.0046386000012716,0.0046386000012716,12.81177150000076,space,22.382785399999197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-196,1.0,random_dot,60.08456301371599,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,12.821053500001652,,,,,,,,,12.818518200001565,13.167809000000489,13.967098400000395,13.951234500000282,13.951273700000456,13.967098400000395,13.967098400000395,13.967098400000395,14.684113000001162,right,1.0,10.325712500000009,,14.684863200000107,14.699123899999904,15.198822000000291,15.182881200000338,,,,,,,,,,,,,,,,,,,,,,,,sub-196,1.0,random_dot,60.08456301371599,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,15.198822000000291,,,,,,,,,15.183181700000205,16.397828300001493,17.19762780000019,17.18126570000095,17.1813058000007,17.19762780000019,17.19762780000019,17.19762780000019,18.2904180000005,left,1.0,10.679364100000384,,18.29097550000006,18.295996200000445,18.795568999999887,18.78045940000084,,,,,,,,,,,,,,,,,,,,,,,,sub-196,1.0,random_dot,60.08456301371599,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,18.795568999999887,,,,,,,,,18.781275800000003,19.145546900001136,19.96142110000073,19.945210100000622,19.945236400000795,19.96142110000073,19.96142110000073,19.96142110000073,21.4950043000008,left,1.0,11.130078399999547,,21.49555110000074,21.50977840000087,22.00922190000165,21.994148800000403,,,,,,,,,,,,,,,,,,,,,,,,sub-196,1.0,random_dot,60.08456301371599,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,22.00922190000165,,,,,,,,,21.994878000001336,22.358799500001624,23.158793500000684,23.142397800000253,23.1424388000014,23.158793500000684,23.158793500000684,23.158793500000684,24.55930630000148,right,1.0,10.998742600000696,,24.560030300001017,24.573584499999924,25.072756100000333,25.056752100001177,,,,,,,,,,,,,,,,,,,,,,,,sub-196,1.0,random_dot,60.08456301371599,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,25.072756100000333,,,,,,,,,25.05699740000091,26.27213490000031,27.07166030000008,27.055979100001423,27.05602500000168,27.07166030000008,27.07166030000008,27.07166030000008,28.739064600000347,left,1.0,11.267037800000251,,28.739803800001027,28.752935600001365,29.252465000001397,29.23756110000068,,,,,,,,,,,,,,,,,,,,,,,,sub-196,1.0,random_dot,60.08456301371599,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,29.252465000001397,,,,,,,,,29.238351400001196,30.051869000000806,30.851491299999907,30.835830900001383,30.83589040000152,30.851491299999907,30.851491299999907,30.851491299999907,32.33664510000017,right,1.0,11.088025500001097,,32.33701830000064,32.34951280000132,32.84873870000047,32.832606700001634,,,,,,,,,,,,,,,,,,,,,,,,sub-196,1.0,random_dot,60.08456301371599,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,32.84873870000047,,,,,,,,,32.83290240000133,32.94876470000054,33.74872590000086,33.73337910000009,33.73343040000145,33.74872590000086,33.74872590000086,33.74872590000086,35.347351100001106,left,1.0,11.19652490000044,,35.3476412,35.363178999999946,35.86310830000002,35.84753940000155,,,,,,,,,,,,,,,,,,,,,,,,sub-196,1.0,random_dot,60.08456301371599,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,35.86310830000002,,,,,,,,,35.84824200000003,36.21287990000019,37.01246820000051,36.99639980000029,36.99644530000114,37.01246820000051,37.01246820000051,37.01246820000051,38.728977300001134,right,1.0,11.310366599998815,,38.72961639999994,38.74371340000107,39.24300160000166,39.22784339999998,,,,,,,,,,,,,,,,,,,,,,,,sub-196,1.0,random_dot,60.08456301371599,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,39.24300160000166,,,,,,,,,39.2285909000002,39.59272620000047,40.39225020000049,40.37677600000097,40.37687030000052,40.39225020000049,40.39225020000049,40.39225020000049,41.69317030000093,left,1.0,10.898149799999372,,41.69388810000055,41.70760210000117,42.20724640000117,42.19165360000079,,,,,,,,,,,,,,,,,,,,,,,,sub-196,1.0,random_dot,60.08456301371599,
