direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077897500013932,0.022030124993762,0.022030124993762,36.75661245899392,space,36.69223499999498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-203,1,random_dot,,
right,right,0.0,0.0,0.0,right,1.0,19.773494875000324,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,36.80665083399799,,,,,,,,,36.78409083400038,37.57009979199211,38.40182362499763,38.357936749991495,38.35847162498976,38.40182362499763,38.40182362499763,38.40182362499763,43.35135554199224,58.18855887500104,right,1.0,19.773494875000324,,58.19595633399149,58.20121970899345,58.690699833998224,58.68554474999837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-203,1,random_dot,,
left,left,1.0,1.0,0.0,right,0.0,6.309259667003062,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,58.690699833998224,,,,,,,,,58.68603708400042,59.0350225000002,59.82633191699279,59.81901662499877,59.81958420899173,59.82633191699279,59.82633191699279,59.82633191699279,64.80622595899331,66.16085687499435,right,0.0,6.309259667003062,,66.16505995899206,66.17000274999009,66.66801637499884,66.65727454199805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-203,1,random_dot,,
left,left,2.0,0.0,1.0,left,1.0,5.510936292004772,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,66.66801637499884,,,,,,,,,66.65765320899663,67.85708391699882,68.65124345899676,68.64027366699884,68.64069762500003,68.65124345899676,68.65124345899676,68.65124345899676,73.63347204199817,74.17078124999534,left,1.0,5.510936292004772,,74.17572116699012,74.18479249998927,74.67373979199328,74.66885820899915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-203,1,random_dot,,
right,right,3.0,1.0,1.0,right,1.0,6.351943875008146,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,74.67373979199328,,,,,,,,,74.6693618339923,74.767896749996,75.55928737499926,75.5519964589912,75.55246641699341,75.55928737499926,75.55928737499926,75.55928737499926,80.53886979199888,81.9201994999894,right,1.0,6.351943875008146,,81.92038049999974,81.92996770898753,82.42313591699349,82.41863737499807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-203,1,random_dot,,
right,right,4.0,0.0,2.0,left,0.0,5.323408917000052,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,82.42313591699349,,,,,,,,,82.419054375001,83.21798754199699,84.00902454199968,84.00183233399002,84.00229499999841,84.00902454199968,84.00902454199968,84.00902454199968,88.9886738339992,89.33646108399262,left,0.0,5.323408917000052,,89.34141074999934,89.34905416698894,89.84028337500058,89.83555154199712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-203,1,random_dot,,
left,left,5.0,1.0,2.0,right,0.0,4.919954959012102,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,89.84028337500058,,,,,,,,,89.83592520900129,90.18476929199824,90.9761209589924,90.96865570898808,90.9692149170005,90.9761209589924,90.9761209589924,90.9761209589924,,95.90269229198748,right,0.0,4.919954959012102,,95.90281599998708,95.90964137499395,96.40770283399615,96.40270683399284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-203,1,random_dot,,
left,left,6.0,0.0,3.0,left,1.0,2.085922208992997,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,96.40770283399615,,,,,,,,,96.4034802089882,96.50128358398796,97.29263662498852,97.28523724999104,97.28577062499244,97.29263662498852,97.29263662498852,97.29263662498852,,99.38627466699108,left,1.0,2.085922208992997,,99.389679874992,99.3965905840014,99.89026045899664,99.88552345900098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-203,1,random_dot,,
right,right,7.0,1.0,3.0,left,0.0,3.2324479169910774,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,99.89026045899664,,,,,,,,,99.88589837499605,100.23454358399611,101.0261994169996,101.01865629199892,101.0192577919952,101.0261994169996,101.0261994169996,101.0261994169996,,104.26892949998728,left,0.0,3.2324479169910774,,104.27148599999782,104.27844454199658,104.77432770899031,104.76901270898816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-203,1,random_dot,,
left,left,8.0,0.0,4.0,right,0.0,4.026743166992674,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,104.77432770899031,,,,,,,,,104.76947437498892,105.11789545899956,105.90929716698884,105.90195633399708,105.90254054199612,105.90929716698884,105.90929716698884,105.90929716698884,,109.94075079199683,right,0.0,4.026743166992674,,109.9408464589942,109.95088924998709,110.44045620899124,110.43532720899384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-203,1,random_dot,,
