direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0074821249982051,0.0156156250013737,0.0156156250013737,2.2211469159992703,space,2.104944124999747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
left,left,0.0,0.0,0.0,right,0.0,4.821117125000455,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,2.260924165999313,,,,,,,,,2.2330949999995937,2.3203085829991323,3.1263414999993984,3.110777041001711,3.1114120409984025,3.1263414999993984,3.1263414999993984,3.1263414999993984,7.952209750001202,right,0.0,4.821117125000455,,7.962574958000914,7.976223958001356,8.460427082998649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
right,right,1.0,1.0,0.0,left,0.0,0.3988864999992074,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,8.466449540999747,,,,,,,,,8.460914040999342,9.250470625000162,10.052461457999016,10.043908832998568,10.044428000001062,10.052461457999016,10.052461457999016,10.052461457999016,10.45258924999871,left,0.0,0.3988864999992074,,10.45272520800063,10.459362249999684,10.943657457999509,10.94955820800169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
left,left,2.0,0.0,1.0,right,0.0,0.5758942920001573,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,10.94955820800169,,,,,,,,,10.94412525000007,12.150152750000416,12.942396957998426,12.93312750000041,12.933568707998347,12.942396957998426,12.942396957998426,12.942396957998426,13.527807333000965,right,0.0,0.5758942920001573,,13.52802658300061,13.550254416000826,14.033261749998928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
right,right,3.0,1.0,1.0,left,0.0,0.2407228339980065,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,14.043752041001426,,,,,,,,,14.033634874998825,14.11688579100155,14.909492833001424,14.89999487499881,14.90038741600074,14.909492833001424,14.909492833001424,14.909492833001424,15.151754499998788,left,0.0,0.2407228339980065,,15.151888249998592,15.15918608300126,15.644028375001652,15.649998665998282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
right,right,4.0,0.0,2.0,right,1.0,0.1806531669972173,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,15.649998665998282,,,,,,,,,15.644467082998744,15.749852916000236,16.542539624999336,16.533499124998343,16.53388891600116,16.542539624999336,16.542539624999336,16.542539624999336,16.728210375000344,right,1.0,0.1806531669972173,,16.735437208000803,16.744541249998292,17.227371665998362,17.233238875000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
left,left,5.0,1.0,2.0,right,0.0,0.2028295419986534,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,17.233238875000097,,,,,,,,,17.22775291599828,17.327261999998882,18.11936145800064,18.110765416000504,18.111311415999808,18.11936145800064,18.11936145800064,18.11936145800064,18.328718500000832,right,0.0,0.2028295419986534,,18.332508999999845,18.342134665999765,18.82732579100048,18.83339625000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
right,right,6.0,0.0,3.0,right,1.0,0.0497962500012363,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,18.83339625000008,,,,,,,,,18.82778862499981,19.17714504100149,19.969390957998257,19.9607134580001,19.961227374999,19.969390957998257,19.969390957998257,19.969390957998257,20.028576749999047,right,1.0,0.0497962500012363,,20.03670549999879,20.045862625000154,20.53336762500112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
left,left,7.0,1.0,3.0,right,0.0,0.3237282919981226,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,20.54373916600161,,,,,,,,,20.53372495800068,21.72722895799961,22.5193634999996,22.51073183300105,22.511249625000342,22.5193634999996,22.5193634999996,22.5193634999996,22.84526412500054,right,0.0,0.3237282919981226,,22.850019082998188,22.85951008299889,23.344061332998532,23.34997666599884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
right,right,8.0,0.0,4.0,right,1.0,0.6380237080011284,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,23.34997666599884,,,,,,,,,23.344527000001108,24.143846250000934,24.936001499998383,24.92737654099983,24.92788937500154,24.936001499998383,24.936001499998383,24.936001499998383,25.577064500001143,right,1.0,0.6380237080011284,,25.5812087910017,25.59052741599953,26.07754337499864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
left,left,9.0,1.0,4.0,right,0.0,1.425666041999648,,,,,,4.0,1.0,9.0,0.0,,,,,,,,,26.08311799999865,,,,,,,,,26.077883375000965,27.26689587500005,28.059255457999825,28.04992808300085,28.050476000000344,28.059255457999825,28.059255457999825,28.059255457999825,29.493933541001752,right,0.0,1.425666041999648,,29.497251207998488,29.506273915998463,29.994143415999133,30.00024191600096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
left,left,10.0,0.0,5.0,left,1.0,0.8190539170027478,,,,,,5.0,0.0,10.0,0.0,,,,,,,,,30.00024191600096,,,,,,,,,29.99458754100124,30.78287254099996,31.57588675000079,31.566924124999787,31.56734858300115,31.57588675000079,31.57588675000079,31.57588675000079,32.40175937499953,left,1.0,0.8190539170027478,,32.40512108300027,32.41579733300023,32.89865112500047,32.91041916600079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
right,right,11.0,1.0,5.0,right,1.0,1.79852312499861,,,,,,5.0,1.0,11.0,1.0,,,,,,,,,32.91041916600079,,,,,,,,,32.89895012499983,32.99971116600136,33.792430624998815,33.78331970799991,33.78370741600156,33.792430624998815,33.792430624998815,33.792430624998815,35.59491508299834,right,1.0,1.79852312499861,,35.595092208001006,35.60426308300157,36.09427125000002,36.10035329099992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
left,left,12.0,0.0,6.0,right,0.0,1.4962111659988295,,,,,,6.0,0.0,12.0,0.0,,,,,,,,,36.10035329099992,,,,,,,,,36.09471866600143,37.293844541,38.0855218329998,38.077577083000506,38.077990458001295,38.0855218329998,38.0855218329998,38.0855218329998,39.58563924999908,right,0.0,1.4962111659988295,,39.589277957999,39.59996200000023,40.08404412500022,40.09394612499818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
right,right,13.0,1.0,6.0,right,1.0,1.377802167000482,,,,,,6.0,1.0,13.0,1.0,,,,,,,,,40.09394612499818,,,,,,,,,40.08449499999915,40.8835482909999,41.675866207999206,41.666996500000096,41.66740258299978,41.675866207999206,41.675866207999206,41.675866207999206,43.06165054099984,right,1.0,1.377802167000482,,43.06600212500052,43.07535416600149,43.56065954099904,43.566214875001606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
left,left,14.0,0.0,7.0,right,0.0,1.671763665999606,,,,,,7.0,0.0,14.0,0.0,,,,,,,,,43.566214875001606,,,,,,,,,43.56099937500039,43.660340457998245,44.45185270799993,44.44398962500054,44.44438962500135,44.45185270799993,44.45185270799993,44.45185270799993,46.12724125000023,right,0.0,1.671763665999606,,46.1314120829993,46.14065391600161,46.62749641600021,46.63345008300166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
right,right,15.0,1.0,7.0,right,1.0,1.0264104579982811,,,,,,7.0,1.0,15.0,1.0,,,,,,,,,46.63345008300166,,,,,,,,,46.62792999999874,47.41694337499939,48.20919054100159,48.20015150000109,48.20055112499904,48.20919054100159,48.20919054100159,48.20919054100159,49.24462712500099,right,1.0,1.0264104579982811,,49.24866104100147,49.257707541000855,49.744109874998685,49.749612540999806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
right,right,16.0,0.0,8.0,left,0.0,0.5546097499973257,,,,,,8.0,0.0,16.0,1.0,,,,,,,,,49.749612540999806,,,,,,,,,49.74445262500012,50.93383395799901,51.72586550000051,51.71655912500137,51.71699241600072,51.72586550000051,51.72586550000051,51.72586550000051,52.285420708001766,left,0.0,0.5546097499973257,,52.28908345799937,52.29983683300088,52.783119040999736,52.79382949999854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
left,left,17.0,1.0,8.0,right,0.0,0.9853104169997096,,,,,,8.0,1.0,17.0,0.0,,,,,,,,,52.79382949999854,,,,,,,,,52.78348195799845,53.13268816599884,53.92714591600088,53.915476999998646,53.91590908299986,53.92714591600088,53.92714591600088,53.92714591600088,54.918423999999504,right,0.0,0.9853104169997096,,54.91857704100039,54.94311195800037,55.42742495800121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
left,left,18.0,0.0,9.0,right,0.0,1.1219645000019227,,,,,,9.0,0.0,18.0,0.0,,,,,,,,,55.43365987500147,,,,,,,,,55.427921999998944,56.61703312499958,57.40936058299849,57.40005329099949,57.40056216599987,57.40936058299849,57.40936058299849,57.40936058299849,58.5354582910004,right,0.0,1.1219645000019227,,58.53568291600095,58.54551820800043,59.03359483299937,59.04386108299877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
right,right,19.0,1.0,9.0,right,1.0,1.8682733749992624,,,,,,9.0,1.0,19.0,1.0,,,,,,,,,59.04386108299877,,,,,,,,,59.03393166599926,59.13352450000093,59.925966625,59.91650049999953,59.91692958299973,59.925966625,59.925966625,59.925966625,61.80269795799904,right,1.0,1.8682733749992624,,61.80619933300113,61.81644754100125,62.30047199999899,62.30928466600017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.300609041001735,62.30928466600017,62.30928466600017,67.01785808299974,space,4.703928832997917,,,,,,,,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0179919580005,67.03017249999903,67.03017249999903,71.03502600000138,space,3.997987375001685,,,,,,,,,,,,,,,,,sub-155,1,random_dot,,
