direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0042280999996364,0.0090110999999524,0.0090110999999524,86.99180639999986,space,101.33155570000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,87.01093199999968,,,,,,,,,87.00625300000002,88.20500879999963,89.01092219999964,88.98926019999999,88.98930619999965,89.01092219999964,89.01092219999964,89.01092219999964,94.00300579999976,109.364282,right,0.0,34.71068190000051,,109.3663431,109.38135399999965,109.87673889999996,,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,109.8932218,,,,,,,,,109.87764639999978,110.67567289999988,111.4764753999998,111.46039239999982,111.46044959999972,111.4764753999998,111.4764753999998,111.4764753999998,116.47348399999964,117.2430304999998,left,0.0,20.12020560000019,,117.24411429999964,117.25547549999963,117.74063939999996,117.75537469999972,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,117.75537469999972,,,,,,,,,117.74166049999984,117.85540009999976,118.65589199999977,118.63965659999984,118.63971079999963,118.65589199999977,118.65589199999977,118.65589199999977,123.65297680000003,126.25469799999972,right,1.0,21.958283500000107,,126.25570459999972,126.2682289999998,126.76735449999978,,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,126.78380659999992,,,,,,,,,126.7683336,127.96643819999964,128.76708199999985,128.75076020000006,128.7508217999998,128.76708199999985,128.76708199999985,128.76708199999985,133.76431679999996,134.41592319999972,right,0.0,19.99989980000009,,134.4170565999998,134.4295957999998,134.91414110000005,134.92896810000002,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,134.92896810000002,,,,,,,,,134.9151106999998,135.02934069999992,135.82953799999996,135.8139486,135.8139957999997,135.82953799999996,135.82953799999996,135.82953799999996,140.82689039999968,143.02857779999977,right,1.0,21.550899200000003,,143.0295461999999,143.04124379999985,143.52581740000005,143.5409483999997,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,143.5409483999997,,,,,,,,,143.52676369999972,143.6409051999999,144.44147509999993,144.4254037999999,144.42545089999976,144.44147509999993,144.44147509999993,144.44147509999993,149.43873769999982,150.02412319999985,left,1.0,19.93673390000004,,150.0251088,150.03718779999963,150.52258249999977,150.53724250000005,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,150.53724250000005,,,,,,,,,150.5235333999999,151.73650759999964,152.53697349999993,152.52115989999993,152.5212032999998,152.53697349999993,152.53697349999993,152.53697349999993,157.53427659999988,158.15324389999978,left,1.0,19.97209980000025,,158.1543001,158.1662449999999,158.65135299999974,158.66613759999973,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,158.66613759999973,,,,,,,,,158.65230639999982,159.46589700000004,160.26607769999964,160.25002760000007,160.2500839999998,160.26607769999964,160.26607769999964,160.26607769999964,165.2632377,166.3483486,right,1.0,20.43777450000016,,166.34937179999997,166.36153839999997,166.84616079999978,166.86160649999965,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,166.86160649999965,,,,,,,,,166.8470239999997,166.96140349999996,167.7622240999999,167.7453292,167.74537199999986,167.7622240999999,167.7622240999999,167.7622240999999,172.75922450000007,173.96129969999993,left,1.0,20.552223700000013,,173.96244899999965,173.9739356,174.4591301999999,174.47374319999972,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
right,right,,4.0,1.0,9.0,1.0,,,,,,,,,174.47374319999972,,,,,,,,,174.4599172999997,175.27344889999995,176.07386670000005,176.05748730000005,176.05752669999993,176.07386670000005,176.07386670000005,176.07386670000005,181.0715995999999,182.38976809999983,right,1.0,20.6666666000001,,182.39095849999967,182.40277949999967,182.8880141,182.90262839999968,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
right,right,,5.0,0.0,10.0,1.0,,,,,,,,,182.90262839999968,,,,,,,,,182.88888,184.10262479999983,184.9193396000001,184.9028306,184.90288809999996,184.9193396000001,184.9193396000001,184.9193396000001,189.91659029999985,191.5688799,left,0.0,20.99819120000029,,191.56988159999992,191.58133689999977,192.0662966,192.0810631999998,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
left,left,,5.0,1.0,11.0,0.0,,,,,,,,,192.0810631999998,,,,,,,,,192.06734129999995,193.28042629999985,194.08103409999967,194.0644087999999,194.0644890999997,194.08103409999967,194.08103409999967,194.08103409999967,199.07839879999983,199.8798440999999,left,1.0,20.15192240000033,,199.8807856999997,199.89328929999965,200.37801969999964,200.3932981999997,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
right,right,,6.0,0.0,12.0,1.0,,,,,,,,,200.3932981999997,,,,,,,,,200.37897619999967,201.19262630000003,201.99317919999976,201.97687159999987,201.97691629999963,201.99317919999976,201.99317919999976,201.99317919999976,206.99037959999987,207.57579589999975,right,1.0,19.936898500000552,,207.5767696999997,207.58879869999964,208.07412399999976,208.08857229999967,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
left,left,,6.0,1.0,13.0,0.0,,,,,,,,,208.08857229999967,,,,,,,,,208.07500679999976,209.2883880999998,210.08857369999987,210.07308599999988,210.07313179999983,210.08857369999987,210.08857369999987,210.08857369999987,215.08573449999997,215.7709215,right,0.0,20.039398299999903,,215.77176979999967,215.78433499999983,216.26913289999996,216.28444079999963,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
left,left,,7.0,0.0,14.0,0.0,,,,,,,,,216.28444079999963,,,,,,,,,216.26997559999973,217.08390919999965,217.88425370000004,217.86791270000003,217.8679659999998,217.88425370000004,217.88425370000004,217.88425370000004,222.88143059999996,223.61735739999995,right,0.0,20.08474269999988,,223.61847969999965,223.6301303,224.1149307000001,224.12982299999976,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
right,right,,7.0,1.0,15.0,1.0,,,,,,,,,224.12982299999976,,,,,,,,,224.11594719999997,224.9294405999999,225.72988110000009,225.7143520999998,225.71439979999968,225.72988110000009,225.72988110000009,225.72988110000009,230.7273327999997,231.17844539999987,right,1.0,19.80521770000041,,231.17925139999988,231.19241509999983,231.67784219999976,231.69247419999965,,,,,,,,,,,,,,,,,,,,,,,,,sub-102,1.0,random_dot,60.32363630879569,
