direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0082368750008754,0.0141804579907329,0.0141804579907329,30.65560133299732,space,30.602405457990244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
left,left,0.0,0.0,0.0,right,0.0,6.380996625011903,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,30.687607582993223,,,,,,,,,30.67513533300371,31.459189542001692,32.26159333299438,32.244227874994976,32.24473479199514,32.26159333299438,32.26159333299438,32.26159333299438,37.23725829199248,38.64680541699636,right,0.0,6.380996625011903,,38.6569115829916,38.73923670800286,39.1542097079946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
right,right,1.0,1.0,0.0,left,0.0,6.305470000006608,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,39.16091062499618,,,,,,,,,39.15474012499908,39.24461629199504,40.036843458001385,40.02801904200169,40.02851779200137,40.036843458001385,40.036843458001385,40.036843458001385,45.02703908299736,46.34484925000288,left,0.0,6.305470000006608,,46.34498912499112,46.35623595799552,46.84342895800364,46.85397724999348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
right,right,2.0,0.0,1.0,right,1.0,5.538672291993862,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,46.85397724999348,,,,,,,,,46.843751708001946,46.944220374993165,47.73715458299557,47.728019250003854,47.72848233299737,47.73715458299557,47.73715458299557,47.73715458299557,52.72066679199634,53.28090233299008,right,1.0,5.538672291993862,,53.28843324999616,53.298039125002106,53.78747124999063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
left,left,3.0,1.0,1.0,left,1.0,5.824581916996976,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,53.79411775000335,,,,,,,,,53.7878599169926,54.57796845799021,55.37051687500207,55.36158358299872,55.36202149999736,55.37051687500207,55.37051687500207,55.37051687500207,60.35396708299231,61.1981829169963,left,1.0,5.824581916996976,,61.198342082992895,61.20776808299706,61.694215416995576,61.704284624996944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
left,left,4.0,0.0,2.0,right,0.0,5.97593162501289,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,61.704284624996944,,,,,,,,,61.69461674999911,62.044595250001294,62.837567583002965,62.82824620799511,62.82869420800125,62.837567583002965,62.837567583002965,62.837567583002965,67.8207185420033,68.82275308298995,right,0.0,5.97593162501289,,68.82641174999299,68.83661195800232,69.3216189169907,69.32813879199966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
right,right,5.0,1.0,2.0,right,1.0,5.530381707998458,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,69.32813879199966,,,,,,,,,69.32215391698992,70.12088087499433,70.91395408299286,70.90493741699902,70.90557366699795,70.91395408299286,70.91395408299286,70.91395408299286,75.90425445800065,76.44735558298999,right,1.0,5.530381707998458,,76.45107416699466,76.4679386249918,76.95420591699076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
left,left,6.0,0.0,3.0,left,1.0,5.425650790988584,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,76.96038999999291,,,,,,,,,76.95460804199683,77.04412045799836,77.83677037499729,77.82769083300082,77.82816370799264,77.83677037499729,77.83677037499729,77.83677037499729,82.82717645799858,83.27251312498993,left,1.0,5.425650790988584,,83.27266929199686,83.2818704169913,83.77174879200174,83.77837816700048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
right,right,7.0,1.0,3.0,right,1.0,5.501673207996646,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,83.77837816700048,,,,,,,,,83.77228604200354,83.87095512499218,84.66400849999627,84.65501520800171,84.65565975000209,84.66400849999627,84.66400849999627,84.66400849999627,89.64381866699841,90.1732339579903,right,1.0,5.501673207996646,,90.17338508299144,90.18272445799084,90.67130983299285,90.6776479580003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,5.451025041998946,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,90.6776479580003,,,,,,,,,90.67171112500364,91.47081779199652,92.263898374993,92.25509112500004,92.2557280829933,92.263898374993,92.263898374993,92.263898374993,97.25441708299331,97.72325320799428,left,1.0,5.451025041998946,,97.7233999579912,97.7327650829975,98.22177195799304,98.22819758299738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
right,right,9.0,1.0,4.0,right,1.0,5.390114041001652,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,98.22819758299738,,,,,,,,,98.22235229199578,99.02117920799355,99.88433624999016,99.8051699170028,99.80580729199572,99.88433624999016,99.88433624999016,99.88433624999016,104.79397174999758,105.2795390419924,right,1.0,5.390114041001652,,105.2796965000016,105.28981208299228,105.77802499999234,105.78745150000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
right,right,10.0,0.0,5.0,right,1.0,5.381252375009353,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,105.78745150000032,,,,,,,,,105.77834962499035,105.87792533299944,106.6699074999924,106.66104999999516,106.66152345799492,106.6699074999924,106.6699074999924,106.6699074999924,111.6543544169981,112.0556084169948,right,1.0,5.381252375009353,,112.05576533300336,112.06517758299016,112.55531445798988,112.56193687499037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
left,left,11.0,1.0,5.0,left,1.0,5.393783457999234,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,112.56193687499037,,,,,,,,,112.55586675000086,113.35436933299934,114.14749458299777,114.13847283300127,114.139133167002,114.14749458299777,114.14749458299777,114.14749458299777,119.137651750003,119.54695658299896,left,1.0,5.393783457999234,,119.547110917003,119.55702516699968,120.04501883299965,120.05437341699144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
left,left,12.0,0.0,6.0,left,1.0,5.377157499999157,,,,,,6.0,0.0,12.0,0.0,,,,,,,,,120.05437341699144,,,,,,,,,120.04539020798984,120.39478674999556,121.18651558300188,121.17805899999804,121.17839924999862,121.18651558300188,121.18651558300188,121.18651558300188,126.17738712500432,126.57333329199172,left,1.0,5.377157499999157,,126.57348670800276,126.5827916249982,127.07186745799844,127.07835487500417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
right,right,13.0,1.0,6.0,right,1.0,5.374589624989312,,,,,,6.0,1.0,13.0,1.0,,,,,,,,,127.07835487500417,,,,,,,,,127.0724084169924,128.27115916699404,129.06352066699765,129.05494029200054,129.0555386670021,129.06352066699765,129.06352066699765,129.06352066699765,134.05445508299454,134.4417819169903,right,1.0,5.374589624989312,,134.44198887499806,134.45140420799726,134.9381015830004,134.94424870799412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
right,right,14.0,0.0,7.0,right,1.0,5.517914957992616,,,,,,7.0,0.0,14.0,1.0,,,,,,,,,134.94424870799412,,,,,,,,,134.93851554200228,135.03774924999743,135.83083779200388,135.82196516699332,135.82261649999418,135.83083779200388,135.83083779200388,135.83083779200388,140.81156666699098,141.35684316699917,right,1.0,5.517914957992616,,141.35700024999096,141.36638058300014,141.855105249997,141.86150800000178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
left,left,15.0,1.0,7.0,left,1.0,5.395995458005928,,,,,,7.0,1.0,15.0,0.0,,,,,,,,,141.86150800000178,,,,,,,,,141.8555447079998,143.05455641700246,143.84851279199938,143.83940554199216,143.8401707919984,143.84851279199938,143.84851279199938,143.84851279199938,148.8372178330028,149.2472434999945,left,1.0,5.395995458005928,,149.24740204199043,149.25702679199458,149.74451283300004,149.75437358299678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
right,right,16.0,0.0,8.0,right,1.0,5.31738975000917,,,,,,8.0,0.0,16.0,1.0,,,,,,,,,149.75437358299678,,,,,,,,,149.74493329199322,149.8448777500016,150.63748033299635,150.62856379199366,150.62896516699402,150.63748033299635,150.63748033299635,150.63748033299635,155.62095487499028,155.9581145419943,right,1.0,5.31738975000917,,155.9583011670038,155.96794449999288,156.4554142919951,156.46196745800262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
left,left,17.0,1.0,8.0,left,1.0,5.309540749993175,,,,,,8.0,1.0,17.0,0.0,,,,,,,,,156.46196745800262,,,,,,,,,156.45595658299862,157.65473391699197,158.448000666991,158.4388722080039,158.43961233299342,158.448000666991,158.448000666991,158.448000666991,163.43784466700163,163.76216708299762,left,1.0,5.309540749993175,,163.76232329200138,163.78735533299914,164.27147558299475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
left,left,18.0,0.0,9.0,left,1.0,5.368969874994946,,,,,,9.0,0.0,18.0,0.0,,,,,,,,,164.27801129200088,,,,,,,,,164.2719731249963,165.06168183300178,165.85365466699295,165.84526533300232,165.84559879200242,165.85365466699295,165.85365466699295,165.85365466699295,170.8442938329972,171.23061991699797,left,1.0,5.368969874994946,,171.2307721249963,171.2405973749992,171.7287057079957,171.73724733300332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
right,right,19.0,1.0,9.0,right,1.0,5.316682874996332,,,,,,9.0,1.0,19.0,1.0,,,,,,,,,171.73724733300332,,,,,,,,,171.72905641699617,172.07822916700388,172.87105562500074,172.8615073330002,172.8621414579975,172.87105562500074,172.87105562500074,172.87105562500074,177.85438891699596,178.19012708299852,right,1.0,5.316682874996332,,178.19029649998993,178.19966062500316,178.68834004199016,178.69633929200063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.68846016700263,178.69633929200063,178.69633929200063,181.63032637500143,space,2.926293333002832,,,,,,,,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.63047070799803,181.64317445800407,181.64317445800407,184.77339937500076,space,3.124639041008777,,,,,,,,,,,,,,,,sub-012,1,random_dot,,
