direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0091546670009847,0.0233799589987029,0.0233799589987029,6.191329583998595,space,6.024379708003835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-115,1,random_dot,120.45864725709136,
left,left,0.0,0.0,0.0,left,1.0,1.0829745829978492,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,6.2203307500021765,,,,,,,,,6.210797833999095,6.9928367090033134,7.798518959003559,7.781655124999816,7.782282334002957,7.798518959003559,7.798518959003559,7.798518959003559,8.889363750000484,left,1.0,1.0829745829978492,,8.897205042005226,8.998190834005072,9.398067417001585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-115,1,random_dot,120.45864725709136,
right,right,1.0,1.0,0.0,right,1.0,1.362701874000777,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,9.403512292003144,,,,,,,,,9.39857683399896,9.738733459002106,10.539904792000016,10.53156837500137,10.532169999998588,10.539904792000016,10.539904792000016,10.539904792000016,11.905687209000462,right,1.0,1.362701874000777,,11.905853000003844,11.918267542001558,12.404244750003272,12.414590167005372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-115,1,random_dot,120.45864725709136,
left,left,2.0,0.0,1.0,right,0.0,0.8936034580037813,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,12.414590167005372,,,,,,,,,12.404740000005404,13.205469625005207,14.006666375003988,13.998436500005482,13.99900670900388,14.006666375003988,14.006666375003988,14.006666375003988,14.90574487500271,right,0.0,0.8936034580037813,,14.912852583998756,14.928943209000863,15.414784167005564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-115,1,random_dot,120.45864725709136,
right,right,3.0,1.0,1.0,left,0.0,1.1368603329974576,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,15.420288334004,,,,,,,,,15.41531550000218,16.205459333999897,17.006613208999624,16.998162250005407,16.998746124998434,17.006613208999624,17.006613208999624,17.006613208999624,18.148671625000134,left,0.0,1.1368603329974576,,18.14882845900138,18.157489584002175,18.648461417004,18.65438633400481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-115,1,random_dot,120.45864725709136,
right,right,4.0,0.0,2.0,right,1.0,1.1657163749987376,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,18.65438633400481,,,,,,,,,18.649058875002083,18.739130417001437,19.54065500000433,19.53177570900152,19.532445625001856,19.54065500000433,19.54065500000433,19.54065500000433,20.715495292002743,right,1.0,1.1657163749987376,,20.71954541699961,20.72794729200541,21.214827959003745,21.220257834000225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-115,1,random_dot,120.45864725709136,
left,left,5.0,1.0,2.0,right,0.0,1.1133021659989026,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,21.220257834000225,,,,,,,,,21.215321250005218,21.30556445899856,22.10653170900332,22.09837095900002,22.09894337500009,22.10653170900332,22.10653170900332,22.10653170900332,23.22317425000074,right,0.0,1.1133021659989026,,23.226675334000905,23.23566416700487,23.720652709002024,23.731442042000708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-115,1,random_dot,120.45864725709136,
left,left,6.0,0.0,3.0,right,0.0,1.129212040999846,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,23.731442042000708,,,,,,,,,23.72112279200519,24.521969250003167,25.323365084004763,25.31499029200495,25.3155719589995,25.323365084004763,25.323365084004763,25.323365084004763,26.45551129199885,right,0.0,1.129212040999846,,26.45562558399979,26.463407458999427,26.94847270900209,26.953966792003484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-115,1,random_dot,120.45864725709136,
right,right,7.0,1.0,3.0,left,0.0,0.8767326239976683,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,26.953966792003484,,,,,,,,,26.948958500004665,27.75443137500406,28.547491124998487,28.537438042003487,28.538120042001538,28.547491124998487,28.547491124998487,28.547491124998487,29.43225354199967,left,0.0,0.8767326239976683,,29.432396417003478,29.44055020900123,29.931752750002488,29.93763895900338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-115,1,random_dot,120.45864725709136,
left,left,8.0,0.0,4.0,right,0.0,1.6636491659955936,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,29.93763895900338,,,,,,,,,29.9322281249988,30.022027125000022,30.823159709005267,30.815141833998496,30.815683959001035,30.823159709005267,30.823159709005267,30.823159709005267,32.48975983400305,right,0.0,1.6636491659955936,,32.489902917004656,32.4984207919988,32.98182208400249,32.98755345900281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-115,1,random_dot,120.45864725709136,
