direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034022000036202,0.0302629999932833,0.0302629999932833,1.7060589999891818,space,1.6567576000234112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-189,1,random_dot,59.815087636671365,
left,left,0.0,0.0,0.0,left,1.0,2.6441715000546537,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,1.731786500022281,,,,,,,,,1.726849900034722,2.519343000021763,3.374729900038801,3.30407529999502,3.3043971000006422,3.374729900038801,3.374729900038801,3.374729900038801,6.025863600021694,left,1.0,2.6441715000546537,,6.032582400017418,6.039571300032549,6.542097500001546,6.526121000002604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-189,1,random_dot,59.815087636671365,
right,right,1.0,1.0,0.0,right,1.0,0.8688788000144996,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,6.542097500001546,,,,,,,,,6.5263891000067815,7.726767000043765,8.528054099995643,8.512090400035959,8.51247830002103,8.528054099995643,8.528054099995643,8.528054099995643,9.398054199991748,right,1.0,0.8688788000144996,,9.398146399995312,9.411783599993214,9.913366900000256,9.895842700032516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-189,1,random_dot,59.815087636671365,
right,right,2.0,0.0,1.0,right,1.0,0.599334699974861,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,9.913366900000256,,,,,,,,,9.896086200024,10.714994400041178,11.51625069999136,11.500403699988963,11.500789500016252,11.51625069999136,11.51625069999136,11.51625069999136,12.117062800040005,right,1.0,0.599334699974861,,12.1171531000291,12.132342000026256,,12.617748500022572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-189,1,random_dot,59.815087636671365,
left,left,3.0,1.0,1.0,left,1.0,0.5015521000023,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,12.63359640003182,,,,,,,,,12.618159700010438,12.716706500039436,13.518214700045064,13.502261699992232,13.502703300036956,13.518214700045064,13.518214700045064,13.518214700045064,14.022060999996029,left,1.0,0.5015521000023,,14.022177200007718,14.03587790002348,14.537109600030815,14.521123500016984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-189,1,random_dot,59.815087636671365,
right,right,4.0,0.0,2.0,right,1.0,0.6791073000058532,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,14.537109600030815,,,,,,,,,14.521451100008562,15.321952000027522,16.1229553000303,16.106898400001228,16.107217800046783,16.1229553000303,16.1229553000303,16.1229553000303,16.80927770002745,right,1.0,0.6791073000058532,,16.809393600036856,16.822803399991244,17.324896200036164,17.30908710003132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-189,1,random_dot,59.815087636671365,
left,left,5.0,1.0,2.0,left,1.0,1.1882606000290252,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,17.324896200036164,,,,,,,,,17.309353100019507,17.658409200026654,18.45891919999849,18.44381510000676,18.444149299990386,18.45891919999849,18.45891919999849,18.45891919999849,19.661911700037308,left,1.0,1.1882606000290252,,19.66200430004392,19.67743340000743,20.178766800032463,20.16255569999339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-189,1,random_dot,59.815087636671365,
left,left,6.0,0.0,3.0,right,0.0,0.4847334999940358,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,20.178766800032463,,,,,,,,,20.162855900009163,20.262438900012057,21.063909300020896,21.0480816999916,21.048401700041723,21.063909300020896,21.063909300020896,21.063909300020896,21.56532069999957,right,0.0,0.4847334999940358,,21.570868300041184,21.58023720001802,,22.06570209999336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-189,1,random_dot,59.815087636671365,
right,right,7.0,1.0,3.0,right,1.0,0.7346120000001974,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,22.082098100043368,,,,,,,,,22.06602730002487,23.266032700019423,24.06837300001644,24.05217360000825,24.052749500027858,24.06837300001644,24.06837300001644,24.06837300001644,24.804264800040983,right,1.0,0.7346120000001974,,24.80710030003684,24.81814560003113,25.31921789998887,25.3029913000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-189,1,random_dot,59.815087636671365,
left,left,8.0,0.0,4.0,left,1.0,0.5444388000178151,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,25.31921789998887,,,,,,,,,25.303293200035117,25.654351600038357,26.455164000042718,26.438982799998485,26.439306400017813,26.455164000042718,26.455164000042718,26.455164000042718,27.007592500012837,left,1.0,0.5444388000178151,,27.00768700003391,27.021882400033064,27.522593200032134,27.507022500038147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-189,1,random_dot,59.815087636671365,
