direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 71
,,,,,,,,,,,,,,,,,0.0358683000013115,0.0411260000037145,0.0411260000037145,2.74426620000304,space,19.692606099997647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,2.759032200003276,,,,,,,,,2.751865900005214,3.108891100004257,3.909381199999189,3.8930431000044337,3.89306580000266,3.909381199999189,3.909381199999189,3.909381199999189,4.8442647000047145,right,1.0,17.923315099993488,,4.845188400002371,4.857431299999007,5.357395999999426,5.343767600003048,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,5.357395999999426,,,,,,,,,5.34475580000435,5.457472699999926,6.2578590999983135,6.24191140000039,6.241941300002509,6.2578590999983135,6.2578590999983135,6.2578590999983135,7.326935400000366,left,1.0,18.059401899998196,,7.327732199999446,7.339677800002391,7.839525499999581,7.823929900005169,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,7.839525499999581,,,,,,,,,7.8244389000028605,8.189267500005371,8.989797300004284,8.972767300001578,8.97280590000446,8.989797300004284,8.989797300004284,8.989797300004284,9.707040000001143,right,1.0,17.700980899993738,,9.707545500001288,9.721501500003797,10.221293499998865,10.20689520000451,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,10.221293499998865,,,,,,,,,10.207961400003114,10.321471100003691,11.121515400001954,11.104778000000806,11.104803200003516,11.121515400001954,11.121515400001954,11.121515400001954,11.889001700001243,left,1.0,17.746379499993054,,11.8894736000002,11.903292100003457,12.402971000003165,12.387765500003296,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,12.402971000003165,,,,,,,,,12.388342600002945,13.602341400001023,14.402782400000431,14.386037700001909,14.38606570000411,14.402782400000431,14.402782400000431,14.402782400000431,15.436695600001258,right,1.0,18.0254047999988,,15.437225400004536,15.451195300003748,15.95082579999871,15.935610799999267,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,15.95082579999871,,,,,,,,,15.9362226000012,16.3005570000023,17.10105779999867,17.084430599999905,17.084468900000502,17.10105779999867,17.10105779999867,17.10105779999867,18.069476299999224,left,1.0,17.944550399995933,,18.070273800003637,18.08286750000116,18.58246550000331,18.56741570000304,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,18.58246550000331,,,,,,,,,18.567934999999125,19.78241379999963,20.59896980000485,20.5827930000014,20.58281810000335,20.59896980000485,20.59896980000485,20.59896980000485,21.88418150000507,right,0.0,18.27687560000049,,21.884837500001595,21.896791800005303,22.396696900003008,22.38116589999845,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,22.396696900003008,,,,,,,,,22.381735399998437,22.49658600000112,23.29749140000058,23.28133959999832,23.28137979999883,23.29749140000058,23.29749140000058,23.29749140000058,24.81646049999836,right,1.0,18.509163299990178,,24.817168699999456,24.828728400003456,25.32838569999876,25.313394000004337,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,25.32838569999876,,,,,,,,,25.31421119999868,25.42815690000134,26.228881700000784,26.213007300000758,26.213092400001187,26.228881700000784,26.228881700000784,26.228881700000784,27.26292950000061,left,0.0,18.02465139999549,,27.263420800001768,27.276875499999733,27.77697330000228,27.76219320000382,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,27.77697330000228,,,,,,,,,27.76318110000284,28.976044600000023,29.776342500001192,29.759552700001223,29.759575900003256,29.776342500001192,29.776342500001192,29.776342500001192,30.67714060000435,left,1.0,17.88047479999659,,30.67770250000467,30.69127750000189,31.19101159999991,31.175890700003947,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
left,left,,5.0,0.0,10.0,0.0,,,,,,,,,31.19101159999991,,,,,,,,,31.176433100001304,31.54079289999936,32.341548299998976,32.325711199999205,32.32576220000192,32.341548299998976,32.341548299998976,32.341548299998976,34.20916730000317,right,0.0,18.849503999997975,,34.20986090000224,34.22267160000047,34.72252600000502,34.70716760000505,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
right,right,,5.0,1.0,11.0,1.0,,,,,,,,,34.72252600000502,,,,,,,,,34.70847660000436,35.07206530000258,35.87278309999965,35.856923300001654,35.856957000003604,35.87278309999965,35.87278309999965,35.87278309999965,38.02244480000081,left,0.0,19.130892499990296,,38.02301309999893,38.03661999999895,38.53639480000129,38.52115210000193,,,,,,,,,,,,,,,,,,,,,,,,sub-008,1.0,random_dot,60.24339536427741,
