direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 71
,,,,,,,,,,,,,,,,,0.0045881001278758,0.0090899998322129,0.0090899998322129,2.3443048000335693,space,13.733199500013145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-169,1.0,random_dot,119.9935681840188,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,2.357822500169277,,,,,,,,,2.353905600029975,2.4510206999257207,3.2539321002550423,3.2431164998561144,3.24313999991864,3.2539321002550423,3.2539321002550423,3.2539321002550423,4.244306200183928,left,0.0,12.38460520002991,,4.245192899834365,4.257122099865228,4.75050920015201,,,,,,,,,,,,,,,,,,,,,,,,,sub-169,1.0,random_dot,119.9935681840188,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,4.758856300264597,,,,,,,,,4.750778300222009,5.9503180999308825,6.751035400200635,6.742202800232917,6.742217999882996,6.751035400200635,6.751035400200635,6.751035400200635,7.459845799952745,right,0.0,12.108341899700465,,7.460192400030792,7.466721900273114,7.958734999876469,7.966460099909455,,,,,,,,,,,,,,,,,,,,,,,,sub-169,1.0,random_dot,119.9935681840188,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,7.966460099909455,,,,,,,,,7.959057200234383,8.76665320014581,9.5672096000053,9.558584399987012,9.558605399914086,9.5672096000053,9.5672096000053,9.5672096000053,10.24368550023064,left,0.0,12.077154700178651,,10.24426080007106,10.249568900093436,10.741802399978042,10.749410899821669,,,,,,,,,,,,,,,,,,,,,,,,sub-169,1.0,random_dot,119.9935681840188,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,10.749410899821669,,,,,,,,,10.742217500228437,11.549564599990845,12.350267100147905,12.341537800151857,12.34155200002715,12.350267100147905,12.350267100147905,12.350267100147905,13.31727600004524,left,1.0,12.361051100306211,,13.317678899969906,13.32462410023436,13.816317799966782,13.823880900163203,,,,,,,,,,,,,,,,,,,,,,,,sub-169,1.0,random_dot,119.9935681840188,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,13.823880900163203,,,,,,,,,13.816608500201257,15.023732600267977,15.824479800183326,15.816027900204062,15.81604029983282,15.824479800183326,15.824479800183326,15.824479800183326,17.158544700127095,right,1.0,12.728106499649584,,17.15891080023721,17.165394300129265,17.657255200203508,17.66510479990393,,,,,,,,,,,,,,,,,,,,,,,,sub-169,1.0,random_dot,119.9935681840188,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,17.66510479990393,,,,,,,,,17.65753300022334,17.76515860017389,18.565623099915683,18.55718160001561,18.557195799890906,18.565623099915683,18.565623099915683,18.565623099915683,19.5916531002149,right,0.0,12.42678300011903,,19.59207540005445,19.59798109997064,20.090265800245103,20.098091000225395,,,,,,,,,,,,,,,,,,,,,,,,sub-169,1.0,random_dot,119.9935681840188,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,20.098091000225395,,,,,,,,,20.090567300096158,20.4481143001467,21.24879809981212,21.239890300203115,21.239904699847106,21.24879809981212,21.24879809981212,21.24879809981212,22.016225500032306,left,0.0,12.16653380030766,,22.01664029993117,22.022876900155097,22.51480539981276,22.52274869987741,,,,,,,,,,,,,,,,,,,,,,,,sub-169,1.0,random_dot,119.9935681840188,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,22.52274869987741,,,,,,,,,22.515132899861783,23.72239240026101,24.52327900007367,24.514564900193363,24.51458049984649,24.52327900007367,24.52327900007367,24.52327900007367,25.890618599951267,left,1.0,12.760985100176184,,25.891074100043625,25.897064600139856,26.38904430018738,26.396921299863607,,,,,,,,,,,,,,,,,,,,,,,,sub-169,1.0,random_dot,119.9935681840188,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,26.396921299863607,,,,,,,,,26.38935359986499,27.59679919993505,28.39766510017216,28.38890139991417,28.38891660002992,28.39766510017216,28.39766510017216,28.39766510017216,29.348511000163853,left,1.0,12.35170969972387,,29.34894479997456,29.354845699854195,29.846856700256467,29.85470440005884,,,,,,,,,,,,,,,,,,,,,,,,sub-169,1.0,random_dot,119.9935681840188,
