direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0070156869769562,0.0213375339808408,0.0213375339808408,5.716003903973615,space,5.570425771002192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,0.0,0.0,0.0,right,1.0,2.4644957430136856,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,5.77041766999173,,,,,,,,,5.74750813798164,6.064972989988746,6.873962280980777,6.848960614996031,6.849783705984009,6.873962280980777,6.873962280980777,6.873962280980777,9.34201977099292,right,1.0,2.4644957430136856,,9.34636292999494,9.430952627997613,9.847333580983104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
left,left,1.0,1.0,0.0,right,0.0,2.6130770779855084,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,9.85782843999914,,,,,,,,,9.848039176984456,11.031955512997229,11.842415687977336,11.8159869289957,11.816844198998297,11.842415687977336,11.842415687977336,11.842415687977336,14.45885003899457,right,0.0,2.6130770779855084,,14.462329529982526,14.473187690979104,14.958255231991645,14.964175756991608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,2.0,0.0,1.0,left,0.0,2.0421384149813093,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,14.964175756991608,,,,,,,,,14.958754506980767,15.307373395975446,16.09919994798838,16.091306749993237,16.091774956992595,16.09919994798838,16.09919994798838,16.09919994798838,18.14912705399911,left,0.0,2.0421384149813093,,18.14920426197932,18.15758954299963,18.640443794982275,18.64553597799386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
left,left,3.0,1.0,1.0,right,0.0,1.0032810819975566,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,18.64553597799386,,,,,,,,,18.640611222974258,18.7485570179997,19.5421491789748,19.532117062975885,19.53290944697801,19.5421491789748,19.5421491789748,19.5421491789748,20.55090258800192,right,0.0,1.0032810819975566,,20.551076838979498,20.56049379397882,21.046857059001923,21.05848188098753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
left,left,4.0,0.0,2.0,right,0.0,0.8758327519753948,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,21.05848188098753,,,,,,,,,21.047339109994937,21.146032192977145,21.94170459598536,21.931090968981152,21.931879273994127,21.94170459598536,21.94170459598536,21.94170459598536,22.824588332994608,right,0.0,0.8758327519753948,,22.82471121297567,22.841705945000285,23.32585022097919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,5.0,1.0,2.0,right,1.0,4.602953989000525,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,23.33200522098923,,,,,,,,,23.32648685699678,23.414334597997367,24.20798831398133,24.19725615598145,24.19803101697471,24.20798831398133,24.20798831398133,24.20798831398133,28.817228803993203,right,1.0,4.602953989000525,,28.81901799098705,28.826292580983136,29.315268253994876,29.324156746995868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,6.0,0.0,3.0,right,1.0,1.5039544650062453,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,29.324156746995868,,,,,,,,,29.315771632973338,30.515118162991712,31.308456126978854,31.298594715975923,31.29938325600233,31.308456126978854,31.308456126978854,31.308456126978854,32.82534624700202,right,1.0,1.5039544650062453,,32.82541161598056,32.84050428098999,33.3241070919903,33.329737233987544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
left,left,7.0,1.0,3.0,right,0.0,6.693594601005316,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,33.329737233987544,,,,,,,,,33.324414788978174,33.41486353799701,34.21517224199488,34.20744244198431,34.20782381598838,34.21517224199488,34.21517224199488,34.21517224199488,40.91578742797719,right,0.0,6.693594601005316,,40.91807600899483,40.92629141997895,41.41396661900217,41.42410932897474,39.22406079398934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
left,left,8.0,0.0,4.0,right,0.0,2.045804010005668,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,41.42410932897474,,,,,,,,,41.4144634839904,42.214975697977934,43.02549342199927,43.00856689497596,43.00890043398249,43.02549342199927,43.02549342199927,43.02549342199927,45.07515979299205,right,0.0,2.045804010005668,,45.07527505699545,45.08289587899344,45.57475596800214,45.58091288298601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,9.0,1.0,4.0,right,1.0,2.1222730089793918,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,45.58091288298601,,,,,,,,,45.57529405198875,45.923947318980936,46.71584235900082,46.70741554099368,46.707845878001535,46.71584235900082,46.71584235900082,46.71584235900082,48.84200811499613,right,1.0,2.1222730089793918,,48.844117492990335,48.85049724299461,49.34102929200162,49.347090486000525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,10.0,0.0,5.0,left,0.0,2.981494126986945,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,49.347090486000525,,,,,,,,,49.341585617978126,49.68086056498578,50.475679777999176,50.4650190929824,50.46580517297844,50.475679777999176,50.475679777999176,50.475679777999176,53.45857381998212,left,0.0,2.981494126986945,,53.46120633397368,53.467712650977774,53.95753609997337,53.96340047798003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
left,left,11.0,1.0,5.0,right,0.0,0.7207088279828895,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,53.96340047798003,,,,,,,,,53.95791810899391,55.15791844797786,55.95024861799902,55.942113236000296,55.94269842599169,55.95024861799902,55.95024861799902,55.95024861799902,56.67635657699429,right,0.0,0.7207088279828895,,56.676510510995286,56.69149285298772,57.17551527998876,57.18144738499541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,12.0,0.0,6.0,left,0.0,1.6126676299900282,,,,,,6.0,0.0,12.0,1.0,,,,,,,,,57.18144738499541,,,,,,,,,57.17602057100157,57.52498797897715,58.31629225198412,58.30820707898238,58.30866665099165,58.31629225198412,58.31629225198412,58.31629225198412,59.94061836297624,left,0.0,1.6126676299900282,,59.94068217498716,59.94799907397828,60.44166335699265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
left,left,13.0,1.0,6.0,right,0.0,1.6308162250206806,,,,,,6.0,1.0,13.0,0.0,,,,,,,,,60.44789702899288,,,,,,,,,60.44228304497665,60.781304748990806,61.5849208959844,61.57543536199955,61.57603324498632,61.5849208959844,61.5849208959844,61.5849208959844,63.22355567399063,right,0.0,1.6308162250206806,,63.22362285098643,63.23081776697654,63.71517676798976,63.723916186980205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,14.0,0.0,7.0,right,1.0,3.7724256419751327,,,,,,7.0,0.0,14.0,1.0,,,,,,,,,63.723916186980205,,,,,,,,,63.715831064997474,64.91354794698418,65.71366363498964,65.70689293599571,65.70710202597547,65.71366363498964,65.71366363498964,65.71366363498964,69.4913755460002,right,1.0,3.7724256419751327,,69.49309568598983,69.49951373497606,69.99175248199026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
left,left,15.0,1.0,7.0,right,0.0,3.245532983011799,,,,,,7.0,1.0,15.0,0.0,,,,,,,,,69.9979693829955,,,,,,,,,69.99234560498735,70.7799036949873,71.57421917197644,71.56322222799645,71.56401640697732,71.57421917197644,71.57421917197644,71.57421917197644,74.82477582499268,right,0.0,3.245532983011799,,74.82646241399925,74.83974701998523,75.32512306899298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
left,left,16.0,0.0,8.0,right,0.0,1.89536356300232,,,,,,8.0,0.0,16.0,0.0,,,,,,,,,75.33164736599429,,,,,,,,,75.32570816398947,75.4136432579835,76.20714391799993,76.1970968300011,76.19783906798693,76.20714391799993,76.20714391799993,76.20714391799993,78.1116926559771,right,0.0,1.89536356300232,,78.11176509299548,78.12287785598892,78.60788706099265,78.61376322497381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,17.0,1.0,8.0,right,1.0,0.6231221120106056,,,,,,8.0,1.0,17.0,1.0,,,,,,,,,78.61376322497381,,,,,,,,,78.60822040998028,79.40583325797343,80.19734447798692,80.18947958599892,80.19014651197358,80.19734447798692,80.19734447798692,80.19734447798692,80.8245658329979,right,1.0,0.6231221120106056,,80.8262218599848,80.83344681200106,81.32425209699431,81.33018119898043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,18.0,0.0,9.0,left,0.0,1.2591330819996074,,,,,,9.0,0.0,18.0,1.0,,,,,,,,,81.33018119898043,,,,,,,,,81.32467091397848,82.5142958429933,83.31327004099148,83.30568558498635,83.30602005097899,83.31327004099148,83.31327004099148,83.31327004099148,84.57593306899071,left,0.0,1.2591330819996074,,84.5781669409771,84.58578297798522,85.07517312598065,85.08182565297466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
left,left,19.0,1.0,9.0,right,0.0,1.062522899999749,,,,,,9.0,1.0,19.0,0.0,,,,,,,,,85.08182565297466,,,,,,,,,85.07573941498413,85.87326313799713,86.66490012497525,86.65699677399243,86.65746897499776,86.66490012497525,86.66490012497525,86.66490012497525,87.73331542799133,right,0.0,1.062522899999749,,87.73338466999121,87.74291050198372,88.22996582600172,88.2395725339884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.23007443497772,88.2395725339884,88.2395725339884,90.84759700897848,space,2.6060594609880354,,,,,,,,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.84765402998892,90.8719138019951,90.8719138019951,101.05720969999676,space,10.183037086011607,,,,,,,,,,,,,,,,sub-079,1,random_dot,,
right,right,0.0,0.0,0.0,right,1.0,3.722510204999708,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.28787898397422,,,,,,,,,103.2786922759842,103.36461140000029,104.16698330099462,104.15847564997966,104.1591586439754,104.16698330099462,104.16698330099462,104.16698330099462,107.90820668599918,,,,,,,,,,,,,,,,,,,,,,,,101.07189163999284,101.08197207399644,101.08197207399644,103.27512301999376,space,2.1874254099966493,,right,1.0,3.722510204999708,,,,,sub-079,1,random_dot,,
left,left,1.0,1.0,0.0,left,1.0,1.604540814005304,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,107.91532077000012,,,,,,,,,107.90857329199208,108.24753020500066,109.04787493299229,109.04013798799132,109.0405947569816,109.04787493299229,109.04787493299229,109.04787493299229,110.65769522299524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,1.604540814005304,,,,,sub-079,1,random_dot,,
left,left,2.0,0.0,1.0,right,0.0,1.0827573949936775,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,110.66535261299578,,,,,,,,,110.65806016197894,111.4474827979866,112.2476151449955,112.24001342599512,112.24039710999932,112.2476151449955,112.2476151449955,112.2476151449955,113.34007451997604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,1.0827573949936775,,,,,sub-079,1,random_dot,,
right,right,3.0,1.0,1.0,right,1.0,1.2025129249959718,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,113.34761755698128,,,,,,,,,113.3402874939784,113.429197518999,114.22490223697967,114.21277393598577,114.2135671969736,114.22490223697967,114.22490223697967,114.22490223697967,115.44113377199392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,1.2025129249959718,,,,,sub-079,1,random_dot,,
left,left,4.0,0.0,2.0,left,1.0,4.440574168984313,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,115.44770833398798,,,,,,,,,115.44140980098746,116.23072986199986,117.03109872798086,117.02329355999244,117.02379566899616,117.03109872798086,117.03109872798086,117.03109872798086,121.4784915149794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,4.440574168984313,,,,,sub-079,1,random_dot,,
right,right,5.0,1.0,2.0,right,1.0,1.5863194959820248,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,121.48949315099162,,,,,,,,,121.47872768898378,122.27207283998725,123.06594752398088,123.0578399009828,123.05829774498125,123.06594752398088,123.06594752398088,123.06594752398088,124.65706913298344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,1.5863194959820248,,,,,sub-079,1,random_dot,,
right,right,6.0,0.0,3.0,right,1.0,2.0324046640016604,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,124.66454556098324,,,,,,,,,124.65744866698516,125.45658368599834,126.24785334599436,126.23998889198992,126.24046974498197,126.24785334599436,126.24785334599436,126.24785334599436,128.28965942998184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,2.0324046640016604,,,,,sub-079,1,random_dot,,
left,left,7.0,1.0,3.0,left,1.0,2.4178955300012603,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,128.29628646399942,,,,,,,,,128.28989497298608,128.6305870009819,129.42546941098408,129.414340118994,129.41511042497586,129.42546941098408,129.42546941098408,129.42546941098408,131.85119133099215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,2.4178955300012603,,,,,sub-079,1,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,5.099567445984576,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,131.85823944798904,,,,,,,,,131.85154129000148,133.04627968298155,133.84159528199234,133.83097179298056,133.83160798699828,133.84159528199234,133.84159528199234,133.84159528199234,138.94839749697712,,,,,,,,,138.82240690398612,,,,,,,,,,,,,,,,,,,,,,left,1.0,5.099567445984576,,,,,sub-079,1,random_dot,,
right,right,9.0,1.0,4.0,left,0.0,0.059643946995493,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,4.0,1.0,9.0,1.0,138.9567831339955,,,,,,,,,138.9486349899962,139.04652107297443,139.84928425299586,139.84110036099446,139.84163725798135,139.84928425299586,139.84928425299586,139.84928425299586,139.91087268097908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,0.059643946995493,,,,,sub-079,1,random_dot,,
right,right,10.0,0.0,5.0,right,1.0,1.0195655910065398,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,5.0,0.0,10.0,1.0,139.92200999398483,,,,,,,,,139.91111705999356,140.70606956697884,141.49722036797905,141.48962633899646,141.4900345240021,141.49722036797905,141.49722036797905,141.49722036797905,142.5263563579938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,1.0195655910065398,,,,,sub-079,1,random_dot,,
left,left,11.0,1.0,5.0,left,1.0,1.0158130689815152,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,5.0,1.0,11.0,0.0,142.53871263298788,,,,,,,,,142.5266295579786,142.63002327698632,143.43016618999536,143.42278150797938,143.42312090098858,143.43016618999536,143.43016618999536,143.43016618999536,144.45658515099785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,1.0158130689815152,,,,,sub-079,1,random_dot,,
left,left,12.0,0.0,6.0,left,1.0,1.234910086001037,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0,144.46353282697964,,,,,,,,,144.45686513898545,145.24666001598234,146.04094770198571,146.03022134798812,146.03102186898468,146.04094770198571,146.04094770198571,146.04094770198571,147.28498662498896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,1.234910086001037,,,,,sub-079,1,random_dot,,
right,right,13.0,1.0,6.0,right,1.0,5.415862487017876,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,6.0,1.0,13.0,1.0,147.29319054898224,,,,,,,,,147.2852958930016,147.62858460197458,148.43900404399028,148.4140155799978,148.4148052679957,148.43900404399028,148.43900404399028,148.43900404399028,153.85722422698746,,,,,,,,,153.41230253299,,,,,,,,,,,,,,,,,,,,,,right,1.0,5.415862487017876,,,,,sub-079,1,random_dot,,
right,right,14.0,0.0,7.0,left,0.0,0.964150563988369,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,7.0,0.0,14.0,1.0,153.86267224198673,,,,,,,,,153.8575096129789,153.95825089799473,154.7561875319807,154.74557311399258,154.74636506699608,154.7561875319807,154.7561875319807,154.7561875319807,155.7257547339832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,0.964150563988369,,,,,sub-079,1,random_dot,,
left,left,15.0,1.0,7.0,right,0.0,0.9849972919910216,,accuracy,space,2.1874254099966493,,,,,,0.0,0.0,0.0,0.0,7.0,1.0,15.0,0.0,155.73223429598147,,,,,,,,,155.7260344629758,155.82338272899506,156.6223757789994,156.61246155397384,156.61299622198567,156.6223757789994,156.6223757789994,156.6223757789994,157.61017349999747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,0.9849972919910216,,,,,sub-079,1,random_dot,,
