direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,stimulusDots.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0141816300165373,0.0357447840215172,0.0357447840215172,40.03753819799749,space,39.82863935898058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-225,1,random_dot,59.718377690246655,
right,right,0.0,0.0,0.0,left,0.0,3.7508135810203385,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,40.06168586600688,,,,,,,,,40.04924314000528,40.39292473500245,41.1979874940007,41.17676167801256,41.17722267800127,41.1979874940007,41.1979874940007,41.1979874940007,44.96061099300277,left,0.0,3.7508135810203385,,44.96634875101154,45.02674062299775,45.47653697401984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-225,1,random_dot,59.718377690246655,
left,left,1.0,1.0,0.0,right,0.0,17.899653193017002,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,45.49305676901713,,,,,,,,,45.47699092200492,46.65954475602484,47.45974451300572,47.44332765199943,47.4437178010121,47.45974451300572,47.45974451300572,47.45974451300572,65.3762752180046,right,0.0,17.899653193017002,,65.37636829400435,65.39228955301223,65.87600075401133,52.44254259302397,65.89248778001638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-225,1,random_dot,59.718377690246655,
right,right,2.0,0.0,1.0,right,1.0,2.0808145710034296,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,65.89248778001638,,,,,,,,,65.87635273000342,65.97561146999942,66.77558882400626,66.75939626301988,66.75985097000375,66.77558882400626,66.77558882400626,66.77558882400626,68.86017785200966,right,1.0,2.0808145710034296,,68.86476517902338,68.87756476301001,69.375485261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-225,1,random_dot,59.718377690246655,
left,left,3.0,1.0,1.0,left,1.0,1.763471373997163,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,69.39609988700249,,,,,,,,,69.3757636770024,69.72555781301344,70.525754975999,70.50905362100457,70.50940140101011,70.525754975999,70.525754975999,70.525754975999,72.29363270601607,left,1.0,1.763471373997163,,72.29373660401325,72.30871852301061,72.79268340099952,,72.80896222102456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-225,1,random_dot,59.718377690246655,
right,right,4.0,0.0,2.0,right,1.0,1.777012768026907,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,72.80896222102456,,,,,,,,,72.79305964501691,72.90894292900339,73.70892211401951,73.69258876799722,73.69293215702055,73.70892211401951,73.70892211401951,73.70892211401951,75.49336963801761,right,1.0,1.777012768026907,,75.49346676500863,75.5088375400228,75.99276188699878,,76.00893309700768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-225,1,random_dot,59.718377690246655,
left,left,5.0,1.0,2.0,left,1.0,1.5006013050151523,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,76.00893309700768,,,,,,,,,75.99314588101697,77.20873527400545,78.00886792800156,77.99270745800459,77.99306695599807,78.00886792800156,78.00886792800156,78.00886792800156,79.52608983402024,left,1.0,1.5006013050151523,,79.52618469001027,79.5422991910018,80.0259898720251,,80.04232246300671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-225,1,random_dot,59.718377690246655,
left,left,6.0,0.0,3.0,right,0.0,1.3869843989959918,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,80.04232246300671,,,,,,,,,80.02638485899661,80.37566977902316,81.17539579799632,81.1592685970245,81.15971428601188,81.17539579799632,81.17539579799632,81.17539579799632,82.57613553700503,right,0.0,1.3869843989959918,,82.57833471600316,82.592208579008,83.07576438502292,,83.09221594000701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-225,1,random_dot,59.718377690246655,
right,right,7.0,1.0,3.0,left,0.0,2.8329884350241628,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,83.09221594000701,,,,,,,,,83.07616212201538,84.27561849201447,85.07556359699811,85.05921044701245,85.05965251900489,85.07556359699811,85.07556359699811,85.07556359699811,87.90992740599904,left,0.0,2.8329884350241628,,87.91005996800959,87.9252943820029,88.40920106502017,,88.42550768502406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-225,1,random_dot,59.718377690246655,
left,left,8.0,0.0,4.0,left,1.0,1.7662218479963483,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,88.42550768502406,,,,,,,,,88.4095922250126,89.62550184302381,90.42547096300405,90.4091019309999,90.40954310001688,90.42547096300405,90.42547096300405,90.42547096300405,92.19312245902256,left,1.0,1.7662218479963483,,92.19611915599673,92.20921891700708,92.692540278018,,92.70870207902044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-225,1,random_dot,59.718377690246655,
