direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0155899999663233,0.0190806000027805,0.0190806000027805,80.50418759998865,space,109.37952479999512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-033,1.0,random_dot,59.807682400279056,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,80.51849279995076,,,,,,,,,80.51303860009648,81.31795700010844,82.11795419990085,82.1019695000723,82.10200330009684,82.11795419990085,82.11795419990085,82.11795419990085,87.11367739993148,88.71371620008722,right,1.0,35.49051980022341,,88.71466930001043,88.72842859989032,89.22824910003692,89.21280330000445,,,,,,,,,,,,,,,,,,,,,,,,,sub-033,1.0,random_dot,59.807682400279056,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,89.22824910003692,,,,,,,,,89.21349409990944,89.57790850009769,90.37783419992776,90.36118829995394,90.3612192000728,90.37783419992776,90.37783419992776,90.37783419992776,,95.30827430007048,left,1.0,33.82832830003463,,95.3089014000725,95.323089200072,95.8227973000612,95.80705989990383,,,,,,,,,,,,,,,,,,,,,,,,,sub-033,1.0,random_dot,59.807682400279056,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,95.8227973000612,,,,,,,,,95.80738059990108,95.92280820012093,96.72251480002888,96.70650169998407,96.7065300999675,96.72251480002888,96.72251480002888,96.72251480002888,,99.87106360006146,right,1.0,32.040204300079495,,99.87144290003926,99.88642159989104,100.38567640003748,100.36996009992436,,,,,,,,,,,,,,,,,,,,,,,,,sub-033,1.0,random_dot,59.807682400279056,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,100.38567640003748,,,,,,,,,100.37037619994952,100.73558089998552,101.5351185000036,101.51870939997023,101.51873630005866,101.5351185000036,101.5351185000036,101.5351185000036,,104.13428510003725,left,1.0,31.48873920016922,,104.13472860003822,104.14922849996948,104.64906219998376,104.63306910009123,,,,,,,,,,,,,,,,,,,,,,,,,sub-033,1.0,random_dot,59.807682400279056,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,104.64906219998376,,,,,,,,,104.6335054000374,104.74845830001868,105.5484293999616,105.53212180011906,105.53214429994114,105.5484293999616,105.5484293999616,105.5484293999616,110.54453799990006,110.66345069999808,left,1.0,34.00593340001069,,110.6642334999051,110.67732260003686,111.17700570006856,111.1613336999435,,,,,,,,,,,,,,,,,,,,,,,,,sub-033,1.0,random_dot,59.807682400279056,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,111.17700570006856,,,,,,,,,111.16203029989263,111.9761310000904,112.77560729999097,112.75954329990782,112.75960620003752,112.77560729999097,112.77560729999097,112.77560729999097,,114.02617880003528,right,1.0,30.1447295001708,,114.0266078999266,114.0415241001174,114.54093510005625,114.52500350004992,,,,,,,,,,,,,,,,,,,,,,,,,sub-033,1.0,random_dot,59.807682400279056,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,114.54093510005625,,,,,,,,,114.52554029994644,115.3404290000908,116.15666770003736,116.14031970012002,116.1403465999756,116.15666770003736,116.15666770003736,116.15666770003736,,121.00398609996772,right,1.0,33.73852659994736,,121.00461659999564,121.01871660002509,121.51815730007364,121.50258819991724,,,,,,,,,,,,,,,,,,,,,,,,,sub-033,1.0,random_dot,59.807682400279056,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,121.51815730007364,,,,,,,,,121.50326239992864,121.8681157999672,122.66789859998973,122.65134060010314,122.65135860000736,122.66789859998973,122.66789859998973,122.66789859998973,,125.69984399992973,left,1.0,31.92513160011731,,125.70057259988972,125.7148285000585,126.21471050009131,126.19889530004002,,,,,,,,,,,,,,,,,,,,,,,,,sub-033,1.0,random_dot,59.807682400279056,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,126.21471050009131,,,,,,,,,126.19938139989972,126.31452809995972,127.11429050005972,127.09819349995814,127.0982137999963,127.11429050005972,127.11429050005972,127.11429050005972,132.10984349995852,132.71068720007315,left,1.0,34.495104800211266,,132.71133400010876,132.72574319993146,133.22529589990154,133.20971719990484,,,,,,,,,,,,,,,,,,,,,,,,,sub-033,1.0,random_dot,59.807682400279056,
