direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026196000108029,0.0136780999891925,0.0136780999891925,29.28241449999041,space,29.254415100003826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-208,1,random_dot,60.09817637988829,
left,left,0.0,0.0,0.0,right,0.0,3.7559475999732967,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,29.30122950000805,,,,,,,,,29.29775850000442,29.64417020001565,30.461149000009755,30.443240399996284,30.44350080000004,30.461149000009755,30.461149000009755,30.461149000009755,34.22320999999647,right,0.0,3.7559475999732967,,34.23036640000646,34.2380083000171,34.73741349999909,34.7208726000099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-208,1,random_dot,60.09817637988829,
right,right,1.0,1.0,0.0,left,0.0,0.8385905000031926,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,34.73741349999909,,,,,,,,,34.72106770001119,35.935860800003866,36.75289279999561,36.735039599996526,36.73530140001094,36.75289279999561,36.75289279999561,36.75289279999561,37.60207550000632,left,0.0,0.8385905000031926,,37.60216070001479,37.61698089999845,38.11627870000666,38.09978859999683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-208,1,random_dot,60.09817637988829,
left,left,2.0,0.0,1.0,left,1.0,4.555568400013726,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,38.11627870000666,,,,,,,,,38.09999799999059,38.21610960000544,39.0331382000004,39.01533439999912,39.01560700000846,39.0331382000004,39.0331382000004,39.0331382000004,43.59413899999345,left,1.0,4.555568400013726,,43.59931419999339,43.60893210000359,44.10833760001697,44.091935700009344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-208,1,random_dot,60.09817637988829,
right,right,3.0,1.0,1.0,right,1.0,2.3334565999975894,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,44.10833760001697,,,,,,,,,44.092153000005055,44.90737070000614,45.70766859999276,45.68997390000732,45.69021130001056,45.70766859999276,45.70766859999276,45.70766859999276,48.05499370000325,right,1.0,2.3334565999975894,,48.05507570001646,48.069810499990126,48.56908250000561,48.55280360000325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-208,1,random_dot,60.09817637988829,
left,left,4.0,0.0,2.0,left,1.0,1.689172599988524,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,48.56908250000561,,,,,,,,,48.55302940000547,48.66895210000803,49.4694403000176,49.451499299990246,49.45176530000754,49.4694403000176,49.4694403000176,49.4694403000176,51.16740380000556,left,1.0,1.689172599988524,,51.16748120001285,51.18235119999736,51.68163910001749,51.66529420000734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-208,1,random_dot,60.09817637988829,
right,right,5.0,1.0,2.0,right,1.0,1.2111702999973204,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,51.68163910001749,,,,,,,,,51.665531200007536,52.48055850001401,53.28096249999362,53.26315919999615,53.26345070000389,53.28096249999362,53.28096249999362,53.28096249999362,54.49635810000473,right,1.0,1.2111702999973204,,54.49644710001303,54.51130750001175,55.01054730001488,54.99417960000574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-208,1,random_dot,60.09817637988829,
left,left,6.0,0.0,3.0,left,1.0,0.9187741999921856,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,55.01054730001488,,,,,,,,,54.9944066000171,55.36011559999315,56.17710239998996,56.159317500016186,56.15958949999185,56.17710239998996,56.17710239998996,56.17710239998996,57.109513800009154,left,1.0,0.9187741999921856,,57.10959090001416,57.12449590000324,57.62375220001559,57.60745860001771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-208,1,random_dot,60.09817637988829,
right,right,7.0,1.0,3.0,left,0.0,1.157982800010359,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,57.62375220001559,,,,,,,,,57.607694300008006,57.723678000009386,58.54075360001298,58.52279920000001,58.52306840001256,58.54075360001298,58.54075360001298,58.54075360001298,59.706272500014165,left,0.0,1.157982800010359,,59.7083805000002,59.72102070000256,60.22028320000391,60.20388970000204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-208,1,random_dot,60.09817637988829,
right,right,8.0,0.0,4.0,right,1.0,2.3682441000128165,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,60.22028320000391,,,,,,,,,60.20411610000883,60.56991550000384,61.38680320000276,61.36922650001361,61.36950210001669,61.38680320000276,61.38680320000276,61.38680320000276,63.76746780000394,right,1.0,2.3682441000128165,,63.76978930001496,63.78223690000596,64.28168650000589,64.2655078000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-208,1,random_dot,60.09817637988829,
