direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,stimulusDots.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0060696000000461,0.0212334999814629,0.0212334999814629,19.773181100026704,space,112.99141149991192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,20.2090457000304,,,,,,,,,20.19816449994687,20.2090457000304,21.034296300029386,21.004511900013316,21.004574800026603,21.034296300029386,21.034296300029386,21.034296300029386,24.672767599928196,right,0.0,96.87205220002215,,24.676928899949417,24.70656419999432,25.186050300020725,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,25.20234900002833,,,,,,,,,25.1871515000239,25.285668900003657,26.086385200032964,26.070395599934272,26.070458499947563,26.086385200032964,26.086385200032964,26.086385200032964,30.83859469997697,right,1.0,97.98345719999634,,30.840208799927492,30.86655709997285,31.351792500005104,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,31.368354100035504,,,,,,,,,31.35290639998857,32.15154290001374,32.95221939997282,32.93621840002015,32.936279400018975,32.95221939997282,32.95221939997282,32.95221939997282,39.85415169992484,left,0.0,100.13164859998506,,39.85575390001759,39.87307410000358,40.36746540002059,37.95154599996749,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,40.38373430003412,,,,,,,,,40.36855449993163,41.166948799975216,41.96772399998736,41.95185900002252,41.951923099928536,41.96772399998736,41.96772399998736,41.96772399998736,47.61972960003186,right,0.0,98.882895299932,,47.62139739992563,47.63295739993919,48.11751140002161,46.9669577999739,48.13269619992934,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,48.13269619992934,,,,,,,,,48.11860509996768,48.23261109995656,49.03306960000191,49.01625809993129,49.01629189995583,49.03306960000191,49.03306960000191,49.03306960000191,55.32820450002328,right,0.0,99.52786150004248,,55.33066460001282,55.33920809999108,55.832063999958336,54.0161334000295,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,55.8484627000289,,,,,,,,,55.83317410002928,57.03175329999067,57.83247599995229,57.81637320003938,57.81648779998068,57.83247599995229,57.83247599995229,57.83247599995229,62.93496919993777,left,0.0,98.33885399997234,,62.93663409992587,62.9474029999692,63.432282499969006,62.83177479996812,63.44752119993791,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,63.44752119993791,,,,,,,,,63.43361629999709,64.64744099997915,65.44803269999102,65.43205239996314,65.43211449997034,65.44803269999102,65.44803269999102,65.44803269999102,71.43351759994403,right,0.0,99.22160769987386,,71.43513839994557,71.44632029999048,71.93117230001371,70.44734850001987,71.94632769993041,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,71.94632769993041,,,,,,,,,71.9322964999592,72.04641219996847,72.84710399992764,72.8309476999566,72.83102369995322,72.84710399992764,72.84710399992764,72.84710399992764,79.66590639995411,right,1.0,100.05860170000231,,79.66755909996573,79.68539480003528,80.17889610002749,77.84644330001902,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,80.19527879997622,,,,,,,,,80.1799901999766,80.27853739995044,81.07927600003313,81.06337739992887,81.0634401999414,81.07927600003313,81.07927600003313,81.07927600003313,87.13145620003343,right,1.0,99.29232789995147,,87.13310340000317,87.14432069996838,87.62946269998793,86.07872260001022,87.64424709999003,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,87.64424709999003,,,,,,,,,87.63060109992512,87.99419360002503,88.79497479996644,88.77896689996123,88.77902979997452,88.79497479996644,88.79497479996644,88.79497479996644,94.69698859995697,right,0.0,99.14488329994492,,94.69868599995972,94.7168722000206,95.21049720002338,93.79427930002566,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
right,right,,5.0,0.0,10.0,1.0,,,,,,,,,95.22660890000408,,,,,,,,,95.21160789998248,95.31004899996331,96.11091869999656,96.09483339998404,96.09489539999048,96.11091869999656,96.11091869999656,96.11091869999656,101.96281749999616,left,0.0,99.0948672000086,,101.96433590003288,101.9757588999346,102.46061690000352,101.1100221000379,102.4757166999625,,,,,,,,,,,,,,,,,,,,,,,,,,sub-239,3.0,random_dot,60.01817350157759,
