direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033249999396502,0.0083898000884801,0.0083898000884801,11.996447900077328,space,11.971440399996936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
right,right,0.0,0.0,0.0,right,1.0,1.3146466999314723,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,12.020926600089297,,,,,,,,,12.016035800101236,12.107920200098306,13.028566400054842,12.892375800060108,12.892692799912766,13.028566400054842,13.028566400054842,13.028566400054842,14.350816800026225,right,1.0,1.3146466999314723,,14.358082900056615,14.365108800120652,14.867190000135452,14.851156499935314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
left,left,1.0,1.0,0.0,left,1.0,1.770635300083086,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,14.867190000135452,,,,,,,,,14.851418500067666,14.950959800044076,15.751846899976954,15.736251499969512,15.736571999965236,15.751846899976954,15.751846899976954,15.751846899976954,17.539019800024107,left,1.0,1.770635300083086,,17.539112499915063,17.554615499917418,18.055590100120757,18.03937010001391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
left,left,2.0,0.0,1.0,right,0.0,1.6645116000436246,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,18.055590100120757,,,,,,,,,18.03962940000929,19.240951200015843,20.041576999938115,20.025723099941388,20.026039800141007,20.041576999938115,20.041576999938115,20.041576999938115,21.711687200004235,right,0.0,1.6645116000436246,,21.716885100118816,21.726125200046223,22.228149800095707,22.211951199918985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
right,right,3.0,1.0,1.0,right,1.0,1.036008199909702,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,22.228149800095707,,,,,,,,,22.21227309992537,23.012559399940077,23.813789499923587,23.798543100012463,23.79892640002072,23.813789499923587,23.813789499923587,23.813789499923587,24.866628299932927,right,1.0,1.036008199909702,,24.86919609992765,24.882465800037608,25.38198360009119,25.36633970006369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
left,left,4.0,0.0,2.0,left,1.0,1.218483200063929,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,25.38198360009119,,,,,,,,,25.366662499960512,25.467277500079945,26.268459199927747,26.251881700009108,26.252255799947307,26.268459199927747,26.268459199927747,26.268459199927747,27.488483699969947,left,1.0,1.218483200063929,,27.4885982000269,27.50296219997108,28.003630900057036,27.988234299933534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
right,right,5.0,1.0,2.0,right,1.0,0.7524703999515623,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,28.003630900057036,,,,,,,,,27.98849679995328,29.18932290002704,29.99037229991518,29.974520799936727,29.97490320005454,29.99037229991518,29.99037229991518,29.99037229991518,30.758469799999148,right,1.0,0.7524703999515623,,30.758579600136727,30.773581400047988,31.27460450003855,31.258984999964014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
right,right,6.0,0.0,3.0,right,1.0,1.1399121000431478,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,31.27460450003855,,,,,,,,,31.259340499993414,32.460750200087205,33.26172890001908,33.24580650008284,33.24611770012416,33.26172890001908,33.26172890001908,33.26172890001908,34.41443850006908,right,1.0,1.1399121000431478,,34.414551299996674,34.42998360004276,34.93076099990867,34.91514419997111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
left,left,7.0,1.0,3.0,left,1.0,0.7491467001382262,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,34.93076099990867,,,,,,,,,34.91540600010194,35.01509220013395,35.81622810009867,35.79970950004645,35.80007850006223,35.81622810009867,35.81622810009867,35.81622810009867,36.56794540002011,left,1.0,0.7491467001382262,,36.568059999961406,36.583006999921054,37.08393299998716,37.0680537999142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
left,left,8.0,0.0,4.0,left,1.0,1.8037187000736596,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,37.08393299998716,,,,,,,,,37.0683113001287,37.41810739994981,38.2195077999495,38.203710000030696,38.20402209996246,38.2195077999495,38.2195077999495,38.2195077999495,40.03955899993889,left,1.0,1.8037187000736596,,40.039674300001934,40.054394599981606,40.5560695999302,40.54018110013567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
right,right,9.0,1.0,4.0,right,1.0,0.8650346000213176,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,40.5560695999302,,,,,,,,,40.54047180013731,40.89020889997482,41.69114400004037,41.67531149997376,41.67561800009571,41.69114400004037,41.69114400004037,41.69114400004037,42.56020039995201,right,1.0,0.8650346000213176,,42.560290500056,42.57536870008335,43.07656319998205,43.06078940001317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
right,right,10.0,0.0,5.0,right,1.0,0.7703956000041217,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,43.07656319998205,,,,,,,,,43.06110780010931,44.261968200095,45.06358049996197,45.04763510008343,45.04800910013728,45.06358049996197,45.06358049996197,45.06358049996197,45.84929460007697,right,1.0,0.7703956000041217,,45.8494071001187,45.86312850005925,46.36530279996805,46.34927210002206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
left,left,11.0,1.0,5.0,left,1.0,1.4851812000852078,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,46.36530279996805,,,,,,,,,46.34959469991736,46.44861220009625,47.24921040004119,47.23337689996697,47.23368700011633,47.24921040004119,47.24921040004119,47.24921040004119,48.73691219999455,left,1.0,1.4851812000852078,,48.737002100097016,48.75183869991452,49.25292790005915,49.23700720001944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-228,1,random_dot,60.05753508127867,
