direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0241052000783383,0.0351416999474167,0.0351416999474167,12.38520530005917,space,101.66405909997412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,12.400700600119308,,,,,,,,,12.395725599955767,12.4836387000978,13.27686920017004,13.267983000027016,13.268018400063738,13.27686920017004,13.27686920017004,13.27686920017004,18.26701240008697,18.62650450016372,left,1.0,94.66043159994295,,18.62748140003532,18.64394069998525,19.13356150011532,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,19.141391600016505,,,,,,,,,19.134076100075617,19.92603540001437,20.716164200101048,20.70918580004945,20.709207100095227,20.716164200101048,20.716164200101048,20.716164200101048,25.70008850004524,26.617711200146005,left,0.0,95.21965939970688,,26.61877409997396,26.6305655001197,27.116874600062147,27.124934900086373,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,27.124934900086373,,,,,,,,,27.11728230002336,27.466762600000948,28.260959800099958,28.25189960002899,28.251938699977472,28.260959800099958,28.260959800099958,28.260959800099958,33.25045419996604,34.251053400104865,left,0.0,95.30815939977764,,34.251711199991405,34.25765800010413,34.74297230015509,34.75016910000704,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,34.75016910000704,,,,,,,,,34.743367600021884,35.54199240007438,36.33362739998847,36.32604190008715,36.32606680016033,36.33362739998847,36.33362739998847,36.33362739998847,41.316925400169566,41.71773100015707,left,1.0,94.70187499979512,,41.718309900024906,41.7280761001166,42.21777230012231,42.22527269995771,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,42.22527269995771,,,,,,,,,42.218295000027865,42.56720900000073,43.35904090013355,43.35119950002991,43.35123150004074,43.35904090013355,43.35904090013355,43.35904090013355,48.35014250013046,48.71014410001226,right,0.0,94.66530689992942,,48.710661800112575,48.719804600114,49.20918700005859,49.21577710006386,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,49.21577710006386,,,,,,,,,49.209650200093165,50.008330800104886,50.80853180005215,50.80051450012252,50.80054740002379,50.80853180005215,50.80853180005215,50.80853180005215,55.79187189997174,56.185164200142026,right,1.0,94.6931286000181,,56.18579540005885,56.1957922000438,56.683936299989,56.69175410014577,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,56.69175410014577,,,,,,,,,56.68436040007509,56.78341670008376,57.57618880015798,57.56655120011419,57.566575600067154,57.57618880015798,57.57618880015798,57.57618880015798,62.5587586001493,62.8610517999623,left,0.0,94.59627669979818,,62.86172779998742,62.87123639998026,63.35937580000609,63.3671997000929,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,63.3671997000929,,,,,,,,,63.359978600172326,64.15856470004655,64.9501489000395,64.94311740016565,64.94314160011709,64.9501489000395,64.9501489000395,64.9501489000395,69.93250390002504,70.58858670014888,right,0.0,94.95125679997729,,70.58957229997031,70.59705540002324,71.08432939997874,71.09178020013496,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,71.09178020013496,,,,,,,,,71.08483810001053,71.88389990013093,72.67586149997078,72.66861990001053,72.66864860011265,72.67586149997078,72.67586149997078,72.67586149997078,77.66678890003823,78.22581179998815,right,0.0,94.86400789977051,,78.22632440016605,78.23326240014285,78.71761759999208,78.72481920011342,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
right,right,,4.0,1.0,9.0,1.0,,,,,,,,,78.72481920011342,,,,,,,,,78.7182283999864,79.51680950005539,80.30902000004426,80.30105430004187,80.30110760009848,80.30902000004426,80.30902000004426,80.30902000004426,85.29999900003895,85.70998110016808,right,1.0,94.71409889985809,,85.71056400006637,85.72042300016619,86.20916800014675,86.2164537999779,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
left,left,,5.0,0.0,10.0,0.0,,,,,,,,,86.2164537999779,,,,,,,,,86.20963830011897,86.30844360007904,87.10065120016225,87.09280700003728,87.0928383001592,87.10065120016225,87.10065120016225,87.10065120016225,92.0918285001535,92.61713300016709,left,1.0,94.82856259983964,,92.61793880001642,92.62515199999324,93.10917340009472,93.11673690006135,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
right,right,,5.0,1.0,11.0,1.0,,,,,,,,,93.11673690006135,,,,,,,,,93.10970040014944,93.91694770008326,94.71691650012508,94.70814240002072,94.70816519996151,94.71691650012508,94.71691650012508,94.71691650012508,99.69975810009056,100.04477809998208,right,1.0,94.64551509986632,,100.04568870016374,100.05169069999828,100.54267480014823,100.54879110003822,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
left,left,,6.0,0.0,12.0,0.0,,,,,,,,,100.54879110003822,,,,,,,,,100.54325800016522,101.74252970004454,102.53334560012443,102.52582940016872,102.52586439996958,102.53334560012443,102.53334560012443,102.53334560012443,107.52490650000982,107.88551419996656,left,1.0,94.66728659975342,,107.88666870002636,107.89875590009616,108.38312619994394,108.39113560016268,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
right,right,,6.0,1.0,13.0,1.0,,,,,,,,,108.39113560016268,,,,,,,,,108.38354069995694,108.4833818001207,109.27393390005454,109.26727039995605,109.26729340013117,109.27393390005454,109.27393390005454,109.27393390005454,114.2582962999586,114.78476980002596,right,1.0,94.82245489978231,,114.78540960000828,114.79183150012976,115.27587020001374,115.28312649996953,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
right,right,,7.0,0.0,14.0,1.0,,,,,,,,,115.28312649996953,,,,,,,,,115.27636280003937,115.63293060008436,116.4253738000989,116.41785770002753,116.41788520012052,116.4253738000989,116.4253738000989,116.4253738000989,121.41645120014437,121.71906960010529,right,1.0,94.6090251998976,,121.71964050014503,121.73130360012874,122.21794010000303,122.2249031001702,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
left,left,,7.0,1.0,15.0,0.0,,,,,,,,,122.2249031001702,,,,,,,,,122.21855510002932,123.41660650004631,124.21734130010007,124.2092796000652,124.2093355001416,124.21734130010007,124.21734130010007,124.21734130010007,129.19979119999334,129.6008461001329,right,0.0,94.69782999996096,,129.6014060000889,129.61056590010412,130.10083540016785,130.10822409996763,,,,,,,,,,,,,,,,,,,,,,,,,,sub-018,1.0,random_dot,119.86972531619566,
