direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.013527100207284,0.0161671000532805,0.0161671000532805,13.299179300200194,space,25.262496799929067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-191,1.0,random_dot,60.01568812251773,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,13.314858000027016,,,,,,,,,13.30757060018368,13.664816800039262,14.465530400164424,14.449143100064248,14.449167900020257,14.465530400164424,14.465530400164424,14.465530400164424,19.464687900152057,20.815531100146472,left,0.0,18.33052519988269,,20.816208800068125,20.83098670002073,21.330990300048143,21.314947200007737,,,,,,,,,,,,,,,,,,,,,,,,,,sub-191,1.0,random_dot,60.01568812251773,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,21.330990300048143,,,,,,,,,21.315251000225544,21.43106110021472,22.231299800099805,22.215157099999487,22.215187900001183,22.231299800099805,22.231299800099805,22.231299800099805,,25.332310100086037,left,1.0,15.085443199845033,,25.33263450022787,25.34771880018525,25.84739940008149,25.83157250005752,,,,,,,,,,,,,,,,,,,,,,,,,,sub-191,1.0,random_dot,60.01568812251773,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,25.84739940008149,,,,,,,,,25.831896300194785,25.947427700040866,26.747868800070137,26.73160960013047,26.73163280007429,26.747868800070137,26.747868800070137,26.747868800070137,,27.58235220005736,right,1.0,12.807523699942976,,27.58274220000021,27.597603800008077,28.09725510003045,28.0811351002194,,,,,,,,,,,,,,,,,,,,,,,,,,sub-191,1.0,random_dot,60.01568812251773,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,28.09725510003045,,,,,,,,,28.081378100207075,29.29734480008483,30.09777530003339,30.081277300138023,30.081300200195983,30.09777530003339,30.09777530003339,30.09777530003339,,30.965025200042877,left,1.0,12.839348799781874,,30.965301200049,30.98049420001917,31.48042990011163,31.46426110016182,,,,,,,,,,,,,,,,,,,,,,,,,,sub-191,1.0,random_dot,60.01568812251773,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,31.48042990011163,,,,,,,,,31.464507300173864,31.58049010019749,32.380856400122866,32.36456760019064,32.36459890007973,32.380856400122866,32.380856400122866,32.380856400122866,,33.08156030019745,right,0.0,12.675788799766451,,33.08183820010163,33.097172300098464,33.59710420016199,33.58128290018067,,,,,,,,,,,,,,,,,,,,,,,,,,sub-191,1.0,random_dot,60.01568812251773,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,33.59710420016199,,,,,,,,,33.581578200217336,34.39703230001032,35.19737310009077,35.18130510021001,35.181320500094444,35.19737310009077,35.19737310009077,35.19737310009077,,36.89819260011427,right,1.0,13.68450289987959,,36.89849849999882,36.91357130021788,37.41351030021906,37.39776630001143,,,,,,,,,,,,,,,,,,,,,,,,,,sub-191,1.0,random_dot,60.01568812251773,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,37.41351030021906,,,,,,,,,37.398085799999535,37.763661600183696,38.56391950021498,38.54776920005679,38.54778350004926,38.56391950021498,38.56391950021498,38.56391950021498,,39.9983918000944,left,0.0,13.420254399767146,,39.99866450019181,40.0135115000885,40.513442600145936,40.497547400183976,,,,,,,,,,,,,,,,,,,,,,,,,,sub-191,1.0,random_dot,60.01568812251773,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,40.513442600145936,,,,,,,,,40.49808350019157,41.71341390023008,42.51371490000747,42.497412000084296,42.49742980021984,42.51371490000747,42.51371490000747,42.51371490000747,,44.34784510009922,left,1.0,13.818120799958706,,44.34851640020497,44.36327220010571,44.863271000096574,44.84780920017511,,,,,,,,,,,,,,,,,,,,,,,,,,sub-191,1.0,random_dot,60.01568812251773,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,44.863271000096574,,,,,,,,,44.84837800008245,45.21331820008345,46.01353690004908,45.99688270012848,45.996895500225946,46.01353690004908,46.01353690004908,46.01353690004908,,46.98112820019014,right,1.0,12.949056099867448,,46.98159990017302,46.996449400205165,47.49635660019703,47.48015370010398,,,,,,,,,,,,,,,,,,,,,,,,,,sub-191,1.0,random_dot,60.01568812251773,
