direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0113471000222489,0.0284584000473842,0.0284584000473842,16.821532499976456,space,39.19900180003606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-177,1.0,random_dot,59.38252860402831,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,16.83667999994941,,,,,,,,,16.829711299971677,17.63557869999204,18.43441760004498,18.419380099978294,18.41940789995715,18.43441760004498,18.43441760004498,18.43441760004498,23.433552199974656,31.463966600014828,right,0.0,35.44965030008461,,31.464710099971853,31.479472500039265,31.979076800053008,31.963093900005333,,,,,,,,,,,,,,,,,,,,,,,,,sub-177,1.0,random_dot,59.38252860402831,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,31.979076800053008,,,,,,,,,31.96350319997873,32.77810939995106,33.57809439999983,33.56187920004595,33.561899499967694,33.57809439999983,33.57809439999983,33.57809439999983,38.57548520003911,39.642073999973945,left,0.0,28.471602200064808,,39.64262870000675,39.65749150002375,40.15809239994269,40.141824200050905,,,,,,,,,,,,,,,,,,,,,,,,,sub-177,1.0,random_dot,59.38252860402831,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,40.15809239994269,,,,,,,,,40.14220989996102,41.35743400000501,42.15679210005328,42.14046290004626,42.140487399999984,42.15679210005328,42.15679210005328,42.15679210005328,47.15447629999835,49.4047203999944,right,0.0,29.668205800000575,,49.405322000035085,49.41942629998084,49.91955120000057,49.90345920005348,,,,,,,,,,,,,,,,,,,,,,,,,sub-177,1.0,random_dot,59.38252860402831,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,49.91955120000057,,,,,,,,,49.90396330005024,51.11893220001366,51.91871580004226,51.90269589994568,51.90271619998384,51.91871580004226,51.91871580004226,51.91871580004226,56.91607200005092,61.0811665999936,left,0.0,31.58012019994203,,61.08165860001464,61.09644640004262,61.5967652000254,61.58096809999552,,,,,,,,,,,,,,,,,,,,,,,,,sub-177,1.0,random_dot,59.38252860402831,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,61.5967652000254,,,,,,,,,61.58141099999193,62.79634799994528,63.61273119994439,63.59638120001182,63.59640180005226,63.61273119994439,63.61273119994439,63.61273119994439,68.60939460003283,69.49429289996624,left,0.0,28.301531000062823,,69.4948503000196,69.50915089994669,70.00895879999734,69.99350800004322,,,,,,,,,,,,,,,,,,,,,,,,,sub-177,1.0,random_dot,59.38252860402831,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,70.00895879999734,,,,,,,,,69.99389759998303,70.10874699999113,70.9084554000292,70.89264320000075,70.8926612000214,70.9084554000292,70.9084554000292,70.9084554000292,75.90596520004328,82.53722049994394,left,1.0,34.048325399984606,,82.53775529994164,82.55272839998361,83.05268680001609,83.03667489998043,,,,,,,,,,,,,,,,,,,,,,,,,sub-177,1.0,random_dot,59.38252860402831,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,83.05268680001609,,,,,,,,,83.03710509999655,83.8520872000372,84.65158710000105,84.63503400003538,84.6350690999534,84.65158710000105,84.65158710000105,84.65158710000105,89.64882490003947,90.99968170002104,right,1.0,28.767046199995093,,91.00024930003563,91.01496749999932,91.51477649994196,91.4984517999692,,,,,,,,,,,,,,,,,,,,,,,,,sub-177,1.0,random_dot,59.38252860402831,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,91.51477649994196,,,,,,,,,91.49893090000842,92.31378029996996,93.11377479997464,93.09744889999274,93.0974758999655,93.11377479997464,93.11377479997464,93.11377479997464,98.11130059999414,99.17828140000348,right,0.0,28.47756130003836,,99.17880039999729,99.19374060002156,99.69325749995188,99.67742610001004,,,,,,,,,,,,,,,,,,,,,,,,,sub-177,1.0,random_dot,59.38252860402831,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,99.69325749995188,,,,,,,,,99.67783719999716,99.7937394999899,100.59308949997649,100.57739480002785,100.57741539995186,100.59308949997649,100.59308949997649,100.59308949997649,105.59017860004678,107.12404619995505,left,1.0,28.93996740004513,,107.12455980002414,107.13960400002544,107.63939120003488,107.62319830001798,,,,,,,,,,,,,,,,,,,,,,,,,sub-177,1.0,random_dot,59.38252860402831,
