direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 71
,,,,,,,,,,,,,,,,,0.0050290999934077,0.009608699940145,0.009608699940145,25.24361229967326,space,37.03070930019021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-171,1.0,random_dot,120.16212268344547,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,25.277068099938333,,,,,,,,,25.27343579987064,26.049930699635297,26.85213399957865,26.841911799740046,26.84192939987406,26.85213399957865,26.85213399957865,26.85213399957865,27.876283699646592,left,0.0,12.819464500527827,,27.87678339984268,27.886668999679387,28.383045999798924,,,,,,,,,,,,,,,,,,,,,,,,,sub-171,1.0,random_dot,120.16212268344547,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,28.391485899686813,,,,,,,,,28.383303999900814,28.733017399907112,29.533578099682927,29.524998900014907,29.525019199587405,29.533578099682927,29.533578099682927,29.533578099682927,31.23416389990598,left,1.0,13.49905430013314,,31.23455229960382,31.24235769966617,31.74076939979568,,,,,,,,,,,,,,,,,,,,,,,,,sub-171,1.0,random_dot,120.16212268344547,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,31.74907499970868,,,,,,,,,31.74110759980977,31.84086099965498,32.64143730001524,32.632741699926555,32.63276149984449,32.64143730001524,32.64143730001524,32.64143730001524,33.800720299594104,right,1.0,12.959521500393748,,33.801032699644566,33.80730149988085,34.29918079962954,34.30693449964747,,,,,,,,,,,,,,,,,,,,,,,,sub-171,1.0,random_dot,120.16212268344547,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,34.30693449964747,,,,,,,,,34.29952749982476,34.65701249986887,35.45763699989766,35.44896759977564,35.44898599991575,35.45763699989766,35.45763699989766,35.45763699989766,36.66675029974431,right,0.0,13.009758800268171,,36.6673116995953,36.673782399855554,37.16536360001192,37.17317229975015,,,,,,,,,,,,,,,,,,,,,,,,sub-171,1.0,random_dot,120.16212268344547,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,37.17317229975015,,,,,,,,,37.16566749988124,37.273227099794894,38.07408499997109,38.06513929972425,38.0651530995965,38.07408499997109,38.07408499997109,38.07408499997109,39.51628039963544,left,1.0,13.24281630013138,,39.51670329971239,39.52275729971007,40.01478269975632,40.02269109990448,,,,,,,,,,,,,,,,,,,,,,,,sub-171,1.0,random_dot,120.16212268344547,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,40.02269109990448,,,,,,,,,40.01508429972455,40.12270719977096,40.92339259991422,40.91488459985703,40.914903099648654,40.92339259991422,40.92339259991422,40.92339259991422,42.557606199756265,right,1.0,13.431564300321044,,42.55802679993212,42.56392619991675,43.05606059962884,43.063817799557,,,,,,,,,,,,,,,,,,,,,,,,sub-171,1.0,random_dot,120.16212268344547,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,43.063817799557,,,,,,,,,43.056372799910605,44.26363379973918,45.06444969959557,45.05570139968768,45.05571559956297,45.06444969959557,45.06444969959557,45.06444969959557,46.35670359991491,right,0.0,13.087565100286156,,46.3570996997878,46.3635079995729,46.85533989965916,46.86334259994328,,,,,,,,,,,,,,,,,,,,,,,,sub-171,1.0,random_dot,120.16212268344547,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,46.86334259994328,,,,,,,,,46.85563509957865,47.21327189961448,48.01396769983694,48.0053614997305,48.00538169965148,48.01396769983694,48.01396769983694,48.01396769983694,50.04836109979078,right,1.0,13.836428600363432,,50.0488051995635,50.05470569990575,50.54647249961272,50.55428029969335,,,,,,,,,,,,,,,,,,,,,,,,sub-171,1.0,random_dot,120.16212268344547,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,50.55428029969335,,,,,,,,,50.54677079990506,51.75415689963848,52.555042000021785,52.54628809960559,52.5463064997457,52.555042000021785,52.555042000021785,52.555042000021785,53.63906259974465,left,0.0,12.884169300086796,,53.63943389989436,53.64542199997232,54.137709399685264,54.14535279991105,,,,,,,,,,,,,,,,,,,,,,,,sub-171,1.0,random_dot,120.16212268344547,
