direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0137207139996462,0.025629754003603,0.025629754003603,17.743800652002392,space,17.698159073996067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-128,1,random_dot,,
left,left,0.0,0.0,0.0,right,0.0,3.389627363998443,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,17.84754778700153,,,,,,,,,17.831980581999233,18.936815653003578,19.754297976003727,19.73093156899995,19.73128436600382,19.754297976003727,19.754297976003727,19.754297976003727,23.14817059900088,right,0.0,3.389627363998443,,23.153328092004813,23.263295122000272,23.652073551005746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-128,1,random_dot,,
right,right,1.0,1.0,0.0,right,1.0,1.8265104580059413,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,23.66351053600374,,,,,,,,,23.652367145004973,24.84690229799889,25.636790317003037,25.63076582999929,25.63103609400423,25.636790317003037,25.636790317003037,25.636790317003037,27.46500842200476,right,1.0,1.8265104580059413,,27.468862567999167,27.47877939099999,27.96419424900523,27.969121219000957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-128,1,random_dot,,
right,right,2.0,0.0,1.0,left,0.0,1.4014748290064745,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,27.969121219000957,,,,,,,,,27.964468057005437,28.31357298399962,29.10403928100277,29.09765521599911,29.09800070500205,29.10403928100277,29.10403928100277,29.10403928100277,30.514702972999658,left,0.0,1.4014748290064745,,30.516880716000745,30.523413857001287,31.01453002600465,31.01952710000478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-128,1,random_dot,,
left,left,3.0,1.0,1.0,left,1.0,0.9033118110019132,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,31.01952710000478,,,,,,,,,31.014815631999227,31.363611758002666,32.1539355490022,32.147605234000366,32.14796059400396,32.1539355490022,32.1539355490022,32.1539355490022,33.06475465400581,left,1.0,0.9033118110019132,,33.06695107700216,33.073345187003724,33.56424328000139,33.56898446199921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-128,1,random_dot,,
right,right,4.0,0.0,2.0,right,1.0,3.479470622994995,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,33.56898446199921,,,,,,,,,33.56451681700128,34.36364622300607,35.15436196500377,35.14788053800294,35.14821309599938,35.15436196500377,35.15436196500377,35.15436196500377,38.63813677000144,right,1.0,3.479470622994995,,38.638223007001216,38.64697611600423,39.13123368800007,39.13619639300305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-128,1,random_dot,,
left,left,5.0,1.0,2.0,left,1.0,1.068900391997886,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,39.13619639300305,,,,,,,,,39.13152028300101,39.23522073600179,40.03037733000383,40.01949330600473,40.01977226300369,40.03037733000383,40.03037733000383,40.03037733000383,41.104638014003285,left,1.0,1.068900391997886,,41.104719078000926,41.11358974400355,41.59781392600416,41.60289434000151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-128,1,random_dot,,
left,left,6.0,0.0,3.0,left,1.0,0.8712620410005911,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,41.60289434000151,,,,,,,,,41.59810164599912,41.95234554600029,42.74720918499952,42.73628215200006,42.73661975400319,42.74720918499952,42.74720918499952,42.74720918499952,43.62173617799999,left,1.0,0.8712620410005911,,43.62182325600588,43.63015624200489,44.11433280400525,44.11929072500061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-128,1,random_dot,,
right,right,7.0,1.0,3.0,left,0.0,1.4279724700027143,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,44.11929072500061,,,,,,,,,44.11460363900551,45.31890012800432,46.11385401500593,46.10286369800451,46.10320102600235,46.11385401500593,46.11385401500593,46.11385401500593,47.54836587300088,left,0.0,1.4279724700027143,,47.5508161980033,47.5570573110017,48.04793970100582,48.052873018001264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-128,1,random_dot,,
left,left,8.0,0.0,4.0,right,0.0,1.8308888140018096,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,48.052873018001264,,,,,,,,,48.04822479900031,48.14708250900003,48.93771909700445,48.9310625979997,48.93140881900035,48.93771909700445,48.93771909700445,48.93771909700445,50.77165614100522,right,0.0,1.8308888140018096,,50.77173766200576,50.78031089500291,51.26446659100475,51.26957529700303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-128,1,random_dot,,
