direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0250388000000043,0.0339064000000064,0.0339064000000064,39.15558680000001,space,57.6004844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,39.1727429,,,,,,,,,39.16928580000001,40.3686371,41.1689939,41.1533298,41.15338589999999,41.1689939,41.1689939,41.1689939,46.16654629999999,47.9681894,left,1.0,25.290943099999996,,47.9696701,47.9881264,48.4815284,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,48.49746110000001,,,,,,,,,48.48255549999999,48.830581300000006,49.63121140000001,49.6148484,49.614891400000005,49.63121140000001,49.63121140000001,49.63121140000001,,52.9162772,left,0.0,21.776616699999977,,52.91714010000001,52.9397424,53.4279608,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,53.44476940000001,,,,,,,,,53.4287535,54.2276795,55.0283025,55.012196200000005,55.0122365,55.0283025,55.0283025,55.0283025,60.02530659999999,60.65994459999999,right,0.0,24.122515099999987,,60.6608555,60.6739604,61.1733654,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,61.1892019,,,,,,,,,61.17470119999999,62.373287000000005,63.1736387,63.157855600000005,63.15790960000001,63.1736387,63.1736387,63.1736387,68.17113169999999,68.6238266,left,0.0,23.9333278,,68.6249568,68.63614340000001,69.13581099999999,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,69.1517136,,,,,,,,,69.13668229999999,69.93569070000001,70.7365221,70.72055839999999,70.720605,70.7365221,70.7365221,70.7365221,,72.8885157,left,1.0,20.63172689999999,,72.88939250000001,72.9009332,73.38568660000001,73.400398,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,73.400398,,,,,,,,,73.38670189999999,74.60001539999999,75.40043270000001,75.3850875,75.3851305,75.40043270000001,75.40043270000001,75.40043270000001,,76.93518220000001,right,1.0,20.02774110000001,,76.93621200000001,76.9485153,77.4334341,77.44809079999999,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,77.44809079999999,,,,,,,,,77.43425339999999,77.7982848,78.5986814,78.5821185,78.58216009999998,78.5986814,78.5986814,78.5986814,,79.84982699999998,left,0.0,19.74434199999999,,79.850563,79.86343780000001,80.34852989999999,80.36323289999999,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,80.36323289999999,,,,,,,,,80.34943360000003,81.1614759,81.96317359999998,81.94779589999999,81.94785929999998,81.96317359999998,81.96317359999998,81.96317359999998,,85.01505590000002,left,1.0,21.532353700000016,,85.01591320000003,85.02741929999999,85.51237030000001,85.52724959999998,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,85.52724959999998,,,,,,,,,85.51331400000001,85.87722219999998,86.67720890000001,86.66214099999999,86.66220530000001,86.67720890000001,86.67720890000001,86.67720890000001,,90.1117368,right,0.0,21.916442499999988,,90.112605,90.12465390000004,90.6093764,90.6242217,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
right,right,,4.0,1.0,9.0,1.0,,,,,,,,,90.6242217,,,,,,,,,90.610247,91.424116,92.2244567,92.2083264,92.208377,92.2244567,92.2244567,92.2244567,,93.5761332,right,1.0,19.84323699999996,,93.5771415,93.58918229999998,94.0741553,94.08945480000004,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
right,right,,5.0,0.0,10.0,1.0,,,,,,,,,94.08945480000004,,,,,,,,,94.0750257,94.43874179999996,95.23965280000002,95.22370479999998,95.2237613,95.23965280000002,95.23965280000002,95.23965280000002,,98.05672239999998,right,1.0,21.31002429999998,,98.0577893,98.0701182,98.5547746,98.57012519999998,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
left,left,,5.0,1.0,11.0,0.0,,,,,,,,,98.57012519999998,,,,,,,,,98.55568209999998,98.6700587,99.47021600000002,99.4546577,99.4547026,99.47021600000002,99.47021600000002,99.47021600000002,,102.8381366,right,0.0,21.859318400000035,,102.8393033,102.8507175,103.3363643,103.3504391,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
right,right,,6.0,0.0,12.0,1.0,,,,,,,,,103.3504391,,,,,,,,,103.33733759999998,103.45059999999998,104.2507241,104.2357828,104.2358308,104.2507241,104.2507241,104.2507241,,105.8694768,left,0.0,20.09859990000004,,105.8705365,105.8825901,106.36746079999998,106.3822263,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
left,left,,6.0,1.0,13.0,0.0,,,,,,,,,106.3822263,,,,,,,,,106.3683655,107.18221459999998,107.9825961,107.96676799999996,107.9668071,107.9825961,107.9825961,107.9825961,,110.233195,left,1.0,20.731810699999954,,110.23402030000004,110.2469569,110.73084020000002,110.7465015,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
right,right,,7.0,0.0,14.0,1.0,,,,,,,,,110.7465015,,,,,,,,,110.73153290000002,111.09635490000002,111.8968272,111.8810493,111.8810923,111.8968272,111.8968272,111.8968272,,116.1640758,right,1.0,22.75594079999999,,116.16496750000002,116.1768913,116.66136980000002,116.6770448,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
left,left,,7.0,1.0,15.0,0.0,,,,,,,,,116.6770448,,,,,,,,,116.6622804,117.47654409999998,118.27689569999998,118.26083480000004,118.26089770000002,118.27689569999998,118.27689569999998,118.27689569999998,,121.62722950000004,right,0.0,21.83244739999995,,121.62835900000002,121.64115210000004,122.1253128,122.14032,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
left,left,,8.0,0.0,16.0,0.0,,,,,,,,,122.14032,,,,,,,,,122.126228,122.2403791,123.0410143,123.02454889999998,123.0246377,123.0410143,123.0410143,123.0410143,128.03797369999998,128.25789640000002,right,0.0,23.69852279999995,,128.2590043,128.2701752,128.75532719999998,128.7697563,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
right,right,,8.0,1.0,17.0,1.0,,,,,,,,,128.7697563,,,,,,,,,128.75627690000002,129.1196411,129.92011599999998,129.9044006,129.90443739999998,129.92011599999998,129.92011599999998,129.92011599999998,,131.4885735,left,0.0,20.05562539999997,,131.48949639999998,131.501765,131.9858,132.0015448,,,,,,,,,,,,,,,,,,,,,,,,,sub-051,1.0,random_dot,60.01820952477024,
