direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate
right,right,speed,,,,,0,1,1,1,24,0,48,1,303.6565551,,,,,,,,,303.6419288,304.0063184,304.8057941,304.7894413,304.7894604,304.8057941,304.8057941,304.8057941,305.905391,left,0,20.3722203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,speed,,,,,0,1,1,1,24,1,49,0,305.9212558,,,,,,,,,305.906564,306.0214078,306.8204829,306.8043179,306.8043365,306.8204829,306.8204829,306.8204829,307.4708506,left,1,19.9372373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,speed,,,,,0,1,1,1,25,0,50,0,307.4865731,,,,,,,,,307.4720075,308.6855017,309.484778,309.4686427,309.4686622,309.484778,309.484778,309.484778,310.3016526,left,1,20.1016594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,speed,,,,,0,1,1,1,25,1,51,1,310.317387,,,,,,,,,310.3028091,311.1166505,311.9159578,311.8998783,311.8998978,311.9159578,311.9159578,311.9159578,312.766027,right,1,20.1270763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,speed,,,,,0,1,1,1,26,0,52,0,312.7822022,,,,,,,,,312.7671981,313.5812121,314.3805922,314.3643321,314.3643513,314.3805922,314.3805922,314.3805922,314.8807933,left,1,19.7739647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,speed,,,,,0,1,1,1,26,1,53,1,314.8966618,,,,,,,,,314.8819541,316.0956576,316.8952308,316.8789204,316.8789403,316.8952308,316.8952308,316.8952308,317.478558,right,1,19.855409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,speed,,,,,0,1,1,1,27,0,54,1,317.4943823,,,,,,,,,317.4797123,317.844203,318.6433638,318.6272796,318.6272997,318.6433638,318.6433638,318.6433638,319.5932919,right,1,20.2287691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,speed,,,,,0,1,1,1,27,1,55,0,319.6094937,,,,,,,,,319.5944405,320.8081077,321.6074564,321.5912682,321.591288,321.6074564,321.6074564,321.6074564,322.0745365,left,1,19.7529979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,speed,,,,,0,1,1,1,28,0,56,0,322.0903044,,,,,,,,,322.0756971,322.1903729,322.9895201,322.9734052,322.9734246,322.9895201,322.9895201,322.9895201,323.5398457,right,0,19.8227412,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,speed,,,,,0,1,1,1,28,1,57,1,323.555711,,,,,,,,,323.5410071,323.655862,324.4549062,324.4387488,324.4387678,324.4549062,324.4549062,324.4549062,324.8386804,left,0,19.662413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,speed,,,,,0,1,1,1,29,0,58,1,324.8545338,,,,,,,,,324.8398779,325.6538242,326.4534187,326.4373201,326.4373397,326.4534187,326.4534187,326.4534187,326.9368522,right,1,19.7574643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,speed,,,,,0,1,1,1,29,1,59,0,326.9527021,,,,,,,,,326.9380105,327.3024065,328.1017206,328.08554,328.0855599,328.1017206,328.1017206,328.1017206,328.5354557,left,1,19.7058309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
,,speed,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.5363107,328.5512451,333.5470208,,,,
