direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011629657999947,0.0381710130000101,0.0381710130000101,7.929872579999937,space,7.657402215999809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-132,1,random_dot,68.56207999471756,
right,right,0.0,0.0,0.0,right,1.0,1.261470677000034,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,7.952898155000184,,,,,,,,,7.939040361000025,8.274615854999865,9.074852249999822,9.057294060999991,9.057655121000153,9.074852249999822,9.074852249999822,9.074852249999822,10.340213293000032,right,1.0,1.261470677000034,,10.346539996000049,10.372310498999925,10.851458383000136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-132,1,random_dot,68.56207999471756,
left,left,1.0,1.0,0.0,left,1.0,1.1121720480000477,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,10.862823153000136,,,,,,,,,10.851710880000155,12.0457178810002,12.862317992000044,12.844319780000204,12.844802827999956,12.862317992000044,12.862317992000044,12.862317992000044,13.978010801999972,left,1.0,1.1121720480000477,,13.978342389999852,13.986963929000012,14.48009659499985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-132,1,random_dot,68.56207999471756,
left,left,2.0,0.0,1.0,left,1.0,1.046515664999788,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,14.488908289999928,,,,,,,,,14.480410583999856,15.69573514700005,16.50424096300003,16.48687774400014,16.487984864999817,16.50424096300003,16.50424096300003,16.50424096300003,17.557596096999987,left,1.0,1.046515664999788,,17.557696072,17.56766414799995,18.055099047000112,18.07717282500016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-132,1,random_dot,68.56207999471756,
right,right,3.0,1.0,1.0,right,1.0,1.7241703350000537,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,18.07717282500016,,,,,,,,,18.05601235799986,18.15397725699995,18.95495820999986,18.942718539999987,18.9440655530002,18.95495820999986,18.95495820999986,18.95495820999986,20.69469435700012,right,1.0,1.7241703350000537,,20.6948653569998,20.70544064500018,21.195726180999827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-132,1,random_dot,68.56207999471756,
left,left,4.0,0.0,2.0,left,1.0,1.1921065149999777,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,21.204656711000094,,,,,,,,,21.196153245000005,21.541146272999868,22.345317888999944,22.327798016000088,22.328133396999878,22.345317888999944,22.345317888999944,22.345317888999944,23.539783873000037,left,1.0,1.1921065149999777,,23.53997592099995,23.550484762999982,24.04564517100016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-132,1,random_dot,68.56207999471756,
right,right,5.0,1.0,2.0,right,1.0,1.2189261959997566,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,24.06328857400013,,,,,,,,,24.046074491000127,24.84555364000016,25.640145187000144,25.629148129999976,25.62961108699983,25.640145187000144,25.640145187000144,25.640145187000144,26.86336466900002,right,1.0,1.2189261959997566,,26.863460601000043,26.873334305999837,27.368290663000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-132,1,random_dot,68.56207999471756,
left,left,6.0,0.0,3.0,right,0.0,1.4735591850003402,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,27.379927468000005,,,,,,,,,27.3686875100002,27.712027300000045,28.51267496599985,28.50124371899983,28.50171796199993,28.51267496599985,28.51267496599985,28.51267496599985,30.00097648700012,right,0.0,1.4735591850003402,,30.00802118999991,30.018166911000208,30.503879202000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-132,1,random_dot,68.56207999471756,
right,right,7.0,1.0,3.0,left,0.0,1.7854499340000984,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,30.526885654000125,,,,,,,,,30.50535918200012,30.86079427300001,31.65634243500017,31.64572407200012,31.64619269700006,31.65634243500017,31.65634243500017,31.65634243500017,33.44772474599995,left,0.0,1.7854499340000984,,33.44795440300004,33.45714177899981,33.94565694799985,33.95404403700013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-132,1,random_dot,68.56207999471756,
left,left,8.0,0.0,4.0,right,0.0,2.0224902899999506,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,33.95404403700013,,,,,,,,,33.94605133999994,34.04674910599988,34.85156839699994,34.83795776199986,34.83911308699999,34.85156839699994,34.85156839699994,34.85156839699994,36.8831897189998,right,0.0,2.0224902899999506,,36.88338465600009,36.893818095999904,37.38095402499994,37.39360745800013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-132,1,random_dot,68.56207999471756,
