direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.007592299953103,0.0135286999866366,0.0135286999866366,16.602571399882436,space,49.51348350010812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-162,1.0,random_dot,119.92492681508163,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,16.61468629981391,,,,,,,,,16.61084320000373,17.809207199839875,18.609935299959037,18.601043399889026,18.60105779999867,18.609935299959037,18.609935299959037,18.609935299959037,22.384985499782488,left,0.0,36.6975389001891,,22.38555769994855,22.396584199974317,22.89177989983,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-162,1.0,random_dot,119.92492681508163,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,22.900017199805006,,,,,,,,,22.89208529982716,23.24151029996574,24.042626699898392,24.033634799998254,24.03364909999073,24.042626699898392,24.042626699898392,24.042626699898392,26.417604399845004,right,0.0,35.29706580005586,,26.418007100000978,26.424433199921623,26.91640739981085,26.924271899973974,,,,,,,,,,,,,,,,,,,,,,,,,,sub-162,1.0,random_dot,119.92492681508163,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,26.924271899973974,,,,,,,,,26.916690999874845,28.12402339978144,28.924988699844107,28.91605619993061,28.91607469995506,28.924988699844107,28.924988699844107,28.924988699844107,33.07486519985832,left,1.0,37.07851520017721,,33.07526489999145,33.08306899992749,33.58175249979831,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-162,1.0,random_dot,119.92492681508163,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,33.590038899797946,,,,,,,,,33.58206159994006,33.68148799985647,34.48231110000052,34.47348719998263,34.473504199879244,34.48231110000052,34.48231110000052,34.48231110000052,37.86582919978537,left,0.0,36.30772410007194,,37.8662239999976,37.87270999979228,38.36467669997364,38.372613799991086,,,,,,,,,,,,,,,,,,,,,,,,,,sub-162,1.0,random_dot,119.92492681508163,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,38.372613799991086,,,,,,,,,38.36496469983831,39.17232169979252,39.97332329978235,39.96419639978558,39.96421039989218,39.97332329978235,39.97332329978235,39.97332329978235,42.97353519988246,right,1.0,35.925282899988815,,42.97409369982779,42.9810634998139,43.48013119981624,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-162,1.0,random_dot,119.92492681508163,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,43.488087699981406,,,,,,,,,43.48053919989616,43.579980299808085,44.38076319987886,44.37194149987772,44.3719616997987,44.38076319987886,44.38076319987886,44.38076319987886,51.87205499992706,right,0.0,40.41313990019262,,51.87247049994767,51.87860199995339,52.37087059998885,52.37864639982581,49.37149059982039,,,,,,,,,,,,,,,,,,,,,,,,,sub-162,1.0,random_dot,119.92492681508163,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,52.37864639982581,,,,,,,,,52.37115899985656,53.57828799984418,54.37906249985099,54.37025899998844,54.37027399986982,54.37906249985099,54.37906249985099,54.37906249985099,56.52970079984516,left,1.0,35.075060500064865,,56.53010439989157,56.53613219992258,57.02814639988355,57.036014899844304,,,,,,,,,,,,,,,,,,,,,,,,,,sub-162,1.0,random_dot,119.92492681508163,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,57.036014899844304,,,,,,,,,57.02842849981971,57.8358649997972,58.63677119999193,58.62820039992221,58.62821869994514,58.63677119999193,58.63677119999193,58.63677119999193,60.5870970999822,left,0.0,34.872547399951145,,60.58752329996787,60.594001799821854,61.08592939982191,61.093771799933165,,,,,,,,,,,,,,,,,,,,,,,,,,sub-162,1.0,random_dot,119.92492681508163,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,61.093771799933165,,,,,,,,,61.08619679999538,61.44371849996969,62.24455889989622,62.235750099876896,62.2357681998983,62.24455889989622,62.24455889989622,62.24455889989622,63.57831169990823,right,0.0,34.25601950008422,,63.5787166999653,63.585179099813104,64.07702520000748,64.08488969993778,,,,,,,,,,,,,,,,,,,,,,,,,,sub-162,1.0,random_dot,119.92492681508163,
