direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0227513999852817,0.0388009999878704,0.0388009999878704,16.794254599983105,space,42.61415979999583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-043,1.0,random_dot,59.80267509104013,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,16.838168499991298,,,,,,,,,16.828202599979704,17.605507700005546,18.40630499998224,18.389189799985616,18.38922379998257,18.40630499998224,18.40630499998224,18.40630499998224,19.560416299995268,right,0.0,27.028076699993107,,19.56108749998384,19.5881182999874,20.07186619998538,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-043,1.0,random_dot,59.80267509104013,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,20.088985899987165,,,,,,,,,20.072345299995504,20.171455899981083,20.972165899991523,20.955485499987844,20.955504799989285,20.972165899991523,20.972165899991523,20.972165899991523,23.972730299981777,left,0.0,28.867717100016307,,23.97322929999791,23.98887119998108,24.472490599990124,24.48871949999011,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-043,1.0,random_dot,59.80267509104013,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,24.48871949999011,,,,,,,,,24.472914199985095,24.57224330000463,25.371917599986773,25.355812499998137,25.3558350999956,25.371917599986773,25.371917599986773,25.371917599986773,26.88952579998295,right,1.0,27.382247900008224,,26.89001430000644,26.90496379998513,27.3895354999986,27.40564599999925,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-043,1.0,random_dot,59.80267509104013,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,27.40564599999925,,,,,,,,,27.38998239999637,27.50471280000056,28.30448689998593,28.289050399995176,28.28908879999653,28.30448689998593,28.30448689998593,28.30448689998593,32.32278379998752,left,1.0,29.89254830000573,,32.32329659999232,32.33849039999768,32.82249550000415,32.83840379997855,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-043,1.0,random_dot,59.80267509104013,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,32.83840379997855,,,,,,,,,32.8229051999806,33.18822039998486,33.98790419998113,33.972464699996635,33.972484700003406,33.98790419998113,33.98790419998113,33.98790419998113,36.272156299994094,right,1.0,28.1557979999925,,36.27265139998053,36.287752599979285,36.77276859999984,36.79134409999824,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-043,1.0,random_dot,59.80267509104013,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,36.79134409999824,,,,,,,,,36.77321600000141,37.57142249998287,38.37128999998095,38.35584549998748,38.35586859998875,38.37128999998095,38.37128999998095,38.37128999998095,39.75613160000648,left,1.0,27.259286499989685,,39.75666159999673,39.77112950000446,40.25599679999869,40.27169839999988,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-043,1.0,random_dot,59.80267509104013,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,40.27169839999988,,,,,,,,,40.25646669999696,41.4716070999857,42.2715593999892,42.25541389998398,42.255437399988296,42.2715593999892,42.2715593999892,42.2715593999892,47.20544229997904,left,0.0,30.804360000009183,,47.20597999999882,47.221173500001896,47.70507149997866,47.72119989999919,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-043,1.0,random_dot,59.80267509104013,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,47.72119989999919,,,,,,,,,47.70548579999013,48.52121159998933,49.32145550000132,49.30477550000069,49.30479490000289,49.32145550000132,49.32145550000132,49.32145550000132,51.2548950999917,left,1.0,27.803285600006348,,51.255542400002014,51.27105769998161,51.75468879999244,51.77117249998264,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-043,1.0,random_dot,59.80267509104013,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,51.77117249998264,,,,,,,,,51.75510999999824,52.55497739999555,53.35424369998509,53.33866879998823,53.338687999988906,53.35424369998509,53.35424369998509,53.35424369998509,55.90535539999837,left,1.0,28.425465100008296,,55.90587259997847,55.92092760000378,56.40537579997908,56.42103159998078,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-043,1.0,random_dot,59.80267509104013,
