direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0067749000154435,0.0215011000400409,0.0215011000400409,1.4114426000742242,space,1.3812748999334872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-135,3.0,random_dot,59.99545233802225,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,1.553613999974914,,,,,,,,,1.5459355000639334,2.2224884000606835,3.0538862000685185,3.021690099965781,3.021732800058089,3.0538862000685185,3.0538862000685185,3.0538862000685185,4.271530800033361,right,1.0,1.2084742999868467,,4.2733425999758765,4.300582300056703,4.786112500005402,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-135,3.0,random_dot,59.99545233802225,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,4.80261909996625,,,,,,,,,4.787408799980767,5.136507599963807,5.935926500009373,5.920816199970432,5.920865699998103,5.935926500009373,5.935926500009373,5.935926500009373,7.688117500045337,right,0.0,1.7473729000193998,,7.690613000071607,7.716522900038399,8.201488999999128,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-135,3.0,random_dot,59.99545233802225,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,8.217791100032628,,,,,,,,,8.20277990004979,9.40079159999732,10.21739330003038,10.201820200076329,10.201867599971592,10.21739330003038,10.21739330003038,10.21739330003038,11.56650419998914,right,1.0,1.3361287999432534,,11.567711899988351,11.58149760006927,12.06644269998651,12.081545699969864,,,,,,,,,,,,,,,,,,,,,,,,,,sub-135,3.0,random_dot,59.99545233802225,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,12.081545699969864,,,,,,,,,12.067902500042692,12.88202200003434,13.698213499970734,13.682353800046258,13.682403500075452,13.698213499970734,13.698213499970734,13.698213499970734,16.013486800016835,left,1.0,2.2982001999625936,,16.01498590002302,16.028421299997717,16.51278590003494,16.52800060005393,,,,,,,,,,,,,,,,,,,,,,,,,,sub-135,3.0,random_dot,59.99545233802225,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,16.52800060005393,,,,,,,,,16.51371960004326,17.728762699989602,18.535861400072463,18.5153249000432,18.515379499993287,18.535861400072463,18.535861400072463,18.535861400072463,20.94313999998849,left,1.0,2.3978258999995887,,20.944472300005145,20.958105299971063,21.44240140006877,21.457902700058185,,,,,,,,,,,,,,,,,,,,,,,,,,sub-135,3.0,random_dot,59.99545233802225,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,21.457902700058185,,,,,,,,,21.443215399980545,22.659351099980995,23.47669549996499,23.460665800026614,23.460788600030355,23.47669549996499,23.47669549996499,23.47669549996499,24.24082359997556,right,1.0,0.7478938000276685,,24.242249300004914,24.25555830006488,24.76161529996898,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-135,3.0,random_dot,59.99545233802225,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,24.77263420005329,,,,,,,,,24.76282750000246,25.12231820006855,25.93854670005385,25.92282780003734,25.922872200026177,25.93854670005385,25.93854670005385,25.93854670005385,32.22969429998193,left,1.0,6.272390600061044,,32.23237490002066,32.24533399997745,32.73600649996661,,30.935298099997453,,,,,,,,,,,,,,,,,,,,,,,,,sub-135,3.0,random_dot,59.99545233802225,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,32.75256920000538,,,,,,,,,32.73795580002479,33.933481300016865,34.73591150005814,34.71925419999752,34.7193368000444,34.73591150005814,34.73591150005814,34.73591150005814,35.0513903000392,right,1.0,0.3004706000210717,,35.053548800060526,35.06689290003851,35.551485100062564,35.56647289998364,,,,,,,,,,,,,,,,,,,,,,,,,,sub-135,3.0,random_dot,59.99545233802225,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,35.56647289998364,,,,,,,,,35.55313939996995,35.917250200058334,36.73196880007163,36.71676710003521,36.71683859999757,36.73196880007163,36.73196880007163,36.73196880007163,37.6469333000714,right,1.0,0.9093015999533236,,37.64982950000558,37.65986640006304,38.14952049998101,38.164639199967496,,,,,,,,,,,,,,,,,,,,,,,,,,sub-135,3.0,random_dot,59.99545233802225,
