direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0157051249989308,0.0224690830073086,0.0224690830073086,2.2566852500021923,space,2.2023020000051474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,1,random_dot,,
left,left,0.0,0.0,0.0,right,0.0,1.2295032080000965,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,2.285241292003775,,,,,,,,,2.2690998330072034,2.351849625003524,3.1509677080030087,3.139272667001933,3.139716208010213,3.1509677080030087,3.1509677080030087,3.1509677080030087,4.382526208006311,right,0.0,1.2295032080000965,,4.3886252920056,4.4088884579978185,4.884741375004523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,1,random_dot,,
right,right,1.0,1.0,0.0,left,0.0,0.7775954579992685,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,4.895919667003909,,,,,,,,,4.885035250001238,4.983264417009195,5.779380167005002,5.771518250010558,5.77194295800291,5.779380167005002,5.779380167005002,5.779380167005002,6.559521957999095,left,0.0,0.7775954579992685,,6.559648082999047,6.566425375000108,7.053873541997746,7.066838250000728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,1,random_dot,,
right,right,2.0,0.0,1.0,left,0.0,3.583346708008321,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,7.066838250000728,,,,,,,,,7.054222292004852,7.399022500001593,8.206148625002243,8.19959975000529,8.200010708009358,8.206148625002243,8.206148625002243,8.206148625002243,11.792809917009436,left,0.0,3.583346708008321,,11.792919250001432,11.80968625000969,12.296066791997871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,1,random_dot,,
left,left,3.0,1.0,1.0,right,0.0,0.9858043750136858,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,12.300058583001372,,,,,,,,,12.296413625008428,12.64121454200358,13.432330333002028,13.425413250006386,13.42585254200094,13.432330333002028,13.432330333002028,13.432330333002028,14.426767791999737,right,0.0,0.9858043750136858,,14.42685495800106,14.431718250008998,14.925472625007387,14.947100042001694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,1,random_dot,,
left,left,4.0,0.0,2.0,left,1.0,1.6978879169910217,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,14.947100042001694,,,,,,,,,14.925825667000026,15.26942120800959,16.060988958008238,16.05303733299661,16.053448083010153,16.060988958008238,16.060988958008238,16.060988958008238,17.771552749996772,left,1.0,1.6978879169910217,,17.77593220800918,17.783470125010354,18.26741979199869,18.278974917004238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,1,random_dot,,
right,right,5.0,1.0,2.0,right,1.0,2.4527529170009075,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,18.278974917004238,,,,,,,,,18.267702167009706,18.62362204201054,19.432144542006423,19.425831208005548,19.42626362500596,19.432144542006423,19.432144542006423,19.432144542006423,21.88708245800808,right,1.0,2.4527529170009075,,21.887197542004287,21.895765708002727,22.388016416996837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,1,random_dot,,
right,right,6.0,0.0,3.0,left,0.0,2.106868333008606,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,22.395135333004877,,,,,,,,,22.388519833009923,23.201559000008277,24.00329641700955,23.996195958010503,23.99662395800988,24.00329641700955,24.00329641700955,24.00329641700955,26.11760841700016,left,0.0,2.106868333008606,,26.12039166700561,26.12693808300537,26.610558333006335,26.62075270799687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,1,random_dot,,
left,left,7.0,1.0,3.0,right,0.0,3.5579107079975074,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,26.62075270799687,,,,,,,,,26.61087637500896,26.72398404200794,27.518273167006555,27.51125566700648,27.51167175000592,27.518273167006555,27.518273167006555,27.518273167006555,31.07764499999757,right,0.0,3.5579107079975074,,31.077744958005496,31.08503775000281,31.583771542005707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,1,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,2.160728624992771,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,31.58824562499649,,,,,,,,,31.58411770800012,31.91868716700992,32.72920716700901,32.707486166997114,32.70792620800785,32.72920716700901,32.72920716700901,32.72920716700901,34.89249333299813,left,1.0,2.160728624992771,,34.89518995799881,34.903160832996946,35.39368433300115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-058,1,random_dot,,
