direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0062178749940358,0.0150838330009719,0.0150838330009719,1.902433416005806,space,1.7482582920056302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
right,right,0.0,0.0,0.0,left,0.0,5.360858583997469,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,1.9463346660049865,,,,,,,,,1.9187673330015969,3.1039427910000086,3.9069655000057537,3.890143790995353,3.890916332995402,3.9069655000057537,3.9069655000057537,3.9069655000057537,8.878146457995172,9.274748540992732,left,0.0,5.360858583997469,,9.284515749997809,9.384079291005037,9.779422040999634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
left,left,1.0,1.0,0.0,left,1.0,3.6597254580119625,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,9.789912124993862,,,,,,,,,9.780034875002457,9.87303108299966,10.66474254100467,10.656614833002097,10.657261832995571,10.66474254100467,10.66474254100467,10.66474254100467,,14.331647540995618,left,1.0,3.6597254580119625,,14.33764670799428,14.359215832999324,14.840124291004033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
right,right,2.0,0.0,1.0,right,1.0,3.8614125000021886,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,14.845476375005092,,,,,,,,,14.840695249993589,15.180482790994574,15.98168524999346,15.973578000004636,15.9741777080053,15.98168524999346,15.98168524999346,15.98168524999346,,19.846863208003924,right,1.0,3.8614125000021886,,19.847009290999267,19.855647000003955,20.34037470800104,20.34568225000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
left,left,3.0,1.0,1.0,left,1.0,2.900928250004654,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,20.34568225000112,,,,,,,,,20.340881875003102,21.546385624998948,22.33956937500625,22.330294999992475,22.330823083000723,22.33956937500625,22.33956937500625,22.33956937500625,,25.247729374998016,left,1.0,2.900928250004654,,25.24791108300269,25.256442083002185,25.740528249996714,25.74591333299759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
right,right,4.0,0.0,2.0,right,1.0,3.502883042005124,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,25.74591333299759,,,,,,,,,25.741035832994385,26.09769370799768,26.89884508299292,26.89047387499886,26.891053915998786,26.89884508299292,26.89884508299292,26.89884508299292,,30.40803720800613,right,1.0,3.502883042005124,,30.408226915998966,30.41712966600608,30.90734537500248,30.91293679100636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
left,left,5.0,1.0,2.0,left,1.0,5.499562790995697,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,30.91293679100636,,,,,,,,,30.90792216600676,31.24767712499306,32.04848816599406,32.04054575000191,32.04114425000444,32.04848816599406,32.04848816599406,32.04848816599406,37.02887033300067,37.558803249994526,left,1.0,5.499562790995697,,37.559011791003286,37.568198708002456,38.05732620799972,38.062679708004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
left,left,6.0,0.0,3.0,right,0.0,5.346510792005574,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,38.062679708004,,,,,,,,,38.05780224999762,38.40680129099928,39.198992207995616,39.19078316600644,39.19139016600093,39.198992207995616,39.198992207995616,39.198992207995616,44.17902008300007,44.54838187499263,right,0.0,5.346510792005574,,44.55290700000478,44.56054824999592,45.04650695799501,45.05722741599311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
right,right,7.0,1.0,3.0,right,1.0,5.044832041996415,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,45.05722741599311,,,,,,,,,45.046989208000014,46.24765654100338,47.04972437499964,47.040792832995066,47.041471250006,47.04972437499964,47.04972437499964,47.04972437499964,52.02944491599919,52.09819733300537,right,1.0,5.044832041996415,,52.10247708299721,52.11065050000616,52.5967036249931,52.60749895799381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
left,left,8.0,0.0,4.0,right,0.0,3.507912707995274,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,52.60749895799381,,,,,,,,,52.5972117909987,53.79796083300607,54.59974183299346,54.591103041006136,54.591769249993376,54.59974183299346,54.59974183299346,54.59974183299346,,58.11502475000452,right,0.0,3.507912707995274,,58.11880808300339,58.1280352909962,58.61336058299639,58.624187708002864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
right,right,9.0,1.0,4.0,right,1.0,4.574175165995257,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,58.624187708002864,,,,,,,,,58.61388116600574,58.71372033300577,59.507217916005175,59.496526125003584,59.49705274999724,59.507217916005175,59.507217916005175,59.507217916005175,,64.09204662499542,right,1.0,4.574175165995257,,64.09732400000212,64.10501450000447,64.59136212499288,64.5969224159926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
left,left,10.0,0.0,5.0,right,0.0,3.318162499999744,,,,,,5.0,0.0,10.0,0.0,,,,,,,,,64.5969224159926,,,,,,,,,64.59192929099663,65.38164041600248,66.18248791599763,66.17456216599385,66.17514937500528,66.18248791599763,66.18248791599763,66.18248791599763,,69.5084673329984,right,0.0,3.318162499999744,,69.5122104579932,69.5199874999962,70.00820533299702,70.01374908299476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
right,right,11.0,1.0,5.0,right,1.0,4.103866707999259,,,,,,5.0,1.0,11.0,1.0,,,,,,,,,70.01374908299476,,,,,,,,,70.00875833300233,71.19863495799655,71.99965908299782,71.99148262500239,71.99208129099861,71.99965908299782,71.99965908299782,71.99965908299782,,76.10874570799933,right,1.0,4.103866707999259,,76.11282733299595,76.12071829100023,76.60823124999297,76.61360212499858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
left,left,12.0,0.0,6.0,right,0.0,3.685048999992432,,,,,,6.0,0.0,12.0,0.0,,,,,,,,,76.61360212499858,,,,,,,,,76.60873287499999,76.69843362500251,77.49968770799751,77.4916043330013,77.49217862500518,77.49968770799751,77.49968770799751,77.49968770799751,,81.192232625006,right,0.0,3.685048999992432,,81.19573687500088,81.20347708299232,81.69181145800394,81.69713775000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
right,right,13.0,1.0,6.0,left,0.0,4.790302082998096,,,,,,6.0,1.0,13.0,1.0,,,,,,,,,81.69713775000127,,,,,,,,,81.69231199999922,81.78213283300283,82.58393295800488,82.57504441599303,82.57576645800145,82.58393295800488,82.58393295800488,82.58393295800488,,87.37562516599428,left,0.0,4.790302082998096,,87.37576475000242,87.38092070800485,87.8640684580023,87.87474299999303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052,1,random_dot,,
