direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0087582999840378,0.026967299869284,0.026967299869284,50.24168579978869,space,74.14392290008254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,1.0,random_dot,59.82707586827881,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,50.2847269999329,,,,,,,,,50.27657279977575,51.055356999859214,51.85551119991578,51.84006019984372,51.84007899998687,51.85551119991578,51.85551119991578,51.85551119991578,56.70695799984969,right,0.0,28.769000600324944,,56.72099539986812,56.7353422997985,57.22289919992909,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,1.0,random_dot,59.82707586827881,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,57.23995429999195,,,,,,,,,57.22335499990732,58.02217709994875,58.82360849995166,58.80676369997673,58.80678789992817,58.82360849995166,58.82360849995166,58.82360849995166,63.22486969991587,right,1.0,28.32016390003264,,63.22546219988726,63.23920129984617,63.72299979999661,63.73901669983752,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,1.0,random_dot,59.82707586827881,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,63.73901669983752,,,,,,,,,63.723550599999726,64.93848329992034,65.74043659982271,65.72307609999552,65.72310029994696,65.74043659982271,65.74043659982271,65.74043659982271,70.20757879992016,left,0.0,28.39080400019884,,70.20807589986362,70.22220509988256,70.70601169997826,70.72169029992074,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,1.0,random_dot,59.82707586827881,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,70.72169029992074,,,,,,,,,70.70656109997071,71.07223329995759,71.87280979985371,71.85607679979876,71.85609949985519,71.87280979985371,71.87280979985371,71.87280979985371,73.94085529982112,right,0.0,25.99502050015144,,73.94145829998888,73.95474549988285,74.44022369990125,74.45629219990224,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,1.0,random_dot,59.82707586827881,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,74.45629219990224,,,,,,,,,74.44064729986712,75.65553839993663,76.45607869978994,76.43928479985334,76.43931399984285,76.45607869978994,76.45607869978994,76.45607869978994,80.19130869978108,right,1.0,27.65410810010508,,80.19207939994521,80.20529529987834,80.68920329981484,80.70568499993533,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,1.0,random_dot,59.82707586827881,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,80.70568499993533,,,,,,,,,80.68980609998107,81.90830819983967,82.72308859997429,82.70617699995637,82.70620239991695,82.72308859997429,82.72308859997429,82.72308859997429,85.25795080000535,right,0.0,26.46451360010542,,85.25867579993792,85.27220559981652,85.75606429995969,85.7721551998984,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,1.0,random_dot,59.82707586827881,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,85.7721551998984,,,,,,,,,85.75657659978606,86.12239969987422,86.93872199999169,86.92238839995116,86.92241129977629,86.93872199999169,86.93872199999169,86.93872199999169,88.25684179994278,left,0.0,25.241464900085703,,88.25748719996773,88.27210299996659,88.75640579988249,88.77226809994318,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,1.0,random_dot,59.82707586827881,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,88.77226809994318,,,,,,,,,88.75682889996096,89.9720631998498,90.7735636997968,90.75714439991862,90.75716909999028,90.7735636997968,90.7735636997968,90.7735636997968,92.440388899995,right,0.0,25.59562630020082,,92.4409213999752,92.45519069978036,92.93965079984628,92.95609519979917,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,1.0,random_dot,59.82707586827881,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,92.95609519979917,,,,,,,,,92.94011510000564,93.75568749988452,94.55680209980346,94.53951699985193,94.53954059979878,94.55680209980346,94.55680209980346,94.55680209980346,101.57415149989538,right,0.0,30.945659500313923,,101.57467969995923,101.58909379993564,102.07352769980209,102.08925709989852,99.5400667998474,,,,,,,,,,,,,,,,,,,,,,,,,,sub-059,1.0,random_dot,59.82707586827881,
