direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,1.386256500147283,1.394362200051546,1.394362200051546,4.813273400068283,space,53.39753899979405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,4.8471921000164,,,,,,,,,4.84272630000487,5.611946500139311,6.412728999974206,6.40411869995296,6.40416150004603,6.412728999974206,6.412728999974206,6.412728999974206,7.547289500012994,right,0.0,51.113701299764216,,7.548267400125042,7.563156499993056,8.05366860004142,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,8.06155680003576,,,,,,,,,8.054359700065106,9.253368000034245,10.053630999987943,10.046251100022346,10.046283700037748,10.053630999987943,10.053630999987943,10.053630999987943,13.13010219996795,right,1.0,53.05223639984615,,13.130727699957788,13.14146209997125,13.637010300066322,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,13.644819900160655,,,,,,,,,13.637752700131388,13.72835039999336,14.528777900151908,14.521165400044993,14.52119869994931,14.528777900151908,14.528777900151908,14.528777900151908,16.613795100012794,left,1.0,52.05817619990557,,16.614429200068116,16.619970600120723,17.112679700134322,17.119889500085264,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,17.119889500085264,,,,,,,,,17.11348870000802,17.911457400070503,18.712099600117654,18.70399360009469,18.704024800099432,18.712099600117654,18.712099600117654,18.712099600117654,22.422429700149223,right,1.0,53.68386369966902,,22.42342590005137,22.427992100128904,22.921562399948016,22.928259100066494,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,22.928259100066494,,,,,,,,,22.922297700075436,24.128286600112915,24.92896470008418,24.9210586999543,24.92109080008231,24.92896470008418,24.92896470008418,24.92896470008418,26.43873109994456,left,0.0,51.48672689986415,,26.439316699979827,26.448148400057107,26.946275500115007,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,26.953170200111344,,,,,,,,,26.947069900110364,27.73669099994004,28.536882699932903,28.52985429996625,28.5298894001171,28.536882699932903,28.536882699932903,28.536882699932903,32.479033400071785,right,0.0,53.91779850004241,,32.47967720008455,32.48506160010584,32.97816379996948,32.984987600008026,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,32.984987600008026,,,,,,,,,32.978857500012964,33.77688100002706,34.577059800038114,34.56917389994487,34.56920289993286,34.577059800038114,34.577059800038114,34.577059800038114,36.72026269999333,right,1.0,52.12116149999201,,36.720842600101605,36.729044900042936,37.219142799964175,37.226684499997646,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,37.226684499997646,,,,,,,,,37.22005650005303,37.31841820012778,38.11873969994485,38.11161369993352,38.11164649995044,38.11873969994485,38.11873969994485,38.11873969994485,43.11999740009196,right,0.0,54.97881820006296,,43.12062530010007,43.13097029994242,43.62708689994179,,43.110508600017056,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,43.63510389998555,,,,,,,,,43.62779640010558,43.96847179997712,44.76914030010812,44.761009900132194,44.76104820007458,44.76914030010812,44.76914030010812,44.76914030010812,49.845263299997896,left,0.0,55.05352769978344,,49.845991800073534,49.85139130009338,50.34448570013046,50.351520700147375,49.76040729996748,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,50.351520700147375,,,,,,,,,50.34550560009666,51.14329549996182,51.94380360003561,51.93623450002633,51.936276300111786,51.94380360003561,51.94380360003561,51.94380360003561,55.39535170001909,right,0.0,53.42602299991995,,55.39671900006943,55.40156299993396,55.89452810003422,55.90173320006579,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
left,left,,5.0,0.0,10.0,0.0,,,,,,,,,55.90173320006579,,,,,,,,,55.89525009994395,56.70164610003121,57.50233820010908,57.49427959998138,57.49430639995262,57.50233820010908,57.50233820010908,57.50233820010908,58.36166579998098,left,1.0,50.83392879972234,,58.36228560004383,58.37086710007861,58.86084780003876,58.86839610012248,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
right,right,,5.0,1.0,11.0,1.0,,,,,,,,,58.86839610012248,,,,,,,,,58.8615033000242,60.05993570014834,60.86039480008185,60.85264139994979,60.8526665000245,60.86039480008185,60.86039480008185,60.86039480008185,62.73683650000021,right,1.0,51.85458049993031,,62.73742419993505,62.74329879996367,63.23630430013873,63.243292100029066,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
left,left,,6.0,0.0,12.0,0.0,,,,,,,,,63.243292100029066,,,,,,,,,63.23703910014592,64.03517269995064,64.83542490005493,64.82757490011863,64.8276078000199,64.83542490005493,64.83542490005493,64.83542490005493,66.18655680003576,left,1.0,51.3275140998885,,66.18720140005462,66.193181599956,66.68638600013219,66.69364330009557,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-017,1.0,random_dot,121.1253512397542,
