direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023018000065349,0.0062129999860189,0.0062129999860189,24.79046600003494,space,24.7755275000236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
right,right,0.0,0.0,0.0,left,0.0,5.010340799984988,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,24.84442510001827,,,,,,,,,24.84087960002944,25.60022010002285,26.4115393999964,26.384278899990026,26.384921199991368,26.4115393999964,26.4115393999964,26.4115393999964,31.384458000015,31.43534660001751,left,0.0,5.010340799984988,,31.450447399984117,31.4553084000363,31.95072830002755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
left,left,1.0,1.0,0.0,right,0.0,1.6928644999861715,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,31.96685680001974,,,,,,,,,31.95115249999799,32.05027589999372,32.851340499997605,32.83419369999319,32.83463679999113,32.851340499997605,32.851340499997605,32.851340499997605,,34.55170479998924,right,0.0,1.6928644999861715,,34.55183390004095,34.566890400019474,35.0508880999987,35.066991800034884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
left,left,2.0,0.0,1.0,left,1.0,1.934011300036218,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,35.066991800034884,,,,,,,,,35.05128250003327,35.15035670000361,35.95125199999893,35.93413840001449,35.934651600022335,35.95125199999893,35.95125199999893,35.95125199999893,,37.9017505000229,left,1.0,1.934011300036218,,37.91153560002567,37.91660799999954,38.4007913999958,38.416740100015886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
right,right,3.0,1.0,1.0,right,1.0,2.2347792999935336,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,38.416740100015886,,,,,,,,,38.401153600018006,38.51702940004179,39.31797939998796,39.30094899999676,39.3014097000123,39.31797939998796,39.31797939998796,39.31797939998796,,41.55324490001658,right,1.0,2.2347792999935336,,41.5533798999968,41.5670140000293,42.051088400010485,42.06709339999361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
left,left,4.0,0.0,2.0,right,0.0,11.810893499990923,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,42.06709339999361,,,,,,,,,42.05150040000444,42.86720500001684,43.668033300025854,43.65111420000903,43.65160199999809,43.668033300025854,43.668033300025854,43.668033300025854,48.65507630002685,55.48534409998683,right,0.0,11.810893499990923,,55.48957610002253,55.50051510002231,55.984296400041785,56.00065370002994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
right,right,5.0,1.0,2.0,right,1.0,1.3849165000137873,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,56.00065370002994,,,,,,,,,55.98467800003709,56.10071600001538,56.90152680000756,56.88456510001561,56.885063600027934,56.90152680000756,56.90152680000756,56.90152680000756,,58.28689139999915,right,1.0,1.3849165000137873,,58.29064299998572,58.300593100022525,58.784621500002686,58.80061169998953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
left,left,6.0,0.0,3.0,left,1.0,3.0920993000036106,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,58.80061169998953,,,,,,,,,58.78501120000146,58.90073669998674,59.7014006000245,59.68469309998909,59.68516649998492,59.7014006000245,59.7014006000245,59.7014006000245,,62.802066800009925,left,1.0,3.0920993000036106,,62.80220700002974,62.81743390002521,63.301217400003225,63.31732800003374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
right,right,7.0,1.0,3.0,right,1.0,2.829301599995233,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,63.31732800003374,,,,,,,,,63.301599099999294,63.41719300003024,64.21825109998463,64.20142210001359,64.20183690002887,64.21825109998463,64.21825109998463,64.21825109998463,,67.05188230000203,right,1.0,2.829301599995233,,67.05201300000772,67.06742169999052,67.55104290001327,67.56738230003975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
left,left,8.0,0.0,4.0,left,1.0,1.8873309000045992,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,67.56738230003975,,,,,,,,,67.5514247000101,67.91742529999465,68.71828860003734,68.70147750002798,68.70195040002,68.71828860003734,68.71828860003734,68.71828860003734,,70.61884280003142,left,1.0,1.8873309000045992,,70.61897180002416,70.63406740000937,71.11830690002535,71.13410319999093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
right,right,9.0,1.0,4.0,right,1.0,1.23640819999855,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,71.13410319999093,,,,,,,,,71.11877549998462,71.23411530000158,72.03508739999961,72.01830920000793,72.01877930003684,72.03508739999961,72.03508739999961,72.03508739999961,,73.28557000000728,right,1.0,1.23640819999855,,73.28642110002693,73.30086320004193,73.78478839999298,73.80079690000275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
right,right,10.0,0.0,5.0,left,0.0,1.4568222000380049,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,73.80079690000275,,,,,,,,,73.78521529998397,74.60089520004112,75.40177460003179,75.3849298999994,75.38542080001207,75.40177460003179,75.40177460003179,75.40177460003179,,76.86903400003212,left,0.0,1.4568222000380049,,76.87488890002714,76.88423690001946,77.36813349998556,77.38421960000414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-109,1,random_dot,60.14303216296397,
