direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0104049580040737,0.0183743750021676,0.0183743750021676,70.02061112500087,space,69.95597441700374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,0.0,0.0,0.0,right,0.0,5.195084750004753,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,70.06705245799822,,,,,,,,,70.0452701250033,70.82873204199859,71.63780141700408,71.61289808300353,71.6134745829986,71.63780141700408,71.63780141700408,71.63780141700408,76.61216387500463,76.83703516700189,right,0.0,5.195084750004753,,76.8458141250012,76.86871375000192,77.34585679200245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
right,right,1.0,1.0,0.0,left,0.0,2.710472083999776,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,77.35431487500318,,,,,,,,,77.34625579199928,78.53619566700218,79.33862675000273,79.33025833300053,79.33081462499831,79.33862675000273,79.33862675000273,79.33862675000273,,82.05417808300263,left,0.0,2.710472083999776,,82.05429554200236,82.06300920800277,82.54666250000446,82.55253295799776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,2.0,0.0,1.0,right,0.0,4.907612249997328,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,82.55253295799776,,,,,,,,,82.54704258299898,83.35221250000177,84.14537533299881,84.1354914170006,84.1359683749979,84.14537533299881,84.14537533299881,84.14537533299881,,89.05511991700041,right,0.0,4.907612249997328,,89.05523700000049,89.07918454200262,89.563139124999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
right,right,3.0,1.0,1.0,right,1.0,7.259619958000258,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,89.57107237500168,,,,,,,,,89.56353462499828,90.75301483300429,91.5543886250016,91.54671162500016,91.54719145800482,91.5543886250016,91.5543886250016,91.5543886250016,96.53512766700442,98.82565737500408,right,1.0,7.259619958000258,,98.83134516700376,98.8377762500022,99.32935900000302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
right,right,4.0,0.0,2.0,left,0.0,7.177642208996986,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,99.3345627919989,,,,,,,,,99.3297856249992,99.4183599579992,100.21246175000124,100.20299679200252,100.20349295800406,100.21246175000124,100.21246175000124,100.21246175000124,105.19624699999986,107.39859870800136,left,0.0,7.177642208996986,,107.40179533300396,107.4110704170016,107.89724404200388,107.9030059170036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,5.0,1.0,2.0,left,1.0,6.308073667001736,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,107.9030059170036,,,,,,,,,107.89763545800088,108.24654554200242,109.03870754200034,109.03048362499976,109.03096033300244,109.03870754200034,109.03870754200034,109.03870754200034,114.01880020800309,115.34948454199912,left,1.0,6.308073667001736,,115.3537392080034,115.36279404200468,115.84702970799844,115.85271741700126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,6.0,0.0,3.0,right,0.0,6.0179333749983925,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,115.85271741700126,,,,,,,,,115.84744329200475,117.04697195799965,117.83934183300153,117.830947208,117.83145683300243,117.83934183300153,117.83934183300153,117.83934183300153,122.82999229199775,123.86573870800204,right,0.0,6.0179333749983925,,123.86882812499972,123.8775829580045,124.36421483300364,124.37019279200469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
right,right,7.0,1.0,3.0,right,1.0,7.793785750000097,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,124.37019279200469,,,,,,,,,124.36466091700277,125.16373712500354,125.9558364580007,125.94764512500116,125.9481142920049,125.9558364580007,125.9558364580007,125.9558364580007,130.94700037500297,133.7550935420004,right,1.0,7.793785750000097,,133.75827112499974,133.76713995799946,134.25358270799916,134.26426812499994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
right,right,8.0,0.0,4.0,left,0.0,6.102009042006102,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,134.26426812499994,,,,,,,,,134.25396275000094,135.45382520800194,136.24678670799767,136.23756779199903,136.23810833300377,136.24678670799767,136.24678670799767,136.24678670799767,141.23051208299876,142.35658787500142,left,0.0,6.102009042006102,,142.36017137500312,142.368439124999,142.85319820800214,142.86421229199914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,9.0,1.0,4.0,left,1.0,7.184018541003752,,,,,,4.0,1.0,9.0,0.0,,,,,,,,,142.86421229199914,,,,,,,,,142.8535688330012,143.20356862500194,143.99703670800227,143.98682362500404,143.98730516700016,143.99703670800227,143.99703670800227,143.99703670800227,148.98076720799872,151.1835934999981,left,1.0,7.184018541003752,,151.18690079200314,151.19607179200102,151.68203650000214,151.6879587500007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,10.0,0.0,5.0,left,1.0,6.094444334004948,,,,,,5.0,0.0,10.0,0.0,,,,,,,,,151.6879587500007,,,,,,,,,151.68248737500107,152.88097595800355,153.67360379199818,153.66504841700225,153.6655591250019,153.67360379199818,153.67360379199818,153.67360379199818,158.66437037500145,159.7730485830034,left,1.0,6.094444334004948,,159.7731961669997,159.79792075000296,160.28160758299782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
right,right,11.0,1.0,5.0,right,1.0,6.353555375004362,,,,,,5.0,1.0,11.0,1.0,,,,,,,,,160.28686320799898,,,,,,,,,160.28199362500163,160.37114716700307,161.1738063330049,161.16563204200065,161.16616062499816,161.1738063330049,161.1738063330049,161.1738063330049,166.16452683300304,167.53390591700008,right,1.0,6.353555375004362,,167.53402325000206,167.54252620800253,168.0322694580027,168.03800562499964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
right,right,12.0,0.0,6.0,right,1.0,6.842575750000833,,,,,,6.0,0.0,12.0,1.0,,,,,,,,,168.03800562499964,,,,,,,,,168.03266024999903,168.3817200420017,169.17358695800067,169.16546762500366,169.16593000000285,169.17358695800067,169.17358695800067,169.17358695800067,174.15415833300358,176.02352091699868,right,1.0,6.842575750000833,,176.02363566699933,176.0319309999977,176.5158035830027,176.52158958300424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,13.0,1.0,6.0,right,0.0,5.516339041998435,,,,,,6.0,1.0,13.0,0.0,,,,,,,,,176.52158958300424,,,,,,,,,176.51618858300208,176.8715979999979,177.67469008300395,177.66579579200334,177.6662601670032,177.67469008300395,177.67469008300395,177.67469008300395,182.6541674580003,183.20005108300396,right,0.0,5.516339041998435,,183.20344758300047,183.21198600000207,183.6991767080035,183.70485579199885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,14.0,0.0,7.0,right,0.0,5.858841291999852,,,,,,7.0,0.0,14.0,0.0,,,,,,,,,183.70485579199885,,,,,,,,,183.6995872080006,183.7987321670007,184.59092812499875,184.5826478750023,184.58319525000115,184.59092812499875,184.59092812499875,184.59092812499875,189.58176508299948,190.45642366700488,right,0.0,5.858841291999852,,190.4565537500021,190.46504404200093,190.94951075000424,190.9552394170023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
right,right,15.0,1.0,7.0,left,0.0,7.004502916002821,,,,,,7.0,1.0,15.0,1.0,,,,,,,,,190.9552394170023,,,,,,,,,190.94993787500425,192.1551768330028,192.9578091670046,192.94972450000205,192.9502491250023,192.9578091670046,192.9578091670046,192.9578091670046,197.94876054199997,199.96722691700413,left,0.0,7.004502916002821,,199.96738675000236,199.97626233300247,200.46651220800413,200.47254758299823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
right,right,16.0,0.0,8.0,right,1.0,6.064980208000634,,,,,,8.0,0.0,16.0,1.0,,,,,,,,,200.47254758299823,,,,,,,,,200.46695320800063,200.56583187499928,201.35764587500307,201.34971212500383,201.35018649999984,201.35764587500307,201.35764587500307,201.35764587500307,206.34894741699827,207.43452962500305,right,1.0,6.064980208000634,,207.4379517920024,207.44653070800268,207.93331166700227,207.9389072920021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,17.0,1.0,8.0,right,0.0,6.258276749998913,,,,,,8.0,1.0,17.0,0.0,,,,,,,,,207.9389072920021,,,,,,,,,207.93372895799985,208.28263170800344,209.0748682920021,209.0665242500036,209.0670294579977,209.0748682920021,209.0748682920021,209.0748682920021,214.0548852080028,215.34195075000025,right,0.0,6.258276749998913,,215.3450635420013,215.35331879200385,215.83872237500327,215.8493180420046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
right,right,18.0,0.0,9.0,left,0.0,6.55707975000405,,,,,,9.0,0.0,18.0,1.0,,,,,,,,,215.8493180420046,,,,,,,,,215.8391145830028,215.93979691700224,216.7324737500021,216.72304716700452,216.72359691699967,216.7324737500021,216.7324737500021,216.7324737500021,221.71598608299973,223.2920362500008,left,0.0,6.55707975000405,,223.29215666700475,223.31598975000088,223.7998214170002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,19.0,1.0,9.0,right,0.0,6.677228416003345,,,,,,9.0,1.0,19.0,0.0,,,,,,,,,223.80510479200169,,,,,,,,,223.8002018750049,224.58970237500037,225.39216887499788,225.38390391699795,225.38438620800295,225.39216887499788,225.39216887499788,225.39216887499788,230.38292725000065,232.0745427080037,right,0.0,6.677228416003345,,232.0746625829997,232.0828159169978,232.5670644999991,232.57489733300463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.56723929200237,232.57489733300463,232.57489733300463,251.77564254200115,space,19.192685958005317,,,,,,,,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.7757250420036,251.78706270800467,251.78706270800467,282.22052079199784,space,30.41992016699805,,,,,,,,,,,,,,,,,sub-168,1,random_dot,,
left,left,0.0,0.0,0.0,left,1.0,6.143804334002198,,accuracy,space,6.1843795829991,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.45482712500234,,,,,,,,,288.4459004579985,288.78475495800376,289.5773812500047,289.5687832920012,289.5693281249987,289.5773812500047,289.5773812500047,289.5773812500047,294.5679762500004,295.7270811249982,,,,,,,,,,,,,,,,,,,,,,,282.2334910830032,282.2413280000037,282.2413280000037,288.43704341699777,space,6.1843795829991,,left,1.0,6.143804334002198,,,,,,sub-168,1,random_dot,,
right,right,1.0,1.0,0.0,right,1.0,5.592592875000264,,accuracy,space,6.1843795829991,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,295.75139187500463,,,,,,,,,295.7275022079993,296.9248742080017,297.71770591699897,297.70812750000186,297.70863287500106,297.71770591699897,297.71770591699897,297.71770591699897,302.7014308750004,303.3200903329998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,5.592592875000264,,,,,,sub-168,1,random_dot,,
right,right,2.0,0.0,1.0,right,1.0,8.13970045899623,,accuracy,space,6.1843795829991,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,303.3287735000049,,,,,,,,,303.3205682500047,303.6684861670001,304.4601380000022,304.4522893329995,304.45279029200174,304.4601380000022,304.4601380000022,304.4601380000022,309.440704749999,312.6041790419986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,8.13970045899623,,,,,,sub-168,1,random_dot,,
