direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,stimulusDots.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0171484998427331,0.0350161998067051,0.0350161998067051,22.599970999872312,space,44.06040500011295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-061,1.0,random_dot,59.89081902827439,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,22.6772833999712,,,,,,,,,22.66112199984491,22.95337349991314,23.75273589999415,23.7372347000055,23.737290099961683,23.75273589999415,23.75273589999415,23.75273589999415,28.553866899805143,left,1.0,26.28395160008222,,28.55616819998249,28.57403129991144,29.06964679993689,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-061,1.0,random_dot,59.89081902827439,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,29.08630259986967,,,,,,,,,29.070355899864808,29.417934599798173,30.219402799848467,30.20412569982,30.20416259998456,30.219402799848467,30.219402799848467,30.219402799848467,35.80271349987015,right,1.0,27.066924000158902,,35.80328569980338,35.817241199780256,36.30170159996487,35.21735959989019,36.31858829990961,,,,,,,,,,,,,,,,,,,,,,,,,,sub-061,1.0,random_dot,59.89081902827439,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,36.31858829990961,,,,,,,,,36.30214089993388,37.10230529983528,37.9181099999696,37.90173099981621,37.901751399971545,37.9181099999696,37.9181099999696,37.9181099999696,40.8704846999608,right,1.0,24.437760500237346,,40.87104899995029,40.886007599998266,41.38537589996122,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-061,1.0,random_dot,59.89081902827439,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,41.40176159981638,,,,,,,,,41.38596519990824,41.73619359987788,42.53595649986528,42.52065739990212,42.52069109980948,42.53595649986528,42.53595649986528,42.53595649986528,43.75415059993975,right,0.0,22.713111200137064,,43.754778099944815,43.77101879986003,44.26964999991469,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-061,1.0,random_dot,59.89081902827439,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,44.28645399981178,,,,,,,,,44.270329599967226,44.36917869979516,45.1850047998596,45.16911739995703,45.16914739995264,45.1850047998596,45.1850047998596,45.1850047998596,48.20184140000492,left,1.0,24.50807910016738,,48.20230040000752,48.21704839984886,48.70096629997715,,48.71676929993555,,,,,,,,,,,,,,,,,,,,,,,,,,sub-061,1.0,random_dot,59.89081902827439,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,48.71676929993555,,,,,,,,,48.7013355998788,48.81940789986402,49.63422989984974,49.61760599981062,49.61763509991579,49.63422989984974,49.63422989984974,49.63422989984974,52.63772140000947,right,1.0,24.492502000182867,,52.63847929984331,52.651622499804944,53.13768899999559,,53.15231789997779,,,,,,,,,,,,,,,,,,,,,,,,,,sub-061,1.0,random_dot,59.89081902827439,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,53.15231789997779,,,,,,,,,53.13834279985167,54.35221159993671,55.16730129998177,55.15059609990567,55.15061859996058,55.16730129998177,55.16730129998177,55.16730129998177,57.66752789984457,left,1.0,23.983910700073466,,57.66794670000672,57.683649899903685,58.16750719980337,,58.18333619995974,,,,,,,,,,,,,,,,,,,,,,,,,,sub-061,1.0,random_dot,59.89081902827439,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,58.18333619995974,,,,,,,,,58.16787809995003,58.533282599877566,59.335595899960026,59.3205431997776,59.32059259992093,59.335595899960026,59.335595899960026,59.335595899960026,62.26787330000661,right,1.0,24.423948800191283,,62.26836899993941,62.28316649980843,62.767273099860176,,62.78320319997147,,,,,,,,,,,,,,,,,,,,,,,,,,sub-061,1.0,random_dot,59.89081902827439,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,62.78320319997147,,,,,,,,,62.76782009983435,62.883161899866536,63.68396309996024,63.66932099987753,63.66935479990207,63.68396309996024,63.68396309996024,63.68396309996024,66.302379099885,left,0.0,24.11016150028445,,66.30288679990917,66.31647769990377,66.80337559990585,,66.81897299992852,,,,,,,,,,,,,,,,,,,,,,,,,,sub-061,1.0,random_dot,59.89081902827439,
