direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
right,right,speed,,,,,0,1,1,1,11,0,22,1,557.3000647,,,,,,,,,557.286977,558.5002354,559.3008759,559.2842812,559.2843059,559.3008759,559.3008759,559.3008759,,561.3354644,left,0,24.0514119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,11,1,23,0,561.349909,,,,,,,,,561.3368524,562.1499554,562.9504768,562.9341334,562.9341574,562.9504768,562.9504768,562.9504768,,564.9359574,right,0,24.0052552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,12,0,24,1,564.9496996,,,,,,,,,564.9366768,565.299494,566.1002075,566.0837626,566.0837835,566.1002075,566.1002075,566.1002075,,568.7345685,right,1,24.639939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,12,1,25,0,568.7493595,,,,,,,,,568.7353148,569.549535,570.3502714,570.33438,570.3344728,570.3502714,570.3502714,570.3502714,,573.2010708,right,0,24.8602585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,13,0,26,0,573.2160294,,,,,,,,,573.2022905,573.3158085,574.1165601,574.0999475,574.099972,574.1165601,574.1165601,574.1165601,,576.6840709,left,1,24.5826201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,13,1,27,1,576.698844,,,,,,,,,576.6847492,577.8988605,578.6997206,578.6836293,578.6836504,578.6997206,578.6997206,578.6997206,,582.1840581,left,0,25.4928558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,14,0,28,0,582.1990158,,,,,,,,,582.1847694,582.9986795,583.7996181,583.7829949,583.7830364,583.7996181,583.7996181,583.7996181,,586.7337282,right,0,24.9403925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,14,1,29,1,586.7485993,,,,,,,,,586.7345091,587.5485634,588.3492061,588.3326593,588.3326843,588.3492061,588.3492061,588.3492061,,592.1005113,right,1,25.7674854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,15,0,30,0,592.115016,,,,,,,,,592.1016007,593.3150193,594.1158355,594.0991781,594.0992102,594.1158355,594.1158355,594.1158355,,597.6824186,right,0,25.5819612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,15,1,31,1,597.6976449,,,,,,,,,597.6834997,598.4981676,599.2990505,599.2818673,599.281912,599.2990505,599.2990505,599.2990505,,602.3167284,left,0,25.0252099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,16,0,32,0,602.3311623,,,,,,,,,602.3176649,602.6811629,603.4818631,603.4656105,603.4656419,603.4818631,603.4818631,603.4818631,,606.4496628,right,0,24.9775079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,16,1,33,1,606.464238,,,,,,,,,606.4509136,606.5644497,607.3649012,607.3488096,607.348834,607.3649012,607.3649012,607.3649012,,611.0498543,left,0,25.6979277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,17,0,34,0,611.0637132,,,,,,,,,611.0509624,611.4141521,612.2147954,612.1980742,612.1980988,612.2147954,612.2147954,612.2147954,,615.0995281,left,1,24.889981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,17,1,35,1,615.1135919,,,,,,,,,615.1006559,616.3138814,617.1138574,617.097688,617.0977134,617.1138574,617.1138574,617.1138574,,618.9822458,right,1,23.8831043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,18,0,36,1,618.9968168,,,,,,,,,618.9832812,619.3470096,620.1473535,620.130899,620.1309193,620.1473535,620.1473535,620.1473535,,622.5158753,left,0,24.378384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,18,1,37,0,622.5302189,,,,,,,,,622.5170603,622.8803889,623.6807555,623.6643446,623.6643727,623.6807555,623.6807555,623.6807555,,626.014942,left,1,24.348653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,19,0,38,0,626.0299733,,,,,,,,,626.0158624,627.2298774,628.0305011,628.0142624,628.0142862,628.0305011,628.0305011,628.0305011,,630.2150156,left,1,24.1949794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,19,1,39,1,630.2297581,,,,,,,,,630.2163172,630.3295178,631.130145,631.114268,631.1142927,631.130145,631.130145,631.130145,,634.3821652,right,1,25.263973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,20,0,40,0,634.3962912,,,,,,,,,634.3837997,634.746032,635.5471849,635.5309335,635.5309579,635.5471849,635.5471849,635.5471849,,638.581903,right,0,25.0535061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,20,1,41,1,638.5961203,,,,,,,,,638.5831842,638.9456913,639.7463397,639.7302637,639.7303086,639.7463397,639.7463397,639.7463397,,642.6646854,right,1,24.9286254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,21,0,42,0,642.6791027,,,,,,,,,642.6655936,643.8790453,644.6797896,644.6635939,644.663612,644.6797896,644.6797896,644.6797896,,648.0643681,left,1,25.3887629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,21,1,43,1,648.0788304,,,,,,,,,648.065066,648.8788113,649.6791365,649.6627348,649.662772,649.6791365,649.6791365,649.6791365,,652.7471222,right,1,25.0807505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,22,0,44,0,652.7617752,,,,,,,,,652.7479127,652.8619429,653.6624359,653.6462527,653.6462778,653.6624359,653.6624359,653.6624359,,656.3802943,right,0,24.7307911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,22,1,45,1,656.3950497,,,,,,,,,656.3812218,657.5949129,658.3956217,658.3795175,658.3795682,658.3956217,658.3956217,658.3956217,,660.9798952,left,0,24.5940618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,23,0,46,0,660.9946757,,,,,,,,,660.9806788,661.7944109,662.5953349,662.5788347,662.5788592,662.5953349,662.5953349,662.5953349,,665.0970839,right,0,24.5111179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,23,1,47,1,665.1113493,,,,,,,,,665.0983608,666.3111191,667.111818,667.0953438,667.0953665,667.111818,667.111818,667.111818,,669.4963066,right,1,24.3994394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,24,0,48,0,669.5109942,,,,,,,,,669.4971648,669.8608979,670.6618663,670.644952,670.6449765,670.6618663,670.6618663,670.6618663,,672.2125728,left,1,23.5662824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,24,1,49,1,672.2274566,,,,,,,,,672.2133385,673.0274044,673.8277624,673.8116195,673.8116454,673.8277624,673.8277624,673.8277624,,675.6631237,left,0,23.8438897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,25,0,50,1,675.6775527,,,,,,,,,675.6644104,676.47751,677.2781484,677.261796,677.261827,677.2781484,677.2781484,677.2781484,,679.5459756,left,0,24.2820213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,25,1,51,0,679.560675,,,,,,,,,679.5470401,679.6603124,680.4613404,680.4446667,680.4446902,680.4613404,680.4613404,680.4613404,,682.4302449,left,1,23.9872689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,26,0,52,1,682.4435722,,,,,,,,,682.430919,683.6438734,684.4443911,684.42838,684.4284017,684.4443911,684.4443911,684.4443911,,687.6629341,left,0,25.2311394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,26,1,53,0,687.6772644,,,,,,,,,687.6646822,687.7770659,688.5776333,688.5613611,688.5613808,688.5776333,688.5776333,688.5776333,,691.4283485,right,0,24.8621025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,27,0,54,0,691.4433391,,,,,,,,,691.4292621,692.6430979,693.443898,693.4277479,693.4277687,693.443898,693.443898,693.443898,,695.06146,left,1,23.6340399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,27,1,55,1,695.0766664,,,,,,,,,695.0623105,696.2764761,697.0771615,697.060304,697.0603243,697.0771615,697.0771615,697.0771615,,699.4310391,left,0,24.3694137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,28,0,56,0,699.4429256,,,,,,,,,699.4320164,700.2426893,701.0436752,701.0265429,701.0265671,701.0436752,701.0436752,701.0436752,,703.878059,right,0,24.8510891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,28,1,57,1,703.8931819,,,,,,,,,703.8787282,704.6928141,705.493353,705.4772831,705.4773034,705.493353,705.493353,705.493353,,708.6784472,right,1,25.2020193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,speed,,,,,0,1,1,1,29,0,58,0,708.6925649,,,,,,,,,708.6794427,708.7924846,709.5932559,709.5763541,709.5763754,709.5932559,709.5932559,709.5932559,,712.9106995,left,1,25.3219115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,speed,,,,,0,1,1,1,29,1,59,1,712.9253769,,,,,,,,,712.9119771,713.7253452,714.5260548,714.5096651,714.509692,714.5260548,714.5260548,714.5260548,,717.2437948,right,1,24.7310665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
,,speed,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.2446582,717.2591398,722.2582592,722.242941,,,,,,,
