direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0049331999616697,0.0111635999055579,0.0111635999055579,32.80710979993455,space,72.65449520014226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-238,2.0,random_dot,60.17564068042374,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,32.892573199933395,,,,,,,,,32.88718879991211,32.90198579989374,33.71794519992545,33.688565099961124,33.68863059999421,33.71794519992545,33.71794519992545,33.71794519992545,38.15659109991975,left,1.0,44.30196910002269,,38.15899569995236,38.18494869989809,38.67006399994716,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-238,2.0,random_dot,60.17564068042374,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,38.68647469999269,,,,,,,,,38.67115779989399,39.019694199902005,39.82049259997439,39.8043373998953,39.80440019990783,39.82049259997439,39.82049259997439,39.82049259997439,41.23977979994379,right,1.0,41.29157850006595,,41.24137469998095,41.25275099999271,41.73748549993616,41.75259489996824,,,,,,,,,,,,,,,,,,,,,,,,,,sub-238,2.0,random_dot,60.17564068042374,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,41.75259489996824,,,,,,,,,41.73860129993409,42.55262119998224,43.35328659997322,43.33728859992698,43.337373699992895,43.35328659997322,43.35328659997322,43.35328659997322,44.67267919995356,left,1.0,41.18686980009079,,44.67423789994791,44.6856523999013,45.1705520999385,45.18560009996872,,,,,,,,,,,,,,,,,,,,,,,,,,sub-238,2.0,random_dot,60.17564068042374,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,45.18560009996872,,,,,,,,,45.171734699979424,45.28548359998968,46.08634699997492,46.07045909995213,46.070520799956284,46.08634699997492,46.08634699997492,46.08634699997492,47.40547629992943,left,0.0,41.180161900119856,,47.40713429998141,47.43112329998985,47.91891999996733,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-238,2.0,random_dot,60.17564068042374,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,47.93512609996833,,,,,,,,,47.92001859995071,49.11832239991054,49.919218899915,49.903137099929154,49.90319939993788,49.919218899915,49.919218899915,49.919218899915,51.305218399968,right,0.0,41.24503430002369,,51.30691069993191,51.31810279993806,51.80299869994633,51.818129399907775,,,,,,,,,,,,,,,,,,,,,,,,,,sub-238,2.0,random_dot,60.17564068042374,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,51.818129399907775,,,,,,,,,51.804138099891134,53.01795509993099,53.818609299953096,53.80272809998132,53.80279059999157,53.818609299953096,53.818609299953096,53.818609299953096,56.80426789994817,left,0.0,42.84396000008565,,56.80599579995032,56.8173810999142,57.30221159989014,57.31736679992173,,,,,,,,,,,,,,,,,,,,,,,,,,sub-238,2.0,random_dot,60.17564068042374,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,57.31736679992173,,,,,,,,,57.303390999906696,58.11720310000237,58.918090499937534,58.902094499906525,58.90215819992591,58.918090499937534,58.918090499937534,58.918090499937534,62.03719750000164,right,0.0,42.988366300123744,,62.03879969997797,62.050131600000896,62.53495689993724,62.55005219997838,,,,,,,,,,,,,,,,,,,,,,,,,,sub-238,2.0,random_dot,60.17564068042374,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,62.55005219997838,,,,,,,,,62.53610179992393,63.349862699978985,64.15067899995483,64.1345443999162,64.13460719992872,64.15067899995483,64.15067899995483,64.15067899995483,66.4362448999891,left,0.0,42.14686910004821,,66.43781609996222,66.44942729989998,66.93443969998043,66.94933209998999,,,,,,,,,,,,,,,,,,,,,,,,,,sub-238,2.0,random_dot,60.17564068042374,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,66.94933209998999,,,,,,,,,66.93568789993878,68.14934139989782,68.94994009996299,68.93410319997929,68.93416609999258,68.94994009996299,68.94994009996299,68.94994009996299,71.5690361999441,right,1.0,42.485651200055145,,71.57070359995123,71.58868289995007,72.08245309989434,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-238,2.0,random_dot,60.17564068042374,
