direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0384054999994987,0.04588639999929,0.04588639999929,31.07914669999991,space,46.025933100001566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,31.13444969999909,,,,,,,,,31.130474099998537,31.893108700000084,32.69338339999922,32.67923459999838,32.67928260000008,32.69338339999922,32.69338339999922,32.69338339999922,37.69494559999839,38.58186589999968,right,0.0,20.87858310000047,,38.583175499999925,38.60031509999863,39.09491479999997,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,39.11119079999844,,,,,,,,,39.096036099999765,39.44446529999914,40.24474999999984,40.23015759999908,40.23020769999857,40.24474999999984,40.24474999999984,40.24474999999984,45.22950270000001,45.84957849999955,left,0.0,20.599123100000725,,45.85075979999965,45.86204309999994,46.34715169999981,46.36249249999855,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,46.36249249999855,,,,,,,,,46.34805759999836,47.16253989999859,47.96277399999963,47.94798979999905,47.94803329999922,47.96277399999963,47.96277399999963,47.96277399999963,52.94686509999883,53.78452239999933,right,0.0,20.82525860000169,,53.78538979999939,53.79703319999862,54.28296599999885,54.29721889999928,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,54.29721889999928,,,,,,,,,54.2841202999989,55.49762199999896,56.29784739999923,56.28373089999877,56.28378909999992,56.29784739999923,56.29784739999923,56.29784739999923,61.2988521999996,61.818503299999065,right,1.0,20.512866100001705,,61.8194182999996,61.8343350999985,62.33213769999929,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,62.34861099999944,,,,,,,,,62.33295989999897,62.68211749999864,63.48332279999886,63.466907599999104,63.46693799999957,63.48332279999886,63.48332279999886,63.48332279999886,,67.5187922999994,left,1.0,19.036968300002627,,67.51962659999845,67.53275629999916,68.01851139999962,68.03319769999871,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,68.03319769999871,,,,,,,,,68.01951909999843,68.13336869999875,68.9333631999998,68.91830699999991,68.91835339999852,68.9333631999998,68.9333631999998,68.9333631999998,,72.2372607999987,right,1.0,18.297274700002163,,72.23806220000006,72.25043449999976,72.73586069999874,72.75059349999901,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,72.75059349999901,,,,,,,,,72.73680599999898,73.55060349999985,74.35072979999859,74.33533429999989,74.3353987999999,74.35072979999859,74.35072979999859,74.35072979999859,79.3352720999992,79.68935319999946,right,0.0,20.34188450000147,,79.69042069999887,79.70155619999969,80.18675769999936,80.20135169999958,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,80.20135169999958,,,,,,,,,80.18754970000009,81.00223259999984,81.80216489999839,81.7876397,81.78770469999836,81.80216489999839,81.80216489999839,81.80216489999839,86.78731029999835,87.14107829999921,left,0.0,20.342363400000977,,87.14203109999835,87.15303289999974,87.63896959999875,87.65328109999973,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,87.65328109999973,,,,,,,,,87.63986999999906,88.45306749999872,89.25326899999891,89.23888519999855,89.23893299999872,89.25326899999891,89.25326899999891,89.25326899999891,94.23808879999888,95.24173259999952,right,1.0,20.99148050000076,,95.24255389999962,95.25410889999876,95.7398123999992,95.75492679999844,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,95.75492679999844,,,,,,,,,95.74049739999828,95.85422539999854,96.6550731999996,96.64020329999948,96.6402599999983,96.6550731999996,96.6550731999996,96.6550731999996,101.63972789999934,102.15868509999927,left,1.0,20.50479020000239,,102.15947479999886,102.172369599999,102.65712079999868,102.67237339999885,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
right,right,,5.0,0.0,10.0,1.0,,,,,,,,,102.67237339999885,,,,,,,,,102.6577258999987,103.02269449999947,103.82312949999869,103.80798479999976,103.80802210000002,103.82312949999869,103.82312949999869,103.82312949999869,108.80750369999988,109.11034010000004,right,1.0,20.291091900000534,,109.1112082999989,109.12363379999988,109.6084450999988,109.62334859999828,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
left,left,,5.0,1.0,11.0,0.0,,,,,,,,,109.62334859999828,,,,,,,,,109.60922929999832,110.42378999999892,111.22453209999912,111.20915949999836,111.20921429999908,111.22453209999912,111.22453209999912,111.22453209999912,116.20845860000009,116.89547569999922,right,0.0,20.669388700001942,,116.89644129999942,116.90799619999962,117.39331899999888,117.40862559999914,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
left,left,,6.0,0.0,12.0,0.0,,,,,,,,,117.40862559999914,,,,,,,,,117.39542309999888,117.75847809999868,118.55911519999972,118.54379589999915,118.5438381999993,118.55911519999972,118.55911519999972,118.55911519999972,123.54341749999912,124.07964319999884,left,1.0,20.515426100000692,,124.08066829999916,124.09315019999848,124.57854899999984,124.59329389999948,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
right,right,,6.0,1.0,13.0,1.0,,,,,,,,,124.59329389999948,,,,,,,,,124.57951429999956,124.94268399999964,125.74377579999964,125.7276493999998,125.72767889999886,125.74377579999964,125.74377579999964,125.74377579999964,,129.1135749999994,right,1.0,18.358889700000876,,129.11439329999848,129.12733339999977,129.61243869999998,129.6273244999993,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
left,left,,7.0,0.0,14.0,0.0,,,,,,,,,129.6273244999993,,,,,,,,,129.6134065999995,129.97743969999829,130.77790169999935,130.7629281999998,130.7629782999993,130.77790169999935,130.77790169999935,130.77790169999935,135.7624995999995,136.09825889999956,right,0.0,20.325183600001765,,136.09910409999975,136.1113609999993,136.59732899999835,136.61194629999954,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
right,right,,7.0,1.0,15.0,1.0,,,,,,,,,136.61194629999954,,,,,,,,,136.59825049999927,137.4115656999984,138.2123971000001,138.19709059999877,138.19713769999908,138.2123971000001,138.2123971000001,138.2123971000001,143.19693479999842,143.6154418999995,left,0.0,20.39796920000117,,143.61677139999847,143.62973479999891,144.11546409999937,144.12999669999954,,,,,,,,,,,,,,,,,,,,,,,,,,sub-192,1.0,random_dot,60.27033656768309,
