direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0198303449869854,0.0357664769981056,0.0357664769981056,62.15261013100098,space,62.073391361002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
left,left,0.0,0.0,0.0,right,0.0,12.756303990987362,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,62.23334911199345,,,,,,,,,62.21357923299365,62.95999959199981,63.77569512199261,63.746419258997776,63.747172352988855,63.77569512199261,63.77569512199261,63.77569512199261,68.73960881998937,76.54229197298991,right,0.0,12.756303990987362,,76.54931422499067,76.82798720599385,77.04631471799803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
right,right,1.0,1.0,0.0,left,0.0,4.987409925000975,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,77.05394245599746,,,,,,,,,77.04692534999049,77.38980737399834,78.19483559099899,78.18141425799695,78.18213523799204,78.19483559099899,78.19483559099899,78.19483559099899,83.17956641499768,83.19377548799093,left,0.0,4.987409925000975,,83.19390794399078,83.20447952799441,83.69674105900049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
right,right,2.0,0.0,1.0,right,1.0,4.92222804800258,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,83.70512694498757,,,,,,,,,83.69715513499978,84.91215801399085,85.71250108699314,85.70095008099452,85.70144081200124,85.71250108699314,85.71250108699314,85.71250108699314,,90.6390353129973,right,1.0,4.92222804800258,,90.64807735699289,90.65695100899028,91.13949468400097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
left,left,3.0,1.0,1.0,left,1.0,11.011139833004563,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,91.15008320899506,,,,,,,,,91.14025702999788,92.3364261329989,93.14112937499884,93.12958503399568,93.13006690899785,93.14112937499884,93.14112937499884,93.14112937499884,98.12213017798786,104.15804750198733,left,1.0,11.011139833004563,,104.15820841499954,104.16959361000043,104.66250434798712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
right,right,4.0,0.0,2.0,right,1.0,3.338936925996677,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,104.67169935000128,,,,,,,,,104.663096364995,105.47839128499618,106.29474405400106,106.26758848800092,106.26828736098832,106.29474405400106,106.29474405400106,106.29474405400106,,109.64848191999772,right,1.0,3.338936925996677,,109.64863486599644,109.66007935199012,110.14634710199608,110.15426756598754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
left,left,5.0,1.0,2.0,right,0.0,1.9962874009943332,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,110.15426756598754,,,,,,,,,110.1467617599992,110.9451866499876,111.74731277598768,111.73663256199508,111.73710821299755,111.74731277598768,111.74731277598768,111.74731277598768,,113.75529125100002,right,0.0,1.9962874009943332,,113.7598772009951,113.7773064179928,114.26239637599792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
left,left,6.0,0.0,3.0,left,1.0,2.098127043005661,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,114.27088355500018,,,,,,,,,114.2629977739998,115.46285145598812,116.2659653390001,116.25511696799369,116.255617103001,116.2659653390001,116.2659653390001,116.2659653390001,,118.37684335999074,left,1.0,2.098127043005661,,118.3794657440012,118.3894748879975,118.89486434900029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
right,right,7.0,1.0,3.0,right,1.0,2.8070942100021057,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,118.91240312199808,,,,,,,,,118.89546552998944,120.0786161119904,120.87422754,120.86287835499388,120.86335366500134,120.87422754,120.87422754,120.87422754,,123.69266583699208,right,1.0,2.8070942100021057,,123.6927988749958,123.70174453599611,124.19563356899016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
right,right,8.0,0.0,4.0,left,0.0,3.9261002340062983,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,124.20396690598864,,,,,,,,,124.196225940992,124.9850142869982,125.78372799999488,125.77189488899604,125.77257921198908,125.78372799999488,125.78372799999488,125.78372799999488,,129.73087692300032,left,0.0,3.9261002340062983,,129.7346400339884,129.74657993399887,130.23536169499857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
left,left,9.0,1.0,4.0,left,1.0,1.540018958010478,,,,,,4.0,1.0,9.0,0.0,,,,,,,,,130.24394446499355,,,,,,,,,130.23613678099355,131.03189328899316,131.83264398899337,131.82161380299658,131.8221016479947,131.83264398899337,131.83264398899337,131.83264398899337,,133.38439344699145,left,1.0,1.540018958010478,,133.38779792799323,133.39876766799716,133.8881285339885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
right,right,10.0,0.0,5.0,left,0.0,1.8025552119943316,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,133.8978048860008,,,,,,,,,133.88876326598984,133.99399372299376,134.7933904800011,134.78153428698715,134.7820527589938,134.7933904800011,134.7933904800011,134.7933904800011,,136.60416348499712,left,0.0,1.8025552119943316,,136.60822996399656,136.6182715509931,137.11083383699588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
left,left,11.0,1.0,5.0,left,1.0,4.170804731998942,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,137.12860078299127,,,,,,,,,137.1112698809884,137.9022094809916,138.7077374520013,138.69672857299156,138.6972158439894,138.7077374520013,138.7077374520013,138.7077374520013,,142.88174241699744,left,1.0,4.170804731998942,,142.88596153199614,142.89672864098975,143.38569043399184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
right,right,12.0,0.0,6.0,right,1.0,1.4457148640067317,,,,,,6.0,0.0,12.0,1.0,,,,,,,,,143.41090591099055,,,,,,,,,143.3864039459877,144.5943672049907,145.42964373799623,145.4086117049883,145.40932665599394,145.42964373799623,145.42964373799623,145.42964373799623,,146.88701712498732,right,1.0,1.4457148640067317,,146.88712068699533,146.89766373598832,147.39435681598843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
left,left,13.0,1.0,6.0,left,1.0,2.9480204569990747,,,,,,6.0,1.0,13.0,0.0,,,,,,,,,147.4121295549994,,,,,,,,,147.39500386398868,148.59531775099458,149.39011502898938,149.3791968099977,149.3796832090011,149.39011502898938,149.39011502898938,149.39011502898938,,152.3520807679888,left,1.0,2.9480204569990747,,152.3522286269872,152.36407498898916,152.85506375599653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
left,left,14.0,0.0,7.0,left,1.0,1.443660289995023,,,,,,7.0,0.0,14.0,0.0,,,,,,,,,152.8643815569958,,,,,,,,,152.85612614398997,154.0536943719926,154.85696815999108,154.8461788249988,154.8466561009991,154.85696815999108,154.85696815999108,154.85696815999108,,156.31757913398906,left,1.0,1.443660289995023,,156.31771699199453,156.32758513798765,156.81405031398754,156.82357968798897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
right,right,15.0,1.0,7.0,right,1.0,1.240254581993213,,,,,,7.0,1.0,15.0,1.0,,,,,,,,,156.82357968798897,,,,,,,,,156.8146446759929,157.1720811379928,157.9746697429946,157.96294999199745,157.9636405409983,157.9746697429946,157.9746697429946,157.9746697429946,,159.22906235299888,right,1.0,1.240254581993213,,159.2292416579876,159.24429225899803,159.72900771698914,159.73717424499046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
left,left,16.0,0.0,8.0,left,1.0,3.144560699001886,,,,,,8.0,0.0,16.0,0.0,,,,,,,,,159.73717424499046,,,,,,,,,159.72940705899964,159.82792049099226,160.63017255198793,160.61809886999254,160.6188230830012,160.63017255198793,160.63017255198793,160.63017255198793,,163.7833715119923,left,1.0,3.144560699001886,,163.78347660599684,163.7929043990007,164.27881520798837,164.28656609499012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
right,right,17.0,1.0,8.0,right,1.0,4.321306401005131,,,,,,8.0,1.0,17.0,1.0,,,,,,,,,164.28656609499012,,,,,,,,,164.2792236039968,164.6299627369881,165.4250746799953,165.41351099999156,165.41399029099557,165.4250746799953,165.4250746799953,165.4250746799953,,169.75079435299267,right,1.0,4.321306401005131,,169.75094972999068,169.7636567659938,170.24882352499117,170.26151093299268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
right,right,18.0,0.0,9.0,left,0.0,6.03880505199777,,,,,,9.0,0.0,18.0,1.0,,,,,,,,,170.26151093299268,,,,,,,,,170.24941736199253,170.5932582589885,171.39358284999616,171.38188862398965,171.38259299199854,171.39358284999616,171.39358284999616,171.39358284999616,176.37682587999734,177.4415776669921,left,0.0,6.03880505199777,,177.4450177779945,177.45538517698878,177.94656191198737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
left,left,19.0,1.0,9.0,left,1.0,2.422119109003688,,,,,,9.0,1.0,19.0,0.0,,,,,,,,,177.96125389399822,,,,,,,,,177.94735308398958,178.04438697399746,178.86033538699849,178.84248910399037,178.84319969399075,178.86033538699849,178.86033538699849,178.86033538699849,,181.28517466099584,left,1.0,2.422119109003688,,181.28884818698864,181.29965030799207,181.78733547400043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-014,1,random_dot,89.40127581892128,
