direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0044002999784424,0.0088230000110343,0.0088230000110343,66.73683129996061,space,100.50059840001632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-101,1.0,random_dot,60.98896040716636,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,66.763712999993,,,,,,,,,66.75753729999997,67.10123069997644,67.90472890000092,67.88603860000148,67.88607859995682,67.90472890000092,67.90472890000092,67.90472890000092,72.49061249999795,left,1.0,38.34987599996384,,72.49297580000712,72.51377399999183,73.00532679999014,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-101,1.0,random_dot,60.98896040716636,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,73.02162610000232,,,,,,,,,73.00613449997036,73.8055056000012,74.60738309996668,74.59102110000094,74.59106869995594,74.60738309996668,74.60738309996668,74.60738309996668,79.26144039997598,right,1.0,38.41727340000216,,79.26194940001005,79.27586009999504,79.76070489996346,79.7763082999736,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-101,1.0,random_dot,60.98896040716636,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,79.7763082999736,,,,,,,,,79.76124239998171,80.97691029997077,81.77860949997557,81.76176739996299,81.76179530000081,81.77860949997557,81.77860949997557,81.77860949997557,91.62065309996252,left,1.0,43.60594460001448,,91.62158759997692,91.6345588999684,92.1195079999743,92.1350817999919,86.76524290000089,,,,,,,,,,,,,,,,,,,,,,,,,,sub-101,1.0,random_dot,60.98896040716636,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,92.1350817999919,,,,,,,,,92.12013120000483,92.93524949997663,93.73663399997169,93.72033529996406,93.7203703999985,93.73663399997169,93.73663399997169,93.73663399997169,99.50907679996452,left,0.0,39.548208500025794,,99.51024929998675,99.52764039998874,100.02375279995611,,98.72349459998075,,,,,,,,,,,,,,,,,,,,,,,,,,sub-101,1.0,random_dot,60.98896040716636,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,100.04031389998272,,,,,,,,,100.02427409996744,100.82415749999927,101.62553789996308,101.6092877999763,101.60933389997808,101.62553789996308,101.62553789996308,101.62553789996308,103.89917649998095,right,0.0,36.04901969997445,,103.90033049997874,103.90955739998026,104.39439579995816,104.41038199997274,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-101,1.0,random_dot,60.98896040716636,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,104.41038199997274,,,,,,,,,104.39586190000408,104.76004570000804,105.56117589998756,105.54527890001192,105.54536679998272,105.56117589998756,105.56117589998756,105.56117589998756,107.0639547999599,left,0.0,35.273442600038834,,107.06499990000157,107.07827759999782,107.56305269995936,107.57878949999576,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-101,1.0,random_dot,60.98896040716636,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,107.57878949999576,,,,,,,,,107.56373769999482,108.3792594000115,109.1801298999926,109.163627300004,109.16365299996689,109.1801298999926,109.1801298999926,109.1801298999926,112.334585900011,right,1.0,36.92466850002529,,112.3354463999858,112.34849899995606,112.83309179998469,112.84882740001194,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-101,1.0,random_dot,60.98896040716636,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,112.84882740001194,,,,,,,,,112.8338096999796,112.94898609997472,113.75101879995782,113.73400999995648,113.73404439998558,113.75101879995782,113.75101879995782,113.75101879995782,118.38853900000686,right,0.0,38.41423689998919,,118.389377399988,118.40251859999262,118.88727569999172,118.90326230000936,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-101,1.0,random_dot,60.98896040716636,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,118.90326230000936,,,,,,,,,118.88770079996902,119.00316219998058,119.80441869999048,119.7885130000068,119.78854829998454,119.80441869999048,119.80441869999048,119.80441869999048,121.10785510001006,left,0.0,35.070204799994826,,121.10921789996792,121.1213904999895,121.60595080000348,121.62162009999156,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-101,1.0,random_dot,60.98896040716636,
