direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.014652699988801,0.0205058999708853,0.0205058999708853,22.36771720001707,space,37.06480510003166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-170,1.0,random_dot,59.94797713315364,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,22.395968900003936,,,,,,,,,22.392891699972097,22.48297299997648,23.283626599994022,23.267355200019665,23.26738989999285,23.283626599994022,23.283626599994022,23.283626599994022,27.534559399995487,left,0.0,18.969133400009014,,27.536110699991696,27.54995489999419,28.049719900009222,28.03381469997112,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-170,1.0,random_dot,59.94797713315364,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,28.049719900009222,,,,,,,,,28.034133500012103,28.400181000004523,29.200358900008723,29.18402149999747,29.18403910001507,29.200358900008723,29.200358900008723,29.200358900008723,30.167812799976677,right,0.0,15.691711199993732,,30.16824099997757,30.183301999990363,30.6830273999949,30.66704510001,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-170,1.0,random_dot,59.94797713315364,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,30.6830273999949,,,,,,,,,30.667358800012156,30.78302680002525,31.58393480000086,31.56698880001204,31.567001999996137,31.58393480000086,31.58393480000086,31.58393480000086,32.66795939998701,right,1.0,15.808850799978243,,32.66832549998071,32.68320239998866,33.18339830002515,33.16680639999686,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-170,1.0,random_dot,59.94797713315364,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,33.18339830002515,,,,,,,,,33.167232499981765,34.383302800008096,35.18367599998601,35.16693750000559,35.16695330000948,35.18367599998601,35.18367599998601,35.18367599998601,36.00110210001003,left,1.0,15.533842500008175,,36.001674099999946,36.016448299982585,36.51634319999721,36.50051300000632,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-170,1.0,random_dot,59.94797713315364,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,36.51634319999721,,,,,,,,,36.50081310002133,36.8665381000028,37.66706690000137,37.65038850001292,37.65040990000125,37.66706690000137,37.66706690000137,37.66706690000137,38.28473810001742,right,0.0,15.347994399955496,,38.28507129999343,38.29974119999679,38.80016179999802,38.78394140000455,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-170,1.0,random_dot,59.94797713315364,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,38.80016179999802,,,,,,,,,38.78431269997964,40.00005939998664,40.80040670000017,40.783664599992335,40.78368749999208,40.80040670000017,40.80040670000017,40.80040670000017,43.28476220002631,left,0.0,17.199713700043503,,43.285123399982695,43.30002829997102,43.79986079997616,43.7838175999932,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-170,1.0,random_dot,59.94797713315364,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,43.79986079997616,,,,,,,,,43.7843418000266,44.599853300023824,45.40048070001649,45.384004799998365,45.384038000018336,45.40048070001649,45.40048070001649,45.40048070001649,59.98428610002156,right,0.0,29.29928869998548,,59.98471900000004,59.99958170001628,60.4997453999822,60.48381270002574,50.38344639999559,,,,,,,,,,,,,,,,,,,,,,,,,,sub-170,1.0,random_dot,59.94797713315364,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,60.4997453999822,,,,,,,,,60.48430070001632,61.29984210000839,62.10016219998943,62.084013500018045,62.08403059997363,62.10016219998943,62.10016219998943,62.10016219998943,64.23435029998654,right,1.0,16.857612199964933,,64.23484450002434,64.24990340002114,64.75003779999679,64.73420240002451,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-170,1.0,random_dot,59.94797713315364,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,64.75003779999679,,,,,,,,,64.73487179999938,65.54937909997534,66.35068660002435,66.33375729998806,66.33377249998739,66.35068660002435,66.35068660002435,66.35068660002435,67.21809530002065,left,0.0,15.597239000024274,,67.21869419998256,67.23358300002292,67.73315779998666,67.71704090002459,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-170,1.0,random_dot,59.94797713315364,
