direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0028431999999156,0.0153264999971725,0.0153264999971725,18.88078359999781,space,18.852109699997527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-084,1.0,random_dot,59.91669183076626,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,18.896178399998465,,,,,,,,,18.891252099998383,18.995881399998325,19.795573199997307,19.779772599998974,19.77979469999991,19.795573199997307,19.795573199997307,19.795573199997307,24.79436849999911,26.012817999999243,left,1.0,6.201261099999101,,26.01373639999656,26.028204999998707,26.528081999997084,26.512113299999328,,,,,,,,,,,,,,,,,,,,,,,,,sub-084,1.0,random_dot,59.91669183076626,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,26.528081999997084,,,,,,,,,26.51251559999946,27.328019900000072,28.127401499998086,28.11098979999952,28.111008299998502,28.127401499998086,28.127401499998086,28.127401499998086,,30.911910899998475,left,0.0,2.779309400000784,,30.912444899997357,30.926777899996523,31.42718959999911,31.411315499997727,,,,,,,,,,,,,,,,,,,,,,,,,sub-084,1.0,random_dot,59.91669183076626,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,31.42718959999911,,,,,,,,,31.41172169999845,31.777290999998517,32.577450699998735,32.561363699998765,32.56138879999708,32.577450699998735,32.577450699998735,32.577450699998735,37.57657990000007,38.37813919999826,left,1.0,5.785411900000327,,38.37875480000002,38.39321159999963,38.89211919999798,38.87629469999956,,,,,,,,,,,,,,,,,,,,,,,,,sub-084,1.0,random_dot,59.91669183076626,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,38.89211919999798,,,,,,,,,38.876566699997056,40.0918047999985,40.89299099999698,40.87684119999904,40.87686909999684,40.89299099999698,40.89299099999698,40.89299099999698,,43.89347029999772,right,1.0,2.991663699998753,,43.8940866999983,43.908821799999714,44.40809719999743,44.391686399998434,,,,,,,,,,,,,,,,,,,,,,,,,sub-084,1.0,random_dot,59.91669183076626,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,44.40809719999743,,,,,,,,,44.39196119999906,45.6085693999994,46.40751439999804,46.3914085999968,46.39142459999857,46.40751439999804,46.40751439999804,46.40751439999804,,48.49411799999871,right,0.0,2.081160000001546,,48.49489349999931,48.50903899999685,49.00815359999979,48.99230179999722,,,,,,,,,,,,,,,,,,,,,,,,,sub-084,1.0,random_dot,59.91669183076626,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,49.00815359999979,,,,,,,,,48.99276729999838,49.80772199999774,50.60777419999795,50.59176419999858,50.591789099999005,50.60777419999795,50.60777419999795,50.60777419999795,,53.35840359999929,right,1.0,2.734483000000182,,53.3590194999997,53.37399439999717,53.8740461999987,53.8578869999983,,,,,,,,,,,,,,,,,,,,,,,,,sub-084,1.0,random_dot,59.91669183076626,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,53.8740461999987,,,,,,,,,53.858334499997,55.07356879999861,55.87354939999932,55.85738329999731,55.8574050999996,55.87354939999932,55.87354939999932,55.87354939999932,,57.42489329999808,left,0.0,1.5499524000006204,,57.42542779999712,57.43992679999792,57.93985839999732,57.92385849999846,,,,,,,,,,,,,,,,,,,,,,,,,sub-084,1.0,random_dot,59.91669183076626,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,57.93985839999732,,,,,,,,,57.92425109999749,59.13913319999847,59.93954589999703,59.923396299996966,59.92341699999815,59.93954589999703,59.93954589999703,59.93954589999703,,64.8389552999979,left,1.0,4.893447800001013,,64.83931819999998,64.8546529999985,65.35468369999944,65.33944299999712,,,,,,,,,,,,,,,,,,,,,,,,,sub-084,1.0,random_dot,59.91669183076626,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,65.35468369999944,,,,,,,,,65.33971739999834,65.43891669999721,66.23853999999847,66.2223473999984,66.22237029999815,66.23853999999847,66.23853999999847,66.23853999999847,,67.84021589999975,right,1.0,1.5909628000008524,,67.84079269999711,67.85401969999657,68.35478659999717,68.33878609999738,,,,,,,,,,,,,,,,,,,,,,,,,sub-084,1.0,random_dot,59.91669183076626,
