direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097453039998072,0.0256966800006921,0.0256966800006921,12.816376019996824,space,12.752147092003725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,0.0,0.0,0.0,left,1.0,1.6395450890049688,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,12.837448505000792,,,,,,,,,12.827213341995956,12.922038389995578,13.723824207998405,13.708381005002591,13.708742410002742,13.723824207998405,13.723824207998405,13.723824207998405,15.380742939996708,left,1.0,1.6395450890049688,,15.386591214999498,15.407405412996011,15.897046874997612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,1.0,1.0,0.0,left,0.0,1.3842553119975491,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,15.913658031000525,,,,,,,,,15.89737894800055,16.68209435499739,17.48411166200094,17.46853598999587,17.468867331001093,17.48411166200094,17.48411166200094,17.48411166200094,18.873185160999128,left,0.0,1.3842553119975491,,18.878501125000184,18.89052177000121,19.389298777001382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,2.0,0.0,1.0,right,0.0,1.0130143710048287,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,19.406286817000364,,,,,,,,,19.38963139599946,20.57669000200258,21.377858610998373,21.362029236996023,21.36237739699573,21.377858610998373,21.377858610998373,21.377858610998373,22.3990439650006,right,0.0,1.0130143710048287,,22.399129190998792,22.414055294997524,22.89966855500097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,3.0,1.0,1.0,left,0.0,2.682706383995537,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,22.916390250000404,,,,,,,,,22.900075551995545,24.1016764829983,24.90465329700237,24.889287179998064,24.88976621999609,24.90465329700237,24.90465329700237,24.90465329700237,27.595931197000027,left,0.0,2.682706383995537,,27.59601684600057,27.61109075499553,28.09619426199788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,4.0,0.0,2.0,right,0.0,1.8639362079993589,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,28.11272189200099,,,,,,,,,28.096538976999,28.897735025995644,29.701060639999923,29.685296146999463,29.685785301997385,29.701060639999923,29.701060639999923,29.701060639999923,31.573567961000663,right,0.0,1.8639362079993589,,31.573676446001627,31.58877252599632,32.07450237000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,5.0,1.0,2.0,left,0.0,2.557373104005819,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,32.09055570999772,,,,,,,,,32.0749495400014,32.1737168749969,32.97568655299983,32.95969329500076,32.96003766699869,32.97568655299983,32.97568655299983,32.97568655299983,35.55074064600194,left,0.0,2.557373104005819,,35.55086183700041,35.56621728799655,36.05142290100048,36.0674663259997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,6.0,0.0,3.0,right,1.0,6.104086461004044,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,36.0674663259997,,,,,,,,,36.05169884699717,36.15048771700094,36.95270045199868,36.93699095500051,36.93732755599922,36.95270045199868,36.95270045199868,36.95270045199868,43.070243615002255,right,1.0,6.104086461004044,,43.07262585200078,43.08583854800236,43.57154769200133,,41.949750464002136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,7.0,1.0,3.0,right,0.0,3.807542854003259,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,43.58826509700157,,,,,,,,,43.57199957499688,43.92213056000037,44.7232886119964,44.70772934299748,44.70807790700201,44.7232886119964,44.7232886119964,44.7232886119964,48.53592646800098,right,0.0,3.807542854003259,,48.539413275997504,48.55005786699621,49.0365048839958,49.05173293199914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,8.0,0.0,4.0,right,1.0,2.598615714996413,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,49.05173293199914,,,,,,,,,49.036815344996285,50.239238385001954,51.040659072998096,51.02467378399888,51.02502072700008,51.040659072998096,51.040659072998096,51.040659072998096,53.6489436769989,right,1.0,2.598615714996413,,53.65169195699855,53.66347822499665,54.149511534997146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,9.0,1.0,4.0,left,1.0,1.5638096350012347,,,,,,4.0,1.0,9.0,0.0,,,,,,,,,54.16555240299931,,,,,,,,,54.14996332499868,55.35284659700119,56.15387585199642,56.13780532700184,56.138145587996405,56.15387585199642,56.15387585199642,56.15387585199642,57.72680475699599,left,1.0,1.5638096350012347,,57.72690536799928,57.741545965000114,58.22677630199905,58.24318060299993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,10.0,0.0,5.0,left,1.0,1.220249710000644,,,,,,5.0,0.0,10.0,0.0,,,,,,,,,58.24318060299993,,,,,,,,,58.22701276800217,58.32749306999904,59.12980956999672,59.11378764199617,59.11426625999593,59.12980956999672,59.12980956999672,59.12980956999672,60.35322242700204,left,1.0,1.220249710000644,,60.35334306600271,60.36560451799596,60.85163332199591,60.86746826700255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,11.0,1.0,5.0,right,1.0,1.3500684890022967,,,,,,5.0,1.0,11.0,1.0,,,,,,,,,60.86746826700255,,,,,,,,,60.8520338620001,60.96803937500226,61.7689509999982,61.752971000998514,61.75331138799811,61.7689509999982,61.7689509999982,61.7689509999982,63.124416170001496,right,1.0,1.3500684890022967,,63.12452388300153,63.13944036699832,63.6246941099962,63.640666977000365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,12.0,0.0,6.0,right,0.0,1.721789315997739,,,,,,6.0,0.0,12.0,0.0,,,,,,,,,63.640666977000365,,,,,,,,,63.62496988000203,63.72461690499768,64.52686483899743,64.51149691700266,64.51197874500212,64.52686483899743,64.52686483899743,64.52686483899743,66.26592209999944,right,0.0,1.721789315997739,,66.26843245099735,66.2816058440003,66.76623775700136,66.78240500100219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,13.0,1.0,6.0,left,0.0,2.274097495006572,,,,,,6.0,1.0,13.0,1.0,,,,,,,,,66.78240500100219,,,,,,,,,66.76652303699666,66.86692031200073,67.6683856669988,67.65262739099853,67.65296981100255,67.6683856669988,67.6683856669988,67.6683856669988,69.95912529199995,left,0.0,2.274097495006572,,69.9592256629985,69.97436438700242,70.45969310299552,70.47553593699558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,14.0,0.0,7.0,right,1.0,1.4961365559938713,,,,,,7.0,0.0,14.0,1.0,,,,,,,,,70.47553593699558,,,,,,,,,70.4599710409966,70.55989265000244,71.36181286999636,71.34582765300001,71.34617749800236,71.36181286999636,71.36181286999636,71.36181286999636,72.86708625299798,right,1.0,1.4961365559938713,,72.86961138500192,72.88225390700245,73.36725419700088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,15.0,1.0,7.0,left,1.0,1.541242269995564,,,,,,7.0,1.0,15.0,0.0,,,,,,,,,73.38321925499622,,,,,,,,,73.36756121699727,74.57095427199965,75.37279077999847,75.35722867000004,75.35770646700257,75.37279077999847,75.37279077999847,75.37279077999847,76.92715615499765,left,1.0,1.541242269995564,,76.92724833999819,76.94271012699755,77.42757888000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,16.0,0.0,8.0,right,1.0,1.0777548979967833,,,,,,8.0,0.0,16.0,1.0,,,,,,,,,77.44425917499757,,,,,,,,,77.42787421999674,77.77934289500263,78.58147186000133,78.56616025699623,78.56667810500221,78.58147186000133,78.58147186000133,78.58147186000133,79.66853358200024,right,1.0,1.0777548979967833,,79.66864517799695,79.68394325499685,80.16926482199779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,17.0,1.0,8.0,left,1.0,2.403311714006122,,,,,,8.0,1.0,17.0,0.0,,,,,,,,,80.18584842199925,,,,,,,,,80.1697110669993,80.26943028700043,81.07140615500248,81.05598568500136,81.05646423000144,81.07140615500248,81.07140615500248,81.07140615500248,83.47927369299578,left,1.0,2.403311714006122,,83.47936868199758,83.49358494999615,83.97989547700126,83.99591113499628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,18.0,0.0,9.0,right,0.0,1.8158606630022405,,,,,,9.0,0.0,18.0,0.0,,,,,,,,,83.99591113499628,,,,,,,,,83.98029405700072,84.33034888999828,85.13237603999733,85.11673385200265,85.11722200000077,85.13237603999733,85.13237603999733,85.13237603999733,86.95490811199852,right,0.0,1.8158606630022405,,86.95721793799748,86.9699249740006,87.45554424500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,19.0,1.0,9.0,right,1.0,1.858466199999384,,,,,,9.0,1.0,19.0,1.0,,,,,,,,,87.4722026849995,,,,,,,,,87.45595114499883,88.65836202699575,89.4604825819988,89.44463577499846,89.44513203699898,89.4604825819988,89.4604825819988,89.4604825819988,91.33339861300192,right,1.0,1.858466199999384,,91.33589187500183,91.34803488000034,91.83362747499632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8337945969979,91.8506341070024,91.8506341070024,95.596946605001,space,3.7397405299998354,,,,,,,,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.59703874499974,95.60968758099624,95.60968758099624,101.77714258299966,space,6.152558999005123,,,,,,,,,,,,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,0.0,0.0,0.0,right,1.0,1.0845582499969169,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.19908295499772,,,,,,,,,104.18951279099564,104.2995146100002,105.10214563499903,105.08661750699684,105.08714686700114,105.10214563499903,105.10214563499903,105.10214563499903,106.1903140459981,,,,,,,,,,,,,,,,,,,,,,,,101.79807855300167,101.80712913000023,101.80712913000023,104.18463108799916,space,2.3727782010028022,,right,1.0,1.0845582499969169,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,1.0,1.0,0.0,left,1.0,1.889344891002111,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,106.20417811299558,,,,,,,,,106.19062251799916,106.99052996999671,107.79273318199556,107.77722213500238,107.77771445200052,107.79273318199556,107.79273318199556,107.79273318199556,109.69891983499838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,1.889344891002111,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,2.0,0.0,1.0,right,1.0,1.5963635809966945,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,109.71382928099774,,,,,,,,,109.699275672996,110.04782929299836,110.85092513499694,110.83492003999709,110.83540597699904,110.85092513499694,110.85092513499694,110.85092513499694,112.45640958000148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,1.5963635809966945,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,3.0,1.0,1.0,left,1.0,2.2074647629997344,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,112.47115845100052,,,,,,,,,112.45672696799738,112.57184601500194,113.3738866929998,113.3585515119994,113.35903786499694,113.3738866929998,113.3738866929998,113.3738866929998,115.59762745999616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,2.2074647629997344,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,4.0,0.0,2.0,left,1.0,2.6951500039940584,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,115.61277352499746,,,,,,,,,115.59793195599924,116.79924580499936,117.6014428599956,117.58539748100156,117.58575688600104,117.6014428599956,117.6014428599956,117.6014428599956,120.31015157500224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,2.6951500039940584,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,5.0,1.0,2.0,right,1.0,1.404348698000831,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,120.32541997700172,,,,,,,,,120.31046856600004,121.51321133499732,122.3150103070002,122.2993106119975,122.29978885700255,122.3150103070002,122.3150103070002,122.3150103070002,123.73669365500244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,1.404348698000831,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,6.0,0.0,3.0,left,1.0,2.064137724999455,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,123.7513123050012,,,,,,,,,123.73705006000093,124.08616340700246,124.88864743000158,124.8729082419959,124.873389346998,124.88864743000158,124.88864743000158,124.88864743000158,126.96231556999555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,2.064137724999455,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,7.0,1.0,3.0,right,1.0,2.506920086001628,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,3.0,1.0,7.0,1.0,126.97630384299556,,,,,,,,,126.96261401000083,127.76297137000074,128.5653133349988,128.54950776699843,128.54997852499946,128.5653133349988,128.5653133349988,128.5653133349988,131.08919339499698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,2.506920086001628,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,8.0,0.0,4.0,right,1.0,5.828863194001315,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,131.10421916099585,,,,,,,,,131.08955109999806,132.2916683500007,133.0937249849958,133.07859763500164,133.07907798200176,133.0937249849958,133.0937249849958,133.0937249849958,138.92793023800186,,,,,,,,,138.08976626199728,,,,,,,,,,,,,,,,,,,,,,right,1.0,5.828863194001315,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,9.0,1.0,4.0,left,1.0,1.5790158750023693,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,4.0,1.0,9.0,0.0,138.94219993700244,,,,,,,,,138.9284133819965,139.72749652399943,140.53058580499783,140.51472225700127,140.51520671199978,140.53058580499783,140.53058580499783,140.53058580499783,142.118869316997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,1.5790158750023693,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,10.0,0.0,5.0,left,1.0,1.488489743001992,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,142.1333112450011,,,,,,,,,142.11921195300238,142.92019247700227,143.7213371379985,143.7054599069961,143.70583171799808,143.7213371379985,143.7213371379985,143.7213371379985,145.2271323419991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,1.488489743001992,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,11.0,1.0,5.0,right,1.0,1.066872234994662,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,5.0,1.0,11.0,1.0,145.24223556499783,,,,,,,,,145.22741746099928,145.34221690199774,146.14431316500122,146.1286478050024,146.12898754300113,146.14431316500122,146.14431316500122,146.14431316500122,147.21565979599836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,1.066872234994662,,,,,sub-116,1,random_dot,59.15476687789651,
right,right,12.0,0.0,6.0,right,1.0,1.823972506004793,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,6.0,0.0,12.0,1.0,147.23053561699635,,,,,,,,,147.21598120999988,148.41799011999683,149.21946148700226,149.20332219800184,149.20366781699704,149.21946148700226,149.21946148700226,149.21946148700226,151.05958042499697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,1.823972506004793,,,,,sub-116,1,random_dot,59.15476687789651,
left,left,13.0,1.0,6.0,left,1.0,1.330989371999749,,accuracy,space,2.3727782010028022,,,,,,0.0,0.0,0.0,0.0,6.0,1.0,13.0,0.0,151.07414446499752,,,,,,,,,151.05994787999953,151.86012445599772,152.6624898969967,152.64675111499673,152.6472348419993,152.6624898969967,152.6624898969967,152.6624898969967,154.00055844099552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,1.330989371999749,,,,,sub-116,1,random_dot,59.15476687789651,
