direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
left,left,accuracy,,,,,0,0,0,0,26,1,53,0,276.8595445,,,,,,,,,276.8478064,277.6588769,278.4591432,278.4428886,278.4429293,278.4591432,278.4591432,278.4591432,,281.0878848,left,1,34.1863699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,accuracy,,,,,0,0,0,0,27,0,54,0,281.1028846,,,,,,,,,281.0900938,282.3018065,283.1010857,283.0854648,283.0855069,283.1010857,283.1010857,283.1010857,,284.4515566,left,1,32.9066126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,accuracy,,,,,0,0,0,0,27,1,55,1,284.4665692,,,,,,,,,284.4537636,284.5664563,285.3657762,285.3501297,285.3501725,285.3657762,285.3657762,285.3657762,,290.0471266,left,0,36.2417879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,accuracy,,,,,0,0,0,0,28,0,56,0,290.0615657,,,,,,,,,290.0493232,290.4114571,291.210597,291.1949993,291.1950401,291.210597,291.210597,291.210597,,292.3781281,left,1,32.7228928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,accuracy,,,,,0,0,0,0,28,1,57,1,292.3928848,,,,,,,,,292.3802982,292.7426343,293.5421848,293.5263462,293.5263899,293.5421848,293.5421848,293.5421848,298.5374182,299.1887102,right,1,37.1940777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,accuracy,,,,,0,0,0,0,29,0,58,0,299.2035868,,,,,,,,,299.1909183,300.4027706,301.2019006,301.1869809,301.1870378,301.2019006,301.2019006,301.2019006,,302.2693557,left,1,32.6223317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,accuracy,,,,,0,0,0,0,29,1,59,1,302.284208,,,,,,,,,302.2715277,302.6342461,303.4497987,303.4343485,303.4343941,303.4497987,303.4497987,303.4497987,,307.4983397,right,1,35.5971278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
,,accuracy,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,0,0,0,1,310.060649,,,,,,,,,310.0430391,310.3937098,311.1929317,311.1773301,311.177375,311.1929317,311.1929317,311.1929317,,312.2272172,right,1,32.5935084,None,,,,,,,,,,,,,,,,,,,307.5003239,307.5294705,307.5294705,310.0289814,space,34.0509348,None,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,0,1,1,0,312.2421308,,,,,,,,,312.229932,312.5917729,313.3909179,313.3755796,313.375614,313.3909179,313.3909179,313.3909179,,314.0934237,left,1,32.2621424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,1,0,2,0,314.1072308,,,,,,,,,314.0956123,314.2067067,315.0063389,314.9906911,314.9907317,315.0063389,315.0063389,315.0063389,,315.824433,left,1,32.3785623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,1,1,3,1,315.8389281,,,,,,,,,315.8275692,316.6387547,317.4541311,317.4387934,317.4388417,317.4541311,317.4541311,317.4541311,,318.1894989,right,1,32.2869083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,2,0,4,0,318.2035266,,,,,,,,,318.1917064,318.303895,319.1192738,319.1036248,319.1036676,319.1192738,319.1192738,319.1192738,,319.6710393,left,1,32.1127133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,2,1,5,1,319.6855708,,,,,,,,,319.673229,319.7853514,320.5846419,320.5689796,320.5690219,320.5846419,320.5846419,320.5846419,,321.3025642,right,1,32.27378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,3,0,6,0,321.3177463,,,,,,,,,321.3047375,322.5164732,323.3155826,323.3000895,323.3001309,323.3155826,323.3155826,323.3155826,,323.9833873,left,1,32.2169476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,3,1,7,1,323.9983518,,,,,,,,,323.9855744,324.0987554,324.9147609,324.8985495,324.898592,324.9147609,324.9147609,324.9147609,,325.5664616,right,1,32.2017575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,4,0,8,0,325.5806742,,,,,,,,,325.5688412,325.6803036,326.4796023,326.4638037,326.4638449,326.4796023,326.4796023,326.4796023,,327.1308119,left,1,32.2031453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,4,1,9,1,327.1455649,,,,,,,,,327.1335518,327.2454392,328.0447366,328.0291484,328.0291902,328.0447366,328.0447366,328.0447366,,328.529263,right,1,32.0300876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,5,0,10,0,328.5443388,,,,,,,,,328.5314542,328.6442114,329.4439181,329.4278958,329.4279374,329.4439181,329.4439181,329.4439181,,329.9947067,left,1,32.1047347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,5,1,11,1,330.0098715,,,,,,,,,329.997817,330.109605,330.9089062,330.8931858,330.8932287,330.9089062,330.9089062,330.9089062,,331.4102209,right,1,32.0517986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,6,0,12,1,331.425147,,,,,,,,,331.4124169,332.2243522,333.0236676,333.0080128,333.0080545,333.0236676,333.0236676,333.0236676,,333.7250719,right,1,32.2558213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,6,1,13,0,333.7397566,,,,,,,,,333.7272781,333.8396208,334.6391037,334.62329,334.6233325,334.6391037,334.6391037,334.6391037,,335.3566543,left,1,32.2699731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,7,0,14,1,335.3716396,,,,,,,,,335.358826,335.4715368,336.2707925,336.2553446,336.2553855,336.2707925,336.2707925,336.2707925,,336.755658,right,1,32.0422874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,7,1,15,0,336.7703776,,,,,,,,,336.7578485,337.9694676,338.7686857,338.7535472,338.7535898,338.7686857,338.7686857,338.7686857,,339.2365879,left,1,32.0150061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,8,0,16,1,339.2515614,,,,,,,,,339.2387755,339.3514929,340.150785,340.1350906,340.1351361,340.150785,340.150785,340.150785,,340.9853553,right,1,32.3906887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,8,1,17,0,341.0000823,,,,,,,,,340.9875715,341.7992595,342.5986219,342.5829024,342.5829445,342.5986219,342.5986219,342.5986219,,343.083306,left,1,32.0359811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,9,0,18,0,343.0981972,,,,,,,,,343.0854738,344.2972769,345.0963786,345.0807579,345.0808,345.0963786,345.0963786,345.0963786,,348.0125454,left,1,34.4686353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,9,1,19,1,348.0271169,,,,,,,,,348.0147305,349.2261053,350.0253741,350.0098906,350.0099341,350.0253741,350.0253741,350.0253741,,351.492421,right,1,33.0159943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,10,0,20,1,351.5074485,,,,,,,,,351.4946007,351.6074015,352.4066224,352.3911178,352.3911609,352.4066224,352.4066224,352.4066224,,353.2908575,right,1,32.436455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,10,1,21,0,353.3058467,,,,,,,,,353.2931075,353.4059898,354.2051347,354.1893422,354.1893848,354.2051347,354.2051347,354.2051347,,354.8064751,left,1,32.1568133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,11,0,22,0,354.821232,,,,,,,,,354.8086928,354.9221368,355.737005,355.7213965,355.7214405,355.737005,355.737005,355.737005,,357.2043704,left,1,33.025792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,11,1,23,1,357.2189815,,,,,,,,,357.2065333,358.0184786,358.8340327,358.8181806,358.8182047,358.8340327,358.8340327,358.8340327,,359.5021911,left,0,32.2161669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,12,0,24,0,359.5169787,,,,,,,,,359.504407,359.866718,360.6659709,360.6502956,360.65034,360.6659709,360.6659709,360.6659709,,361.3004556,right,0,32.1819065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,12,1,25,1,361.3156085,,,,,,,,,361.3026793,362.5143877,363.3136027,363.2980157,363.2980567,363.3136027,363.3136027,363.3136027,,363.8640222,right,1,32.0980846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,13,0,26,1,363.8796388,,,,,,,,,363.8653465,364.2296531,365.02876,365.0131049,365.0131463,365.02876,365.02876,365.02876,,365.563473,right,1,32.0899224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,13,1,27,0,365.5783241,,,,,,,,,365.5656537,365.678166,366.4774365,366.4618041,366.4618466,366.4774365,366.4774365,366.4774365,,367.0455233,right,0,32.1168285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,14,0,28,1,367.0603617,,,,,,,,,367.0477135,367.8596023,368.6589744,368.6433202,368.6433682,368.6589744,368.6589744,368.6589744,,369.4436251,right,1,32.3367527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,14,1,29,0,369.4587132,,,,,,,,,369.4470653,369.5581232,370.3576067,370.3418367,370.3418782,370.3576067,370.3576067,370.3576067,,371.1086054,left,1,32.3006302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,15,0,30,0,371.1234007,,,,,,,,,371.1107924,371.4731434,372.2726282,372.2567322,372.2567735,372.2726282,372.2726282,372.2726282,,372.8903911,right,0,32.1749894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,15,1,31,1,372.9053664,,,,,,,,,372.8925608,374.103875,374.9033633,374.8884493,374.8884964,374.9033633,374.9033633,374.9033633,,375.5714972,right,1,32.2247424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,16,0,32,0,375.5862495,,,,,,,,,375.5736859,376.7850965,377.5843501,377.5691741,377.5692171,377.5843501,377.5843501,377.5843501,,378.1524159,right,0,32.1226611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,16,1,33,1,378.1671841,,,,,,,,,378.1545804,379.3665002,380.1654289,380.1498678,380.1499119,380.1654289,380.1654289,380.1654289,,380.6170821,left,0,32.0010434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,17,0,34,1,380.6316737,,,,,,,,,380.6192747,381.8308069,382.6298886,382.6142922,382.6143333,382.6298886,382.6298886,382.6298886,,383.2143324,left,0,32.1358868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,17,1,35,0,383.2294226,,,,,,,,,383.2165162,384.4283312,385.2276653,385.2121239,385.2121662,385.2276653,385.2276653,385.2276653,,385.8621114,right,0,32.1942271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,18,0,36,1,385.8771524,,,,,,,,,385.8643227,385.9770538,386.7762746,386.7608723,386.7609135,386.7762746,386.7762746,386.7762746,,387.5282661,left,0,32.3043367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,18,1,37,0,387.5422323,,,,,,,,,387.5305302,387.6421904,388.4414726,388.4258807,388.4259225,388.4414726,388.4414726,388.4414726,,389.1592923,right,0,32.2689325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,19,0,38,1,389.1741827,,,,,,,,,389.1614987,389.2740182,390.0735671,390.0576974,390.0577403,390.0735671,390.0735671,390.0735671,,390.9244893,left,0,32.4106831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,19,1,39,0,390.9393628,,,,,,,,,390.9266748,391.0394166,391.8385773,391.8237849,391.8238282,391.8385773,391.8385773,391.8385773,,393.0058272,left,1,32.7136826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,20,0,40,0,393.0207096,,,,,,,,,393.0080283,393.1207377,393.9199361,393.9045105,393.9045559,393.9199361,393.9199361,393.9199361,,394.8375654,right,0,32.4682931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,20,1,41,1,394.8524829,,,,,,,,,394.8397302,395.2022401,396.0014509,395.98577,395.9858321,396.0014509,396.0014509,396.0014509,,396.540115,left,0,32.0946647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,21,0,42,1,396.5543526,,,,,,,,,396.5422921,397.3532276,398.1538185,398.1368533,398.1368968,398.1538185,398.1538185,398.1538185,,398.7506388,right,1,32.1567221,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,21,1,43,0,398.765746,,,,,,,,,398.7528235,398.8659964,399.6648481,399.649488,399.6495298,399.6648481,399.6648481,399.6648481,,400.2329527,left,1,32.1155612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,22,0,44,0,400.2477196,,,,,,,,,400.2351381,401.0470212,401.8465126,401.8306861,401.8307266,401.8465126,401.8465126,401.8465126,,402.5310112,right,0,32.2454689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,22,1,45,1,402.5457222,,,,,,,,,402.5332261,403.7446242,404.5440362,404.5283132,404.5283541,404.5440362,404.5440362,404.5440362,,405.1784926,left,0,32.1943541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,23,0,46,1,405.1934032,,,,,,,,,405.1806631,405.5430986,406.3422894,406.3268958,406.3269359,406.3422894,406.3422894,406.3422894,,407.2099222,right,1,32.4282602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,23,1,47,0,407.2249437,,,,,,,,,407.2121221,408.42386,409.2230374,409.207467,409.2075089,409.2230374,409.2230374,409.2230374,,409.9075662,left,1,32.2318768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,24,0,48,0,409.9226501,,,,,,,,,409.909748,410.0226607,410.8216718,410.8060931,410.8061347,410.8216718,410.8216718,410.8216718,,411.9398412,right,0,32.6791513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,24,1,49,1,411.9540453,,,,,,,,,411.9421111,412.7535376,413.5525788,413.537227,413.5372683,413.5525788,413.5525788,413.5525788,,414.154054,left,0,32.1578828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,25,0,50,1,414.168737,,,,,,,,,414.1562228,414.268667,415.0679426,415.0523823,415.0524221,415.0679426,415.0679426,415.0679426,,416.0024096,right,1,32.4889634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,25,1,51,0,416.0174455,,,,,,,,,416.0045751,417.2172414,418.0319705,418.0164092,418.0164492,418.0319705,418.0319705,418.0319705,,418.6498939,left,1,32.1671442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,26,0,52,1,418.6647501,,,,,,,,,418.6520769,419.4642641,420.2633719,420.2476824,420.2477234,420.2633719,420.2633719,420.2633719,,420.9649021,right,1,32.2626367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,26,1,53,0,420.9793965,,,,,,,,,420.9671074,421.7787436,422.5779453,422.5623864,422.5624277,422.5779453,422.5779453,422.5779453,,423.4465106,left,1,32.4252333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,27,0,54,0,423.4605318,,,,,,,,,423.4489105,423.5604833,424.3597705,424.3441263,424.3441662,424.3597705,424.3597705,424.3597705,,425.3106687,right,0,32.5021451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,27,1,55,1,425.325777,,,,,,,,,425.3128314,425.6753345,426.4745021,426.4589184,426.4589596,426.4745021,426.4745021,426.4745021,,427.2923744,right,1,32.3734653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,28,0,56,0,427.3072268,,,,,,,,,427.2945598,428.5062591,429.305449,429.2898426,429.2898862,429.305449,429.305449,429.305449,,429.8903951,left,1,32.1329053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,28,1,57,1,429.9048146,,,,,,,,,429.892697,430.2540945,431.0538676,431.0382954,431.0383407,431.0538676,431.0538676,431.0538676,,431.7217046,right,1,32.224713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,speed,,,,,0,1,1,1,29,0,58,0,431.7365784,,,,,,,,,431.7239051,432.0862471,432.8855452,432.8698714,432.8699138,432.8855452,432.8855452,432.8855452,,433.6701833,left,1,32.3345055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,speed,,,,,0,1,1,1,29,1,59,1,433.6849495,,,,,,,,,433.6723722,434.8837571,435.6831379,435.6674435,435.6674814,435.6831379,435.6831379,435.6831379,,436.3011262,left,0,32.1704266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
,,speed,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
