direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0081709999940358,0.0178482999908737,0.0178482999908737,33.50196649999998,space,48.77816039999016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-087,1.0,random_dot,59.65900108086464,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,33.52450559999852,,,,,,,,,33.516267300001346,34.31678079999983,35.117357700000866,35.101123200001894,35.10114729999623,35.117357700000866,35.117357700000866,35.117357700000866,36.88429859999451,right,1.0,17.05711120000342,,36.88502000000153,36.89969150000252,37.39986199999112,37.383652799995616,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-087,1.0,random_dot,59.65900108086464,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,37.39986199999112,,,,,,,,,37.38407000000007,38.59915409999667,39.400986299995566,39.384783100002096,39.384806799993385,39.400986299995566,39.400986299995566,39.400986299995566,40.55370079999557,left,1.0,16.450203400003375,,40.55433089999133,40.56835909999791,41.068208600001526,41.05209189999732,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-087,1.0,random_dot,59.65900108086464,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,41.068208600001526,,,,,,,,,41.05261319999408,41.41867159999674,42.21838939998997,42.202129099998274,42.20215430000098,42.21838939998997,42.21838939998997,42.21838939998997,43.28791759999877,right,1.0,16.36676580000494,,43.28860879999411,43.30157319999125,43.80155139999988,43.78582809999352,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-087,1.0,random_dot,59.65900108086464,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,43.80155139999988,,,,,,,,,43.78643839999859,45.00165449999622,45.80259639999713,45.78578009999183,45.78581499999564,45.80259639999713,45.80259639999713,45.80259639999713,47.33694569999352,right,0.0,16.83310679999704,,47.33760939999775,47.3513307999965,47.85141370000201,47.835733499989146,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-087,1.0,random_dot,59.65900108086464,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,47.85141370000201,,,,,,,,,47.83624969999073,49.05172399998992,49.852417599991895,49.83584119999432,49.83586989999458,49.852417599991895,49.852417599991895,49.852417599991895,51.253542699996615,right,1.0,16.69719149998855,,51.254091900002095,51.26798089999647,51.76852030000009,51.752309399991645,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-087,1.0,random_dot,59.65900108086464,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,51.76852030000009,,,,,,,,,51.75273359999119,52.56829949999519,53.36938089999603,53.35231249999197,53.35233329999028,53.36938089999603,53.36938089999603,53.36938089999603,54.95300270000007,left,1.0,16.87639360000321,,54.95354399998905,54.96790449999389,55.46789610000269,55.45158249999804,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-087,1.0,random_dot,59.65900108086464,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,55.46789610000269,,,,,,,,,55.4520579999953,55.56736479999381,56.36939419999544,56.35262799999328,56.35265239998989,56.36939419999544,56.36939419999544,56.36939419999544,57.70307550000143,left,1.0,16.62714350000897,,57.70374539999466,57.718096600001445,58.2176094000024,58.201345699999365,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-087,1.0,random_dot,59.65900108086464,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,58.2176094000024,,,,,,,,,58.20177020000119,58.567610400001286,59.36925629999314,59.3526700999937,59.35268909999286,59.36925629999314,59.36925629999314,59.36925629999314,60.28765649998968,right,1.0,16.214993300003698,,60.28829219999898,60.30160530000285,60.80129619999207,60.78570619999664,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-087,1.0,random_dot,59.65900108086464,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,60.80129619999207,,,,,,,,,60.7862199999945,61.60094499999832,62.4028144999902,62.385497499999474,62.3855223999999,62.4028144999902,62.4028144999902,62.4028144999902,63.209337399996,left,1.0,16.099643999987165,,63.20999079999456,63.2174062999984,63.71863399998984,63.702089200000046,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-087,1.0,random_dot,59.65900108086464,
