direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0320645999745465,0.0372380999906454,0.0372380999906454,11.426913499977672,space,24.61509060001117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-126,1.0,random_dot,60.19197629699565,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,11.48066299999482,,,,,,,,,11.477648499974748,11.792241199989803,12.60227119998308,12.577487499976996,12.577524399996037,12.60227119998308,12.60227119998308,12.60227119998308,15.497771599999396,right,0.0,16.129375000018626,,15.50105849999818,15.51332349999575,16.012492499983637,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-126,1.0,random_dot,60.19197629699565,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,16.029147599998396,,,,,,,,,16.012913199985633,16.112376599980053,16.914072099985788,16.897454399993876,16.897486899979413,16.914072099985788,16.914072099985788,16.914072099985788,19.96776439997484,right,1.0,16.286493799998425,,19.96826219998184,19.982141399988905,20.466732199973197,20.48308089998318,,,,,,,,,,,,,,,,,,,,,,,,,,sub-126,1.0,random_dot,60.19197629699565,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,20.48308089998318,,,,,,,,,20.46710709997569,20.83278259998769,21.63473169997451,21.6176663999795,21.617686699988557,21.63473169997451,21.63473169997451,21.63473169997451,23.62090249999892,left,0.0,15.21961120000924,,23.621452799998224,23.63534290000098,24.120012100000167,24.135714299976826,,,,,,,,,,,,,,,,,,,,,,,,,,sub-126,1.0,random_dot,60.19197629699565,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,24.135714299976826,,,,,,,,,24.12049339999794,24.23599169999943,25.037489299982557,25.020642699993918,25.02066660000128,25.037489299982557,25.037489299982557,25.037489299982557,28.62509889999637,left,1.0,16.821391500008758,,28.6254493999877,28.63947619998362,29.124009999999544,29.140099199983524,,,,,,,,,,,,,,,,,,,,,,,,,,sub-126,1.0,random_dot,60.19197629699565,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,29.140099199983524,,,,,,,,,29.124454999982845,29.940544199984288,30.742168899974786,30.72558420000132,30.725618399999803,30.742168899974786,30.742168899974786,30.742168899974786,34.06278569999267,right,0.0,16.556239000026835,,34.06316769999103,34.0775200999924,34.56180719999247,34.57768859999487,,,,,,,,,,,,,,,,,,,,,,,,,,sub-126,1.0,random_dot,60.19197629699565,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,34.57768859999487,,,,,,,,,34.56228879999253,34.677903299976606,35.4793049999862,35.46259289997397,35.46261219997541,35.4793049999862,35.4793049999862,35.4793049999862,36.731613599986304,right,1.0,14.48821469998802,,36.73206909999135,36.74636479999754,37.23110769997584,37.24656999998842,,,,,,,,,,,,,,,,,,,,,,,,,,sub-126,1.0,random_dot,60.19197629699565,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,37.24656999998842,,,,,,,,,37.23177220000071,38.4477822999761,39.24936849999358,39.2323126999836,39.23233529998106,39.24936849999358,39.24936849999358,39.24936849999358,42.387170699978014,left,0.0,16.366862700029742,,42.38818429998355,42.40091659998871,42.88576919998741,42.90138909997768,,,,,,,,,,,,,,,,,,,,,,,,,,sub-126,1.0,random_dot,60.19197629699565,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,42.90138909997768,,,,,,,,,42.88632639998104,44.10240459998022,44.90384509999421,44.88742689997889,44.88746089997585,44.90384509999421,44.90384509999421,44.90384509999421,45.88896119999117,left,1.0,14.221191700024065,,45.88931089997641,45.90382099998533,46.38879259998794,46.40416269999696,,,,,,,,,,,,,,,,,,,,,,,,,,sub-126,1.0,random_dot,60.19197629699565,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,46.40416269999696,,,,,,,,,46.38942039999529,47.20492449999438,48.00665279998793,47.989589399978286,47.98960959998658,48.00665279998793,48.00665279998793,48.00665279998793,50.176714299974265,left,1.0,15.396567100018729,,50.17740509999567,50.19076779999887,50.67524589999812,50.69114189999527,,,,,,,,,,,,,,,,,,,,,,,,,,sub-126,1.0,random_dot,60.19197629699565,
