direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session
left,left,speed,,,,,0,1,1,1,8,0,16,0,576.5384997,,,,,,,,,576.5257213,576.6382499,577.4377623,577.4222976,577.4223403,577.4377623,577.4377623,577.4377623,,578.0723142,left,1,27.2393788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,8,1,17,1,578.08715,,,,,,,,,578.0744475,578.8862587,579.6859019,579.6698927,579.6699342,579.6859019,579.6859019,579.6859019,,580.2542781,right,1,27.1697548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,9,0,18,1,580.2683531,,,,,,,,,580.2564612,580.3683323,581.1674894,581.1523188,581.1523607,581.1674894,581.1674894,581.1674894,,582.7516689,right,1,28.1950784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,9,1,19,0,582.7663659,,,,,,,,,582.7538169,583.5654124,584.3812895,584.3656574,584.3656944,584.3812895,584.3812895,584.3812895,,584.982677,left,1,27.2154721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,10,0,20,1,584.9976356,,,,,,,,,584.9848547,585.3473366,586.1466155,586.1308522,586.1308944,586.1466155,586.1466155,586.1466155,,586.7643152,right,1,27.2257628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,10,1,21,0,586.779256,,,,,,,,,586.7664636,587.9782198,588.7779016,588.761941,588.7619922,588.7779016,588.7779016,588.7779016,,589.3952735,left,1,27.2244522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,11,0,22,1,589.4102187,,,,,,,,,589.3974283,589.510354,590.3259461,590.3099959,590.3100229,590.3259461,590.3259461,590.3259461,,591.0439127,right,1,27.3304067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,11,1,23,0,591.0588817,,,,,,,,,591.0461469,591.8581432,592.6575792,592.6418539,592.6418956,592.6575792,592.6575792,592.6575792,,593.2755268,left,1,27.2293802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,12,0,24,0,593.2905824,,,,,,,,,593.277702,593.6400322,594.4391461,594.4235473,594.4235902,594.4391461,594.4391461,594.4391461,,595.3235164,left,1,27.4872217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,12,1,25,1,595.3385499,,,,,,,,,595.3256843,595.437893,596.2375672,596.2221724,596.2222158,596.2375672,596.2375672,596.2375672,,596.9721253,right,1,27.3487249,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,13,0,26,1,596.9869029,,,,,,,,,596.9742724,598.1862896,599.0017392,598.9862049,598.9862471,599.0017392,599.0017392,599.0017392,,600.1026591,right,1,27.7134034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,13,1,27,0,600.1174447,,,,,,,,,600.1048149,600.9167789,601.716262,601.7004293,601.7004723,601.716262,601.716262,601.716262,,602.517572,left,1,27.407944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,14,0,28,0,602.5320718,,,,,,,,,602.5197336,603.3313325,604.1305562,604.1149784,604.1150213,604.1305562,604.1305562,604.1305562,,604.6987281,left,1,27.1789282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,14,1,29,1,604.7134583,,,,,,,,,604.7008779,604.8133944,605.6122758,605.5970494,605.5970949,605.6122758,605.6122758,605.6122758,,606.3973287,right,1,27.3982833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,15,0,30,0,606.412208,,,,,,,,,606.3994873,606.7617109,607.5610364,607.5454756,607.5455173,607.5610364,607.5610364,607.5610364,,608.1455416,left,1,27.1991679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,15,1,31,1,608.1603882,,,,,,,,,608.147686,609.3593029,610.15883,610.1433892,610.143436,610.15883,610.15883,610.15883,,610.7424579,right,1,27.200563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,16,0,32,1,610.7577017,,,,,,,,,610.7437819,611.9570288,612.7562841,612.7408659,612.7409084,612.7562841,612.7562841,612.7562841,,613.4076631,right,1,27.2638322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,16,1,33,0,613.4225404,,,,,,,,,613.4098082,613.5223226,614.3215992,614.3060956,614.306138,614.3215992,614.3215992,614.3215992,,614.8719588,left,1,27.1560895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,17,0,34,0,614.8876114,,,,,,,,,614.8733297,615.2374776,616.0529887,616.0370732,616.0371293,616.0529887,616.0529887,616.0529887,,616.6214619,right,0,27.1700879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,17,1,35,1,616.6366275,,,,,,,,,616.6236097,617.835135,618.6344577,618.6190309,618.6190731,618.6344577,618.6344577,618.6344577,,619.4360357,right,1,27.4118804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,18,0,36,0,619.4504709,,,,,,,,,619.4382292,619.8001247,620.5994002,620.5836897,620.5837316,620.5994002,620.5994002,620.5994002,,621.3176378,left,1,27.3202527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,18,1,37,1,621.3320626,,,,,,,,,621.3197872,621.6820388,622.4811419,622.4654956,622.4655529,622.4811419,622.4811419,622.4811419,,623.2820524,right,1,27.4036681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,19,0,38,1,623.2970368,,,,,,,,,623.2843307,623.6472433,624.4460058,624.4309226,624.4309852,624.4460058,624.4460058,624.4460058,,625.3302329,right,1,27.4932307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,19,1,39,0,625.3454428,,,,,,,,,625.3323813,626.5444532,627.343427,627.3283185,627.3283609,627.343427,627.343427,627.343427,,628.3944898,right,0,27.6531901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,20,0,40,1,628.4092653,,,,,,,,,628.3966515,628.5091001,629.3083405,629.2927619,629.2928079,629.3083405,629.3083405,629.3083405,,630.0760671,right,1,27.3715065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,20,1,41,0,630.091075,,,,,,,,,630.0782291,630.4413244,631.2566483,631.2410526,631.2410952,631.2566483,631.2566483,631.2566483,,631.8247412,left,1,27.1796229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,21,0,42,0,631.8394824,,,,,,,,,631.8268913,632.6388642,633.438029,633.4226114,633.4226546,633.438029,633.438029,633.438029,,634.8220783,left,1,27.9961394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,21,1,43,1,634.8370619,,,,,,,,,634.8243643,635.1865785,635.9860256,635.9700871,635.9701287,635.9860256,635.9860256,635.9860256,,636.7034815,right,1,27.3211556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,22,0,44,1,636.7186803,,,,,,,,,636.7056357,637.9177874,638.7333934,638.7180288,638.7180717,638.7333934,638.7333934,638.7333934,,639.4678959,right,1,27.347229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,22,1,45,0,639.482801,,,,,,,,,639.4700796,640.2821638,641.0812912,641.0659935,641.0660348,641.0812912,641.0812912,641.0812912,,641.7030205,left,1,27.2315997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,23,0,46,1,641.717014,,,,,,,,,641.7051512,641.8171334,642.6172739,642.6007361,642.6007793,642.6172739,642.6172739,642.6172739,,643.1685654,right,1,27.162458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,23,1,47,0,643.1823806,,,,,,,,,643.1707346,643.2844859,644.0992935,644.0829772,644.0830183,644.0992935,644.0992935,644.0992935,,644.9500634,left,1,27.4644099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,24,0,48,1,644.9650644,,,,,,,,,644.951388,645.0641207,645.8645591,645.8478825,645.8479227,645.8645591,645.8645591,645.8645591,,646.4152921,right,1,27.167639,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,24,1,49,0,646.4294934,,,,,,,,,646.4166181,646.779522,647.5795705,647.5630149,647.5630606,647.5795705,647.5795705,647.5795705,,648.1977433,left,1,27.2233863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,25,0,50,1,648.2114409,,,,,,,,,648.1999305,648.311228,649.1115277,649.0951061,649.0951483,649.1115277,649.1115277,649.1115277,,649.8127421,right,1,27.3078485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,25,1,51,0,649.8265522,,,,,,,,,649.814932,650.1763271,650.9765665,650.9599605,650.9600025,650.9765665,650.9765665,650.9765665,,651.6942781,left,1,27.3270619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,26,0,52,1,651.7088829,,,,,,,,,651.6964543,652.9072387,653.7075014,653.690852,653.6908947,653.7075014,653.7075014,653.7075014,,654.3421563,right,1,27.2387554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,26,1,53,0,654.3558811,,,,,,,,,654.3443914,655.1552661,655.9555364,655.9389511,655.9389934,655.9555364,655.9555364,655.9555364,,656.456842,left,1,27.1088636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,27,0,54,0,656.4708137,,,,,,,,,656.4589759,657.2701561,658.0702774,658.0537306,658.0537723,658.0702774,658.0702774,658.0702774,,658.7218268,right,0,27.2679673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,27,1,55,1,658.7353136,,,,,,,,,658.7239913,658.8352738,659.6355763,659.6189156,659.6189577,659.6355763,659.6355763,659.6355763,,660.7530956,right,1,27.7312488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,28,0,56,0,660.7669666,,,,,,,,,660.7563882,661.1165656,661.916941,661.9005682,661.9006125,661.916941,661.916941,661.916941,,662.951122,right,0,27.6397214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,28,1,57,1,662.9652833,,,,,,,,,662.9532974,663.7645465,664.5645204,664.5479553,664.5479964,664.5645204,664.5645204,664.5645204,,665.2154349,right,1,27.2607256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,speed,,,,,0,1,1,1,29,0,58,1,665.2301669,,,,,,,,,665.2169097,665.5793637,666.379627,666.363012,666.3630548,666.379627,666.379627,666.379627,,667.1808537,right,1,27.4146278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,speed,,,,,0,1,1,1,29,1,59,0,667.1945396,,,,,,,,,667.1830225,667.5446704,668.3605789,668.3445835,668.3446261,668.3605789,668.3605789,668.3605789,,670.1113601,right,0,28.3598239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
,,speed,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.1129656,670.1254491,675.1213571,,
