direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0089273000003231,0.0164685999998255,0.0164685999998255,17.48199889999978,space,39.64064739999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,17.502646199999617,,,,,,,,,17.49088649999976,18.68509929999982,19.485345699999925,19.47742879999987,19.477448200000254,19.485345699999925,19.485345699999925,19.485345699999925,23.060929999999644,left,1.0,25.750281200000245,,23.061616500000127,23.071809899999607,23.56384749999961,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,23.57199270000001,,,,,,,,,23.56446969999979,24.76364250000006,25.563903299999765,25.556307699999707,25.556327799999963,25.563903299999765,25.563903299999765,25.563903299999765,26.84039800000028,left,0.0,23.44775649999974,,26.840889799999783,26.84897379999984,27.341149400000177,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,27.34905499999968,,,,,,,,,27.34201690000009,28.140734200000225,28.94074809999984,28.93322160000025,28.93324049999956,28.94074809999984,28.94074809999984,28.94074809999984,31.64208830000007,right,0.0,24.872390799999263,,31.64255080000021,31.648972199999665,32.141262899999674,32.14926569999989,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,32.14926569999989,,,,,,,,,32.14163029999963,32.9496036999999,33.748906499999975,33.74139399999967,33.74141320000035,33.748906499999975,33.748906499999975,33.748906499999975,36.017309799999566,left,0.0,24.438019899999745,,36.01780009999948,36.02422320000005,36.51657520000026,36.524133699999766,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,36.524133699999766,,,,,,,,,36.51694940000016,36.62424649999957,37.42429280000033,37.4166537000001,37.41667330000018,37.42429280000033,37.42429280000033,37.42429280000033,39.97552600000017,right,1.0,24.724478400000407,,39.9759868000001,39.982450499999686,40.47475020000002,40.48293180000019,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,40.48293180000019,,,,,,,,,40.475268700000015,41.68267730000025,42.482559899999615,42.47473179999997,42.47475159999976,42.482559899999615,42.482559899999615,42.482559899999615,47.394487200000185,right,0.0,27.08494299999984,,47.39500870000029,47.40217829999983,47.89448730000004,47.90221819999988,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,47.90221819999988,,,,,,,,,47.89510450000034,48.25191280000036,49.05202370000006,49.04425919999994,49.04427889999988,49.05202370000006,49.05202370000006,49.05202370000006,54.345442699999694,left,0.0,27.46445109999968,,54.34610210000028,54.35167449999972,54.84429809999983,54.852223900000354,54.04364520000036,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,54.852223900000354,,,,,,,,,54.84466069999962,55.65223609999976,56.452570399999786,56.44425659999979,56.44427769999948,56.452570399999786,56.452570399999786,56.452570399999786,58.803278399999726,right,0.0,24.52073119999932,,58.80373700000018,58.81079469999986,59.30265229999986,59.31057210000017,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,59.31057210000017,,,,,,,,,59.30301340000005,60.51031409999996,61.31027600000016,61.30280010000024,61.30282590000024,61.31027600000016,61.31027600000016,61.31027600000016,63.35298289999992,left,1.0,24.218631800000367,,63.35346539999955,63.35998860000018,63.85368029999972,63.86108619999959,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
right,right,,4.0,1.0,9.0,1.0,,,,,,,,,63.86108619999959,,,,,,,,,63.8541181999999,63.95234119999986,64.75148689999969,64.74460160000035,64.74464809999972,64.75148689999969,64.75148689999969,64.75148689999969,66.22820619999948,left,0.0,23.6473591999993,,66.22870640000019,66.23541769999974,66.72890730000017,66.73547289999988,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
left,left,,5.0,0.0,10.0,0.0,,,,,,,,,66.73547289999988,,,,,,,,,66.72927040000013,66.83556169999974,67.63543550000031,67.62771650000013,67.62773649999963,67.63543550000031,67.63543550000031,67.63543550000031,68.69622160000017,right,0.0,23.23268920000009,,68.69695130000036,68.70182130000012,69.19497729999966,69.20244709999952,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-136,2.0,random_dot,120.15620306353355,
