direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0081172199861612,0.0230902670009527,0.0230902670009527,25.386896951997187,space,25.19122998398961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,0.0,0.0,0.0,left,1.0,1.821182857005624,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,25.411556848004693,,,,,,,,,25.396317053004168,26.585134717985056,27.394161378004355,27.37017439497868,27.37067751999712,27.394161378004355,27.394161378004355,27.394161378004355,29.221416258980756,left,1.0,1.821182857005624,,29.226114566990876,29.25427047398989,29.724879582994618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,1.0,1.0,0.0,right,1.0,0.9726089749892708,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,29.736559192999263,,,,,,,,,29.72561518597649,30.0695384760038,30.86878337597591,30.85539307098952,30.85596664098557,30.86878337597591,30.86878337597591,30.86878337597591,31.85330910998164,right,1.0,0.9726089749892708,,31.85343257797649,31.86139580199961,32.35233786798199,32.358496765984455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,2.0,0.0,1.0,right,1.0,1.1036767800105736,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,32.358496765984455,,,,,,,,,32.352728750993265,32.44319807598367,33.236631768988445,33.22636339298333,33.2270511489769,33.236631768988445,33.236631768988445,33.236631768988445,34.346603828977095,right,1.0,1.1036767800105736,,34.34668100599083,34.35804020499927,34.84208288197988,34.85295355098788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,3.0,1.0,1.0,right,0.0,1.5426927359949332,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,34.85295355098788,,,,,,,,,34.84259373397799,36.04293610699824,36.85242101098993,36.82669585998519,36.82737730597728,36.85242101098993,36.85242101098993,36.85242101098993,38.40231784398202,right,0.0,1.5426927359949332,,38.40681210000184,38.41376541199861,38.90259011599119,38.908864354976686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,4.0,0.0,2.0,right,1.0,1.908878921007272,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,38.908864354976686,,,,,,,,,38.90310115000466,38.990781489992514,39.78638891398441,39.77544783198391,39.77625863999128,39.78638891398441,39.78638891398441,39.78638891398441,41.70343651098665,right,1.0,1.908878921007272,,41.70822275697719,41.71693452398176,42.20216375598102,42.20820965699386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,5.0,1.0,2.0,left,1.0,1.0885233769949991,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,42.20820965699386,,,,,,,,,42.202555790980114,43.00187120898045,43.79489851900144,43.786630839982536,43.78699551898171,43.79489851900144,43.79489851900144,43.79489851900144,44.90362126898253,left,1.0,1.0885233769949991,,44.90373104499304,44.91225242899964,45.40207004599506,45.40817231099936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,6.0,0.0,3.0,left,0.0,2.118818871997064,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,45.40817231099936,,,,,,,,,45.402488352992805,46.20195337900077,46.99389055898064,46.98572809799225,46.98619709699415,46.99389055898064,46.99389055898064,46.99389055898064,49.119028585992055,left,0.0,2.118818871997064,,49.12067867899896,49.12737326399656,49.61911162600154,49.62512496797717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,7.0,1.0,3.0,right,0.0,3.138822049018927,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,49.62512496797717,,,,,,,,,49.61950182399596,50.40933363899239,51.21837616400444,51.20474841899704,51.205408747977344,51.21837616400444,51.21837616400444,51.21837616400444,54.36162546498235,right,0.0,3.138822049018927,,54.36174087098334,54.371021432976704,54.85805624298519,54.8681015750044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,8.0,0.0,4.0,right,1.0,3.432737980998354,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,54.8681015750044,,,,,,,,,54.85873338198871,55.20939941497636,56.00311389999115,55.992781320994254,55.99349167899345,56.00311389999115,56.00311389999115,56.00311389999115,59.43924139399314,right,1.0,3.432737980998354,,59.44097550900187,59.45116856798995,59.93577816998004,59.9418876869895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,9.0,1.0,4.0,right,0.0,1.4743233659828547,,,,,,4.0,1.0,9.0,0.0,,,,,,,,,59.9418876869895,,,,,,,,,59.93616839699098,60.28491298199515,61.07672743298463,61.0685039399832,61.06916437798645,61.07672743298463,61.07672743298463,61.07672743298463,62.55245540998294,right,0.0,1.4743233659828547,,62.55442774298717,62.56783946699579,63.054075650987215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,10.0,0.0,5.0,right,1.0,1.3334754859970417,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,63.069624648982426,,,,,,,,,63.05468395000207,63.14229050200083,63.94587631398463,63.93642568797805,63.93703216098948,63.94587631398463,63.94587631398463,63.94587631398463,65.28554996199091,right,1.0,1.3334754859970417,,65.28730912899482,65.30114284399315,65.78535048497724,65.7913132859976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,11.0,1.0,5.0,left,1.0,1.2138901310099754,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,65.7913132859976,,,,,,,,,65.78573964899988,66.58487875299761,67.37701400899095,67.36861478097853,67.36909234299674,67.37701400899095,67.37701400899095,67.37701400899095,68.6018138169893,left,1.0,1.2138901310099754,,68.60189169397927,68.60847457600175,69.09170718697715,69.10144450797816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,12.0,0.0,6.0,right,0.0,1.62051710599917,,,,,,6.0,0.0,12.0,0.0,,,,,,,,,69.10144450797816,,,,,,,,,69.09233037297963,70.3015192799794,71.09206940198783,71.08490617599455,71.08523368497845,71.09206940198783,71.09206940198783,71.09206940198783,72.71857545999228,right,0.0,1.62051710599917,,72.72020805298234,72.72671154199634,73.21968711799127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,13.0,1.0,6.0,right,1.0,2.428256840998074,,,,,,6.0,1.0,13.0,1.0,,,,,,,,,73.2258371609787,,,,,,,,,73.22029259198462,74.0088098019769,74.81090775100165,74.80285176000325,74.80330888798926,74.81090775100165,74.81090775100165,74.81090775100165,77.24194734098273,right,1.0,2.428256840998074,,77.24402417198871,77.26726582000265,77.75282448899816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,14.0,0.0,7.0,right,0.0,1.0462303799868096,,,,,,7.0,0.0,14.0,0.0,,,,,,,,,77.75885031500366,,,,,,,,,77.75324616298894,78.5419883459981,79.34425785500207,79.3361047069775,79.33657673199195,79.34425785500207,79.34425785500207,79.34425785500207,80.39557610999327,right,0.0,1.0462303799868096,,80.3978112039913,80.40487091499381,80.89129217900336,80.90134620698518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,15.0,1.0,7.0,left,0.0,1.3550683939829469,,,,,,7.0,1.0,15.0,1.0,,,,,,,,,80.90134620698518,,,,,,,,,80.89196059497772,81.2403457609762,82.0375966889842,82.02609788099653,82.02689164399635,82.0375966889842,82.0375966889842,82.0375966889842,83.4183474079764,left,0.0,1.3550683939829469,,83.41841145599028,83.42558666499099,83.9179969279794,83.92384408798534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
