direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0079870829940773,0.018195291981101,0.018195291981101,18.574158207979053,space,18.514014290994965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
right,right,0.0,0.0,0.0,left,0.0,1.9143188749731053,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,18.60065920799389,,,,,,,,,18.58563045799383,18.924592750001462,19.73495895799715,19.71372874997905,19.714333499985518,19.73495895799715,19.73495895799715,19.73495895799715,21.65378937500645,left,0.0,1.9143188749731053,,21.66017208300764,21.6978344169911,22.1629076669924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
left,left,1.0,1.0,0.0,left,1.0,4.046720749989618,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,22.168072917003883,,,,,,,,,22.16335245798109,23.352588916983223,24.14465020800708,24.135944957990432,24.13640116699389,24.14465020800708,24.14465020800708,24.14465020800708,28.19622445799177,left,1.0,4.046720749989618,,28.201412374997744,28.217591749998974,28.70222399997874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
left,left,2.0,0.0,1.0,right,0.0,3.438889541983372,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,28.71281024999917,,,,,,,,,28.70267533298465,29.88597304199357,30.677882874995703,30.669484499987448,30.669949749979423,30.677882874995703,30.677882874995703,30.677882874995703,34.118481041979976,right,0.0,3.438889541983372,,34.12107283298974,34.12831220799126,34.61351587498211,34.6191462079878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
right,right,3.0,1.0,1.0,left,0.0,8.442648541997187,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,34.6191462079878,,,,,,,,,34.613994916988304,34.71274912499939,35.504775499983225,35.496757457993226,35.4973276249948,35.504775499983225,35.504775499983225,35.504775499983225,43.95882216698374,left,0.0,8.442648541997187,,43.95893979200628,43.964716916991165,44.45184175000759,44.46263662498677,40.48379433300579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
right,right,4.0,0.0,2.0,right,1.0,5.8924422090058215,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,44.46263662498677,,,,,,,,,44.452202166983625,44.802467750007054,45.59435887497966,45.58568337498582,45.58613316700212,45.59435887497966,45.59435887497966,45.59435887497966,51.50185949998559,right,1.0,5.8924422090058215,,51.504662749997806,51.51093991700327,51.996607167006005,52.00229004200082,50.57901433299412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
left,left,5.0,1.0,2.0,left,1.0,2.140674708003644,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,52.00229004200082,,,,,,,,,51.99705770798028,53.20196437498089,53.99428975000046,53.98510012499173,53.98553999999422,53.99428975000046,53.99428975000046,53.99428975000046,56.14698220798164,left,1.0,2.140674708003644,,56.147074124979554,56.15410529199289,56.6462954999879,56.65146204200573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
right,right,6.0,0.0,3.0,left,0.0,1.6756542079965584,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,56.65146204200573,,,,,,,,,56.64666537498124,56.99600320798345,57.78729195799679,57.779770583001664,57.78022849999252,57.78729195799679,57.78729195799679,57.78729195799679,59.46529470800306,left,0.0,1.6756542079965584,,59.468230750004295,59.47559458299656,59.9632705829863,59.96881737498916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
left,left,7.0,1.0,3.0,right,0.0,2.574040667008376,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,59.96881737498916,,,,,,,,,59.96370883300551,60.7623973749869,61.55518816699623,61.54648183300742,61.547075457987376,61.55518816699623,61.55518816699623,61.55518816699623,64.13141933298903,right,0.0,2.574040667008376,,64.1315341249865,64.1388128749968,64.62982283299789,64.63528129199403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
left,left,8.0,0.0,4.0,right,0.0,1.8620073339843657,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,64.63528129199403,,,,,,,,,64.6302685419796,64.979058041994,65.77127329198993,65.76326291699661,65.76386133299093,65.77127329198993,65.77127329198993,65.77127329198993,67.63666175000253,right,0.0,1.8620073339843657,,67.63677587499842,67.64414170800592,68.1298269580002,68.13537924998673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
right,right,9.0,1.0,4.0,left,0.0,2.7946865420090035,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,68.13537924998673,,,,,,,,,68.1302827920008,68.23524758298299,69.03805199998897,69.02988354198169,69.03057170799002,69.03805199998897,69.03805199998897,69.03805199998897,71.8344731249963,left,0.0,2.7946865420090035,,71.8345648329996,71.84488116699504,72.32963662498514,72.33528441700037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-046,1,random_dot,,
