direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 72
,,,,,,,,,,,,,,,,,0.0060716001316905,0.0263988999649882,0.0263988999649882,130.63121520006098,space,146.59056489984505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-073,1.0,random_dot,59.82041909939268,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,130.77550230012275,,,,,,,,,130.7644253000617,130.993570700055,131.79414819995873,131.7788876001723,131.77892079995945,131.79414819995873,131.79414819995873,131.79414819995873,132.49561290000565,right,1.0,16.69334779982455,,132.49743560003117,132.51848740014248,133.01128330011852,,,,,,,,,,,,,,,,,,,,,,,,,,sub-073,1.0,random_dot,59.82041909939268,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,133.02822840004228,,,,,,,,,133.0119897001423,133.36139960004948,134.16091370000504,134.14563730009831,134.14568209997378,134.16091370000504,134.16091370000504,134.16091370000504,134.6605378000531,left,1.0,16.487551799742505,,134.66099060000852,134.67583660013042,135.16120210010558,,,,,,,,,,,,,,,,,,,,,,,,,,sub-073,1.0,random_dot,59.82041909939268,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,135.1779628000222,,,,,,,,,135.16190210008062,135.26085319998674,136.07634100015275,136.05985580012202,136.05987540003844,136.07634100015275,136.07634100015275,136.07634100015275,136.5767377000302,left,0.0,16.489674599841237,,136.57717720000073,136.59204410016537,137.07658420014195,137.09204960009083,,,,,,,,,,,,,,,,,,,,,,,,,sub-073,1.0,random_dot,59.82041909939268,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,137.09204960009083,,,,,,,,,137.0769927999936,137.1778436000459,137.99251020001248,137.97601850004867,137.9760374999605,137.99251020001248,137.99251020001248,137.99251020001248,138.5771957000252,left,1.0,16.57134039979428,,138.57765360013582,138.60075470013544,139.09234239999205,,,,,,,,,,,,,,,,,,,,,,,,,,sub-073,1.0,random_dot,59.82041909939268,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,139.1093026001472,,,,,,,,,139.09278409997933,139.89230190007947,140.69483839999884,140.67847210005857,140.6785134000238,140.69483839999884,140.69483839999884,140.69483839999884,141.12679590005428,right,1.0,16.419993799878284,,141.1272424000781,141.14322279999033,141.62760610016994,141.64292250014842,,,,,,,,,,,,,,,,,,,,,,,,,sub-073,1.0,random_dot,59.82041909939268,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,141.64292250014842,,,,,,,,,141.62804790004157,141.97747420007363,142.7762742000632,142.76233080006205,142.7623687000014,142.7762742000632,142.7762742000632,142.7762742000632,143.2771672999952,left,1.0,16.493943499634042,,143.27760819997638,143.29272010014392,143.77778859995306,,,,,,,,,,,,,,,,,,,,,,,,,,sub-073,1.0,random_dot,59.82041909939268,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,143.794467800064,,,,,,,,,143.77857830002904,144.1445616001729,144.94417909998447,144.9283044000622,144.92834300012328,144.94417909998447,144.94417909998447,144.94417909998447,145.56346340011805,left,1.0,16.615075499983504,,145.5642548999749,145.57675600005314,146.0617225000169,146.0777354000602,,,,,,,,,,,,,,,,,,,,,,,,,sub-073,1.0,random_dot,59.82041909939268,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,146.0777354000602,,,,,,,,,146.06239750003442,146.42749310005456,147.227478899993,147.21161680016667,147.21165010007098,147.227478899993,147.227478899993,147.227478899993,147.62952990015037,right,1.0,16.39887119992636,,147.63033810001798,147.6434530999977,148.14355230005458,,,,,,,,,,,,,,,,,,,,,,,,,,sub-073,1.0,random_dot,59.82041909939268,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,148.16036029998213,,,,,,,,,148.14418260008097,148.94208050007,149.74415870010853,149.72882590000518,149.72886499995366,149.74415870010853,149.74415870010853,149.74415870010853,150.23030840000138,right,1.0,16.487101099686697,,150.23100060014986,150.24329270003363,150.72631560009904,150.74287319998257,,,,,,,,,,,,,,,,,,,,,,,,,sub-073,1.0,random_dot,59.82041909939268,
