direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0302625000476837,0.0354649000801146,0.0354649000801146,75.39656740007922,space,96.15988909988664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-166,1.0,random_dot,59.87113342271462,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,75.44809140008874,,,,,,,,,75.44277970003895,76.61265550018288,77.41279990016483,77.39664250006899,77.39669300010428,77.41279990016483,77.41279990016483,77.41279990016483,82.39563250006177,92.87946830014698,right,1.0,36.26533399987966,,92.88013050006704,92.89455540012568,93.39515300001948,93.3798003999982,,,,,,,,,,,,,,,,,,,,,,,,,,sub-166,1.0,random_dot,59.87113342271462,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,93.39515300001948,,,,,,,,,93.38057230017148,93.49540000013076,94.29600310022944,94.28002670011485,94.28007900016382,94.29600310022944,94.29600310022944,94.29600310022944,99.27914490015246,100.39674170012586,left,1.0,26.896970099769533,,100.39746690005995,100.41213740012608,100.9120846001897,100.8966495001223,,,,,,,,,,,,,,,,,,,,,,,,,,sub-166,1.0,random_dot,59.87113342271462,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,100.9120846001897,,,,,,,,,100.89729460002854,101.71210280014202,102.51251580007374,102.49588110018522,102.49590960005298,102.51251580007374,102.51251580007374,102.51251580007374,107.5074214001652,108.4350349002052,right,1.0,26.727783699985597,,108.43569210008718,108.44561350019649,108.94529370008968,108.92979480000211,,,,,,,,,,,,,,,,,,,,,,,,,,sub-166,1.0,random_dot,59.87113342271462,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,108.94529370008968,,,,,,,,,108.9304270001594,109.04573600017466,109.8456755001098,109.8298761001788,109.82990280003288,109.8456755001098,109.8456755001098,109.8456755001098,114.82939520012587,117.014952900121,right,0.0,27.974214799935,,117.0157565001864,117.03129390021786,,117.52883830014616,,,,,,,,,,,,,,,,,,,,,,,,,,sub-166,1.0,random_dot,59.87113342271462,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,117.54503040015696,,,,,,,,,117.52942540007643,118.3287830001209,119.12939880019984,119.1123344001826,119.1123566001188,119.12939880019984,119.12939880019984,119.12939880019984,124.11271400004624,125.9300793001894,right,1.0,27.600281699793413,,125.93068750016393,125.9454497001134,126.44526810012758,126.42955180001444,,,,,,,,,,,,,,,,,,,,,,,,,,sub-166,1.0,random_dot,59.87113342271462,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,126.44526810012758,,,,,,,,,126.43002170021646,126.5453620001208,127.34566520014778,127.32961750007236,127.32964650006032,127.34566520014778,127.34566520014778,127.34566520014778,132.3490990002174,133.91303799999878,right,0.0,27.36078059975989,,133.91370720020495,133.92834070022218,134.42889750003815,134.41256780014373,,,,,,,,,,,,,,,,,,,,,,,,,,sub-166,1.0,random_dot,59.87113342271462,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,134.42889750003815,,,,,,,,,134.41318720020354,134.52852630009875,135.32944680005312,135.31272160005756,135.31275250017643,135.32944680005312,135.32944680005312,135.32944680005312,140.312344300095,149.56448920001276,right,1.0,35.040688999928534,,149.565301500028,149.57904560002498,150.07874530018307,150.0632917000912,,,,,,,,,,,,,,,,,,,,,,,,,,sub-166,1.0,random_dot,59.87113342271462,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,150.07874530018307,,,,,,,,,150.0639727001544,151.27857780014165,152.0793542000465,152.062817200087,152.0628506001085,152.0793542000465,152.0793542000465,152.0793542000465,157.06252400018275,158.01319010020234,left,1.0,26.727012199815363,,158.01382960006595,158.02855710010044,158.52873670007102,158.51296110008843,,,,,,,,,,,,,,,,,,,,,,,,,,sub-166,1.0,random_dot,59.87113342271462,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,158.52873670007102,,,,,,,,,158.51350330002606,158.62872100016102,159.42884860001504,159.41248850012198,159.4125110001769,159.42884860001504,159.42884860001504,159.42884860001504,,161.09780600015074,right,1.0,22.460784799885005,,161.09877280006185,161.11222320003435,161.61172980000265,161.5960390002001,,,,,,,,,,,,,,,,,,,,,,,,,,sub-166,1.0,random_dot,59.87113342271462,
