direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0352813749341294,0.0480626249918714,0.0480626249918714,3.890677082934417,space,3.739706207998097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-110,1,random_dot,,
right,right,0.0,0.0,0.0,right,1.0,2.236485332949087,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,3.935222083004192,,,,,,,,,3.920243832981214,4.691383957979269,5.490293249953538,5.477320791920647,5.47786029195413,5.490293249953538,5.490293249953538,5.490293249953538,7.729598541976884,right,1.0,2.236485332949087,,7.742104832897894,7.798324249917641,8.237898707971908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-110,1,random_dot,,
left,left,1.0,1.0,0.0,left,1.0,0.7685363750206307,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,8.244176249951124,,,,,,,,,8.238652457948774,9.02813570795115,9.82011429197155,9.811211916967297,9.811846041935496,9.82011429197155,9.82011429197155,9.82011429197155,10.594318374991415,left,1.0,0.7685363750206307,,10.594468832947314,10.605002707918176,11.088289749925025,11.094632916967385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-110,1,random_dot,,
right,right,2.0,0.0,1.0,right,1.0,0.5685655829729512,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,11.094632916967385,,,,,,,,,11.08896508300677,11.44449954200536,12.246139999944717,12.2382802919019,12.239005707902834,12.246139999944717,12.246139999944717,12.246139999944717,12.820936874952167,right,1.0,0.5685655829729512,,12.821062791976146,12.828983332961798,13.32129862497095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-110,1,random_dot,,
left,left,3.0,1.0,1.0,left,1.0,0.641512374044396,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,13.326934666954912,,,,,,,,,13.321807666914538,14.511127042002045,15.302943957969546,15.294325166963972,15.294763291953132,15.302943957969546,15.302943957969546,15.302943957969546,15.95675108290743,left,1.0,0.641512374044396,,15.956963707925752,15.962918957928196,16.454857874894515,16.461118166917004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-110,1,random_dot,,
right,right,4.0,0.0,2.0,right,1.0,0.7087580830557272,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,16.461118166917004,,,,,,,,,16.45550087490119,17.253029291983694,18.047637624898925,18.038433416979387,18.03921699989587,18.047637624898925,18.047637624898925,18.047637624898925,18.762130541959777,right,1.0,0.7087580830557272,,18.762277249945328,18.77074541698676,19.25468879193068,19.260223291930743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-110,1,random_dot,,
left,left,5.0,1.0,2.0,left,1.0,0.5786205410258844,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,19.260223291930743,,,,,,,,,19.255167666939087,19.360995583003387,20.159686374943703,20.144687582971528,20.145291124936197,20.159686374943703,20.159686374943703,20.159686374943703,20.74481474992353,left,1.0,0.5786205410258844,,20.744950916967355,20.75351608300116,21.23759245791007,21.24253820790909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-110,1,random_dot,,
left,left,6.0,0.0,3.0,right,0.0,0.743086499045603,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,21.24253820790909,,,,,,,,,21.23791562498081,22.044551832950678,22.846137624932453,22.838018957991157,22.838661416899413,22.846137624932453,22.846137624932453,22.846137624932453,23.596641416894272,right,0.0,0.743086499045603,,23.60686345794238,23.613015916896984,24.104245374910533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-110,1,random_dot,,
right,right,7.0,1.0,3.0,right,1.0,0.7832436660537496,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,24.109043999924324,,,,,,,,,24.104635374969803,25.304444832960144,26.09786266693845,26.088302166899663,26.089970832923427,26.09786266693845,26.09786266693845,26.09786266693845,26.88790704193525,right,1.0,0.7832436660537496,,26.893329499987885,26.902311791898683,27.38829862489365,27.39548308297526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-110,1,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,0.6576252080267295,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,27.39548308297526,,,,,,,,,27.38915499998257,28.586812541936524,29.37449791689869,29.369715666980483,29.369939500000328,29.37449791689869,29.37449791689869,29.37449791689869,30.04010170791298,left,1.0,0.6576252080267295,,30.04035479191225,30.04973245796282,30.54574308299925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-110,1,random_dot,,
