direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0086065420000522,0.0168528330004846,0.0168528330004846,67.72200408299977,space,67.66751354100052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
right,right,0.0,0.0,0.0,right,1.0,1.6261514159996295,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,67.76319933300056,,,,,,,,,67.74458887499986,67.82442895799977,68.75019604200043,68.61393058300018,68.6145491670004,68.75019604200043,68.75019604200043,68.75019604200043,70.38016433299981,right,1.0,1.6261514159996295,,70.38760441700015,70.47385212500012,70.88591545800045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
left,left,1.0,1.0,0.0,right,0.0,1.0326715419996615,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,70.89658612499989,,,,,,,,,70.8863636670003,70.97019145800004,71.77211837499999,71.76404979200015,71.7646159169999,71.77211837499999,71.77211837499999,71.77211837499999,72.81429370800015,right,0.0,1.0326715419996615,,72.81981737499973,72.83742425000037,73.31869945800008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
right,right,2.0,0.0,1.0,right,1.0,1.4992202090006683,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,73.3298566250005,,,,,,,,,73.31913737500054,74.51314612500028,75.30576900000051,75.29760466700009,75.29817370799992,75.30576900000051,75.30576900000051,75.30576900000051,76.81311554200056,right,1.0,1.4992202090006683,,76.8156632500004,76.82289958300044,77.31338374999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
left,left,3.0,1.0,1.0,left,1.0,0.6876003340003081,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,77.31874312499986,,,,,,,,,77.31379104200005,77.65257412499977,78.44502625000041,78.43645520800055,78.43688266699974,78.44502625000041,78.44502625000041,78.44502625000041,79.13519179200011,left,1.0,0.6876003340003081,,79.13528445800057,79.14638137499969,79.63081929200052,79.63643958300054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
left,left,4.0,0.0,2.0,left,1.0,0.8589433749993987,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,79.63643958300054,,,,,,,,,79.63126112500049,79.72990012500031,80.52227091700024,80.51400795800055,80.51445408299969,80.52227091700024,80.52227091700024,80.52227091700024,81.38827216699974,left,1.0,0.8589433749993987,,81.38837500000045,81.39543924999998,81.88049000000046,81.88600462500017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
right,right,5.0,1.0,2.0,right,1.0,0.9384548749994792,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,81.88600462500017,,,,,,,,,81.88090300000022,81.98552220800048,82.77834966699993,82.76994537500013,82.77036849999968,82.77834966699993,82.77834966699993,82.77834966699993,83.72123612500036,right,1.0,0.9384548749994792,,83.72133500000018,83.72812495800008,84.21385962499971,84.21917699999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
left,left,6.0,0.0,3.0,right,0.0,1.056389291999949,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,84.21917699999995,,,,,,,,,84.21422145799988,85.4192857500002,86.21191083299982,86.20373087500047,86.20417904199985,86.21191083299982,86.21191083299982,86.21191083299982,87.27130649999981,right,0.0,1.056389291999949,,87.27406770800008,87.28151620800054,87.77004029199998,87.77985325000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
right,right,7.0,1.0,3.0,left,0.0,0.8309112920005646,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,87.77985325000009,,,,,,,,,87.77039216699995,88.569099542,89.36164883299989,89.35318095799994,89.35359666699969,89.36164883299989,89.36164883299989,89.36164883299989,90.19707474999996,left,0.0,0.8309112920005646,,90.19717545799996,90.2039142499998,90.69746991700048,90.7031042079998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
right,right,8.0,0.0,4.0,right,1.0,0.7019431250000707,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,90.7031042079998,,,,,,,,,90.69791454200003,91.48596108299988,92.27835125,92.2697607500004,92.27017016700027,92.27835125,92.27835125,92.27835125,92.9860472500004,right,1.0,0.7019431250000707,,92.9885873330004,92.99573229199996,93.48055258299974,93.4856832080004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
left,left,9.0,1.0,4.0,right,0.0,1.012329375000263,,,,,,4.0,1.0,9.0,0.0,,,,,,,,,93.4856832080004,,,,,,,,,93.48091495800054,93.58623325000008,94.3888582919999,94.38073283300037,94.3812810420004,94.3888582919999,94.3888582919999,94.3888582919999,95.40429091700024,right,0.0,1.012329375000263,,95.40677545800008,95.4144038330005,95.90322066699991,95.91314879200036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
right,right,10.0,0.0,5.0,left,0.0,0.999180291999437,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,95.91314879200036,,,,,,,,,95.90357095800027,96.00313875000028,96.79501900000014,96.78673295800036,96.78716529200028,96.79501900000014,96.79501900000014,96.79501900000014,97.79821341699972,left,0.0,0.999180291999437,,97.79833716699976,97.80578004200017,98.29754125,98.30341558300006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065,1,random_dot,,
