direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0371918999589979,0.0532943999860435,0.0532943999860435,25.64083990000654,space,45.09008300001733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,25.673302999930456,,,,,,,,,25.6625514999032,26.856542699970305,27.705657799961045,27.64002279995475,27.64004689990543,27.705657799961045,27.705657799961045,27.705657799961045,32.65379159990698,38.900312899961136,left,1.0,30.687350500025783,,38.91284110001288,38.93284459994175,39.41728789999616,,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,39.4333957999479,,,,,,,,,39.41781909996644,40.215415099984966,41.01604159991257,40.999850099906325,40.99987619998865,41.01604159991257,41.01604159991257,41.01604159991257,46.01264159998391,47.02978079998866,right,1.0,25.51763260003645,,47.03031059994828,47.04508889990393,47.52980279992335,47.54503299994394,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,47.54503299994394,,,,,,,,,47.530195600003935,48.34403839998413,49.14371009997558,49.12736959999893,49.12738759990316,49.14371009997558,49.14371009997558,49.14371009997558,54.14104089990724,54.75861059990712,right,1.0,25.106987399980422,,54.75915789999999,54.77430459996685,55.25817259994801,55.27395619999152,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,55.27395619999152,,,,,,,,,55.25853089999873,55.62413099990226,56.42341980000492,56.40793579991441,56.40796059998684,56.42341980000492,56.42341980000492,56.42341980000492,61.42160539992619,61.7722439999925,left,1.0,24.84336020005867,,61.77273630001582,61.78857450000942,62.27191959996708,62.28697389992885,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,62.28697389992885,,,,,,,,,62.27235669991933,62.63832909998018,63.43719129997771,63.42223479994573,63.42225840000901,63.43719129997771,63.43719129997771,63.43719129997771,68.4355835999595,68.96753289992921,right,1.0,25.034181100083515,,68.96820859995205,68.98366779997014,69.46811059990432,69.48474949994124,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,69.48474949994124,,,,,,,,,69.46859689999837,70.66653859999496,71.46654559997842,71.45126399991568,71.4512869999744,71.46654559997842,71.46654559997842,71.46654559997842,76.46362579998095,76.93137090001255,left,1.0,24.963297600043006,,76.93187149998266,76.94683329993859,77.43043119995855,77.44617709994782,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,77.44617709994782,,,,,,,,,77.43083799991291,78.24596540001221,79.04559639992658,79.02978529990651,79.02981129998807,79.04559639992658,79.04559639992658,79.04559639992658,84.04287189990282,84.51167359994724,right,0.0,24.959171600057743,,84.51220729993656,84.52562919992488,85.00975829991512,85.0266236999305,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,85.0266236999305,,,,,,,,,85.01019689999521,85.37649850000162,86.17594829993322,86.16039789991919,86.16041769995354,86.17594829993322,86.17594829993322,86.17594829993322,91.17355680000036,91.673650899902,left,0.0,24.990105899982154,,91.6741517999908,91.68906669993883,92.18944929994176,,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,92.20590739999898,,,,,,,,,92.19005939993076,93.38888230000155,94.20496719994117,94.18916209996678,94.18919319997076,94.20496719994117,94.20496719994117,94.20496719994117,99.20214169996324,99.60231529991142,right,1.0,24.90110300004017,,99.60291579994372,99.6183519999031,100.10233679995872,100.11815539991947,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,100.11815539991947,,,,,,,,,100.10276669997256,100.91801849997135,101.7176904999651,101.70223639998584,101.70226319995707,101.7176904999651,101.7176904999651,101.7176904999651,106.7147404999705,107.31519120000304,right,0.0,25.097266700002365,,107.31603899993934,107.33019679994322,107.81498699996156,107.83079469995572,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
right,right,,5.0,0.0,10.0,1.0,,,,,,,,,107.83079469995572,,,,,,,,,107.81541299994568,109.03079170000274,109.8457594999345,109.83030199992936,109.83032219996676,109.8457594999345,109.8457594999345,109.8457594999345,114.84457079996356,115.37801899993792,right,1.0,25.03833280003164,,115.37853390001692,115.39342559990472,115.8772927999962,115.892601099913,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
left,left,,5.0,1.0,11.0,0.0,,,,,,,,,115.892601099913,,,,,,,,,115.87770189996807,117.09296949999408,117.89263979997486,117.87639119999947,117.87640989990904,117.89263979997486,117.89263979997486,117.89263979997486,122.8902171999216,123.72440529998858,left,1.0,25.323678700020537,,123.72492019995116,123.73894810001366,124.2402485999046,,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
right,right,,6.0,0.0,12.0,1.0,,,,,,,,,124.25592809997032,,,,,,,,,124.24069269991014,124.33909639995544,125.1379605999682,125.12217409990262,125.12219889997505,125.1379605999682,125.1379605999682,125.1379605999682,130.13570159999654,130.62072849995457,right,1.0,24.98210070002824,,130.6212605999317,130.63501779991202,131.11883719998875,131.13574779999908,,,,,,,,,,,,,,,,,,,,,,,,,sub-185,1.0,random_dot,60.20832076399135,
