direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
right,right,,5.0,1.0,11.0,1.0,,,,,,,,,47.93887809995795,,,,,,,,,47.92290979996324,48.722721299971454,49.52221500000451,49.50615599995945,49.50617169996258,49.52221500000451,49.52221500000451,49.52221500000451,50.3060633999994,right,1.0,14.437009400047828,,50.30641459999606,50.32269790000282,50.82272179995198,50.80668139999034,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,,6.0,0.0,12.0,0.0,,,,,,,,,50.82272179995198,,,,,,,,,50.807075699965935,51.15592749998905,51.95568809995893,51.93918200000189,51.9391956999898,51.95568809995893,51.95568809995893,51.95568809995893,53.106111000000965,left,1.0,14.79050250002183,,53.10651249997318,53.122095999948215,53.62209509999957,53.60577159997774,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,,6.0,1.0,13.0,1.0,,,,,,,,,53.62209509999957,,,,,,,,,53.60611999995308,54.42202929995256,55.22201729996596,55.2056762999855,55.20569350000005,55.22201729996596,55.22201729996596,55.22201729996596,56.10579839994898,right,1.0,14.53733199997805,,56.10613069997635,56.12252649996663,56.62254479998956,56.60609999997541,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,,7.0,0.0,14.0,0.0,,,,,,,,,56.62254479998956,,,,,,,,,56.60639799997443,57.80548449995695,58.605287299957126,58.588967699965,58.58898209995823,58.605287299957126,58.605287299957126,58.605287299957126,59.7231873999699,right,0.0,14.77224900003057,,59.723529699957,59.73920499999076,60.23856349999551,60.2224326999858,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,,7.0,1.0,15.0,1.0,,,,,,,,,60.23856349999551,,,,,,,,,60.22279859997798,60.58902339998167,61.38872339995578,61.3723425999633,61.37235659995349,61.38872339995578,61.38872339995578,61.38872339995578,62.40588589996332,right,1.0,14.658180400030687,,62.406292199972086,62.4223953000037,62.92195970000466,62.90611639997224,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,,8.0,0.0,16.0,0.0,,,,,,,,,62.92195970000466,,,,,,,,,62.906419799954165,63.25596189999487,64.05512649996672,64.03891899995506,64.03893929999322,64.05512649996672,64.05512649996672,64.05512649996672,64.82264999998733,left,1.0,14.417415000032634,,64.82306599995354,64.83867460000329,65.33892859995831,65.32276409998303,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,,8.0,1.0,17.0,1.0,,,,,,,,,65.33892859995831,,,,,,,,,65.32311419997131,65.67246459994931,66.47241889999714,66.45607269997708,66.45609599997988,66.47241889999714,66.47241889999714,66.47241889999714,69.87278259999584,left,0.0,17.054133300029207,,69.87312549998751,69.88858769997023,70.38848589995177,70.37291189999087,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,,9.0,0.0,18.0,1.0,,,,,,,,,70.38848589995177,,,,,,,,,70.37327539996477,71.17232289997628,71.97176679997938,71.95546379999723,71.95548609999241,71.97176679997938,71.97176679997938,71.97176679997938,73.87228670000331,left,0.0,15.554328700061888,,73.87261729995953,73.88818809995428,74.38817629998084,74.3720420000027,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,,9.0,1.0,19.0,0.0,,,,,,,,,74.38817629998084,,,,,,,,,74.3723231999902,75.17213899997296,75.97146029997384,75.95510249998188,75.95511829998577,75.97146029997384,75.97146029997384,75.97146029997384,77.77244309999514,right,0.0,15.449333800002933,,77.77287599997362,77.7887501999503,78.28861809999216,78.27235889999429,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.27241839998169,78.28861809999216,78.28861809999216,81.98885229998268,space,17.35444190003909,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.98887719999766,82.00472849997459,82.00472849997459,87.62249669997254,space,19.257247300061863,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,91.28795389999868,,,,,,,,,91.27643659996102,92.4717543000006,93.2716434999602,93.25524499994935,93.25527029996738,93.2716434999602,93.2716434999602,93.2716434999602,93.93938489997528,left,1.0,14.311855600040872,,,,,,,,,,,,,,,,,,,,87.63307139999233,87.65509389998624,87.65509389998624,91.27183869999136,space,17.26046880002832,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,93.9547101999633,,,,,,,,,93.94025709998095,95.15453339996748,95.95488729997304,95.93910239997786,95.93912639998598,95.95488729997304,95.95488729997304,95.95488729997304,96.72297790000448,left,0.0,14.422195600054692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,96.73777349997545,,,,,,,,,96.72359209996648,97.93827499996404,98.73760059999768,98.7221462999587,98.7221638999763,98.73760059999768,98.73760059999768,98.73760059999768,99.40573429997312,right,1.0,14.30642750003608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,99.421489499975,,,,,,,,,99.40644439996686,99.52149539999664,100.3209944999544,100.30446529999608,100.30448039999465,100.3209944999544,100.3209944999544,100.3209944999544,101.07224169996334,right,0.0,14.40532560000429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,101.0883081999491,,,,,,,,,101.0728645999916,101.4213494999567,102.2208937999676,102.2044377999846,102.20445379999,102.2208937999676,102.2208937999676,102.2208937999676,103.0550900999806,left,1.0,14.483553200028837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,2.0,1.0,5.0,1.0,103.07132369995816,,,,,,,,,103.05574270000216,103.15424649999476,103.95481480000308,103.93808249995344,103.93810029997258,103.95481480000308,103.95481480000308,103.95481480000308,104.82124329998624,left,0.0,14.519640300015451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,3.0,0.0,6.0,1.0,104.837582499953,,,,,,,,,104.82191159995271,104.92093039996688,105.72133169998416,105.70499209995614,105.70501129998593,105.72133169998416,105.72133169998416,105.72133169998416,106.2217454999918,right,1.0,14.141341599985026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,3.0,1.0,7.0,0.0,106.23813859996152,,,,,,,,,106.2224709999864,106.33755699999163,107.1379644999979,107.12166509998497,107.12168499996189,107.1379644999979,107.1379644999979,107.1379644999979,107.77168700000038,left,1.0,14.281373800011352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,4.0,0.0,8.0,1.0,107.78772709995974,,,,,,,,,107.7724216999486,107.88795889995528,108.6878746000002,108.6712441999698,108.67126159998588,108.6878746000002,108.6878746000002,108.6878746000002,109.438640999957,right,1.0,14.394995500042567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,4.0,1.0,9.0,0.0,109.45453769998858,,,,,,,,,109.43937759997787,110.65461809997214,111.4539875999908,111.43777550000232,111.43779679998988,111.4539875999908,111.4539875999908,111.4539875999908,112.08816369995476,left,1.0,14.273266200034412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,5.0,0.0,10.0,0.0,112.10453309997683,,,,,,,,,112.08882770000491,112.45449739997277,113.25459749996662,113.23814139998284,113.23815849999664,113.25459749996662,113.25459749996662,113.25459749996662,113.75434889999453,left,1.0,14.15269190003164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,5.0,1.0,11.0,1.0,113.77111189998686,,,,,,,,,113.75499359995592,114.5544473999762,115.35458629997449,115.33806789998198,115.338084899995,115.35458629997449,115.35458629997449,115.35458629997449,115.75455879996298,right,1.0,14.046391700045206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,6.0,0.0,12.0,1.0,115.7714359999518,,,,,,,,,115.7553092999733,116.95469399995636,117.75379409996094,117.73756829998456,117.73758559999987,117.75379409996094,117.75379409996094,117.75379409996094,118.38803659996483,right,1.0,14.282203699985985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,6.0,1.0,13.0,0.0,118.40445229999024,,,,,,,,,118.38877359998878,119.20442189997992,120.0037312999484,119.98794779996388,119.98796489997768,120.0037312999484,120.0037312999484,120.0037312999484,121.53767709998648,right,0.0,15.182997500000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,7.0,0.0,14.0,0.0,121.55368610000004,,,,,,,,,121.53844159998698,122.73765799996907,123.53713509999216,123.52145659999223,123.52147370000604,123.53713509999216,123.53713509999216,123.53713509999216,124.08783569996012,left,1.0,14.20445129997097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,7.0,1.0,15.0,1.0,124.10363169998163,,,,,,,,,124.08846519998042,124.45355849998305,125.25452339998446,125.23790999996709,125.23793049994856,125.25452339998446,125.25452339998446,125.25452339998446,125.82120750000468,right,1.0,14.208662699966226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,8.0,0.0,16.0,1.0,125.8371048999834,,,,,,,,,125.82191439997403,127.03748649999034,127.8374339999864,127.82073969999328,127.82075679994888,127.8374339999864,127.8374339999864,127.8374339999864,128.45400989998598,right,1.0,14.265723399992568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,8.0,1.0,17.0,0.0,128.47075649996987,,,,,,,,,128.45467029995052,128.5535291999695,129.3543711999664,129.33768999995664,129.33770749997348,129.3543711999664,129.3543711999664,129.3543711999664,129.9052675999701,left,1.0,14.192072100064252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,9.0,0.0,18.0,1.0,129.9207616999629,,,,,,,,,129.90591949998634,130.02068869996583,130.82073229999514,130.80448069999693,130.80449789995328,130.82073229999514,130.82073229999514,130.82073229999514,131.22106859995984,left,0.0,14.03891070006648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,9.0,1.0,19.0,0.0,131.2369924999657,,,,,,,,,131.22170199995162,132.42007299995748,133.22079329995904,133.20424859999912,133.20426529995166,133.22079329995904,133.22079329995904,133.22079329995904,134.0541997999535,left,1.0,14.481771800026763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
