direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0113132999977096,0.0168591000256128,0.0168591000256128,13.305103400023654,space,36.14904160000151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-004,1.0,random_dot,59.97746047328442,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,13.319314400025178,,,,,,,,,13.312255900003947,14.119524899986573,14.921089300012682,14.904204300022684,14.90424250002252,14.921089300012682,14.921089300012682,14.921089300012682,19.67268850002438,left,0.0,27.599530400009822,,19.673378699983004,19.685781900014263,20.18614260002505,20.170132600003853,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-004,1.0,random_dot,59.97746047328442,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,20.18614260002505,,,,,,,,,20.170608300017197,20.28600089997053,21.0876909000217,21.070415100024547,21.07045160001144,21.0876909000217,21.0876909000217,21.0876909000217,23.12247609999031,right,0.0,24.89210960001219,,23.12294719996862,23.135708899993915,23.635808399994858,23.619955000001937,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-004,1.0,random_dot,59.97746047328442,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,23.635808399994858,,,,,,,,,23.620385200018063,23.98588120000204,24.787999399995897,24.77005910000298,24.77008400001796,24.787999399995897,24.787999399995897,24.787999399995897,30.805327199981548,left,1.0,28.865538000012748,,30.805678899982013,30.81903939996846,31.319095699989703,31.3033697999781,29.77084890002152,,,,,,,,,,,,,,,,,,,,,,,,,,sub-004,1.0,random_dot,59.97746047328442,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,31.319095699989703,,,,,,,,,31.303859899984676,31.66951189999236,32.471017899981234,32.45319879997987,32.45322779996786,32.471017899981234,32.471017899981234,32.471017899981234,34.255567500018515,right,1.0,24.63250310003059,,34.25603260000935,34.269013300014194,34.76927759998944,34.75332650000928,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-004,1.0,random_dot,59.97746047328442,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,34.76927759998944,,,,,,,,,34.75375299999723,35.11909430002561,35.9208745000069,35.90335719997529,35.90338490001159,35.9208745000069,35.9208745000069,35.9208745000069,39.906081499997526,left,0.0,26.834456900018267,,39.90638669999316,39.91922490001889,40.41918500000611,40.403011000016704,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-004,1.0,random_dot,59.97746047328442,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,40.41918500000611,,,,,,,,,40.403398900001775,40.51903229998425,41.321052699990105,41.3035667000222,41.30360699997982,41.321052699990105,41.321052699990105,41.321052699990105,42.45540440001059,left,1.0,23.992353999987245,,42.45579019997968,42.46923829999287,42.96888840000611,42.95330729999114,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-004,1.0,random_dot,59.97746047328442,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,42.96888840000611,,,,,,,,,42.9535545000108,43.76909760001581,44.57097310002428,44.55267820000881,44.55270320002455,44.57097310002428,44.57097310002428,44.57097310002428,45.33871729997918,right,1.0,23.62383920000866,,45.33916129998397,45.352573800017126,45.85238220001338,45.8359806999797,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-004,1.0,random_dot,59.97746047328442,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,45.85238220001338,,,,,,,,,45.83634460001485,46.6528166999924,47.45423430000665,47.43681210000068,47.436844200012274,47.45423430000665,47.45423430000665,47.45423430000665,48.105367699987255,right,0.0,23.502107699983757,,48.10577359999297,48.11926230002428,48.61906330002239,48.60358719999204,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-004,1.0,random_dot,59.97746047328442,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,48.61906330002239,,,,,,,,,48.6041437999811,48.96898669999791,49.7707095000078,49.75354260002496,49.75357609998901,49.7707095000078,49.7707095000078,49.7707095000078,51.60544399998616,right,1.0,24.68970689998241,,51.60590169997886,51.61894650000613,52.11882640002296,52.10350789997028,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-004,1.0,random_dot,59.97746047328442,
