direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0131280829955358,0.0289016250171698,0.0289016250171698,26.34496508300072,space,26.272616041998845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-143,1,random_dot,118.73805196770482,
left,left,0.0,0.0,0.0,left,1.0,12.985529541998403,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,26.384935500012944,,,,,,,,,26.36646758299321,27.143574917019578,27.946902625000803,27.92991570799495,27.930442250013584,27.946902625000803,27.946902625000803,27.946902625000803,32.92406725001638,40.94278541702079,left,1.0,12.985529541998403,,40.950965833006194,41.04655370800174,41.44644533301471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-143,1,random_dot,118.73805196770482,
right,right,1.0,1.0,0.0,right,1.0,6.485820333007723,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,41.45774145799805,,,,,,,,,41.4469226670044,41.54112208299921,42.33394470802159,42.325171667005634,42.32574650002061,42.33394470802159,42.33394470802159,42.33394470802159,47.32437241700245,48.82637275001616,right,1.0,6.485820333007723,,48.82651829201495,48.837697042006766,49.32522029199754,49.33111141700647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-143,1,random_dot,118.73805196770482,
right,right,2.0,0.0,1.0,left,0.0,5.89629012500518,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,49.33111141700647,,,,,,,,,49.32562483299989,50.12462533300277,50.91695750001236,50.90865933301393,50.909138292016,50.91695750001236,50.91695750001236,50.91695750001236,55.907809249998536,56.81629925000016,left,0.0,5.89629012500518,,56.82195337500889,56.83051258299383,57.31401120801456,57.32481487499899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-143,1,random_dot,118.73805196770482,
left,left,3.0,1.0,1.0,right,0.0,5.952202583983308,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,57.32481487499899,,,,,,,,,57.3144698330143,58.11406108300434,58.906704124994576,58.89856262502144,58.899090249993606,58.906704124994576,58.906704124994576,58.906704124994576,63.89159270800883,64.86503112499486,right,0.0,5.952202583983308,,64.86514545799582,64.87480241700541,65.35921170801157,65.36478862501099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-143,1,random_dot,118.73805196770482,
left,left,4.0,0.0,2.0,left,1.0,5.781118125014473,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,65.36478862501099,,,,,,,,,65.35966162499972,66.16480470800889,66.95702345800237,66.94883891701465,66.9493210829969,66.95702345800237,66.95702345800237,66.95702345800237,71.94161150002037,72.74367912500747,left,1.0,5.781118125014473,,72.74693037499674,72.75597758300137,73.2427495830052,73.24851333300467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-143,1,random_dot,118.73805196770482,
right,right,5.0,1.0,2.0,left,0.0,6.531750416004797,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,73.24851333300467,,,,,,,,,73.24314116701134,74.44188679201761,75.23473533301149,75.22607554201386,75.22665029199561,75.23473533301149,75.23473533301149,75.23473533301149,80.22536958300043,81.77775858301902,left,0.0,6.531750416004797,,81.7811924580019,81.80386045802152,82.28066583300824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-143,1,random_dot,118.73805196770482,
right,right,6.0,0.0,3.0,left,0.0,5.893597624992253,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,82.29216350000934,,,,,,,,,82.28111383301439,83.47563541700947,84.26753454201389,84.2594677080051,84.25995066700852,84.26753454201389,84.26753454201389,84.26753454201389,89.24788595800055,90.1679167500115,left,0.0,5.893597624992253,,90.16805841700987,90.17691529201691,90.66488554200625,90.67576179199386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-143,1,random_dot,118.73805196770482,
left,left,7.0,1.0,3.0,left,1.0,5.166853333008476,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,90.67576179199386,,,,,,,,,90.66528825002024,91.46561025001574,92.26803649999783,92.25979250000093,92.2602749170037,92.26803649999783,92.26803649999783,92.26803649999783,97.2590384579962,97.44446466700174,left,1.0,5.166853333008476,,97.44791991700184,97.45708316701348,97.94346574999508,97.94983800000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-143,1,random_dot,118.73805196770482,
left,left,8.0,0.0,4.0,right,0.0,5.524443667003652,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,97.94983800000044,,,,,,,,,97.94393966702046,98.04271079201136,98.83555725001496,98.8267657920078,98.82736520800972,98.83555725001496,98.83555725001496,98.83555725001496,103.82604066701606,104.3674358749995,right,0.0,5.524443667003652,,104.37102254200728,104.37947275000624,104.86584341700654,104.8761543330038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-143,1,random_dot,118.73805196770482,
